rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,1:06:47,,Degitu AZIMERAW,24 JAN 1999,ETH,6,Ras Al Khaimah (UAE),09 FEB 2018,1197,half-marathon,road-running,female,u20
2,1:07:05,,Phena YEGO,23 JUN 2006,KEN,6,Copenhagen (DEN),14 SEP 2025,1190,half-marathon,road-running,female,u20
3,1:07:06,,Meaza ASEFA,21 NOV 2006,ETH,6,Meishan (CHN),23 FEB 2025,1190,half-marathon,road-running,female,u20
4,1:07:21,,Melal SIYOUM,2006,ETH,2,New Delhi (IND),12 OCT 2025,1185,half-marathon,road-running,female,u20
5,1:07:26,,Beriha GEBRESLASIE,03 JUN 2006,ETH,7,Meishan (CHN),23 FEB 2025,1183,half-marathon,road-running,female,u20
6,1:07:44,,Bertukan WELDE,10 MAY 2004,ETH,1,"Adi-Dassler-Straße 1, Herzogenaurach (GER)",29 APR 2023,1177,half-marathon,road-running,female,u20
7,1:07:45,,Aynadis MEBRATU,25 NOV 2004,ETH,4,Herzogenaurach (GER),30 APR 2022,1176,half-marathon,road-running,female,u20
7,1:07:45,,Sewareg HAYMANOT,29 JAN 2006,ETH,9,Meishan (CHN),23 FEB 2025,1176,half-marathon,road-running,female,u20
9,1:07:51,,Meseret BELETE,16 SEP 1999,ETH,8,København (DEN),16 SEP 2018,1174,half-marathon,road-running,female,u20
10,1:07:57,,Abebu GELAN,18 JAN 1990,ETH,4,Ras Al Khaimah (UAE),20 FEB 2009,1172,half-marathon,road-running,female,u20
11,1:08:09,,Meseret BELETE,16 SEP 1999,ETH,6,Valencia (ESP),24 MAR 2018,1168,half-marathon,road-running,female,u20
12,1:08:10,,Debash DESTA,11 MAY 2005,ETH,4,Roma (ITA),20 OCT 2024,1168,half-marathon,road-running,female,u20
13,1:08:12,,Chaltu DIDA,05 DEC 2006,ETH,2,Lisboa (POR),26 OCT 2025,1167,half-marathon,road-running,female,u20
14,1:08:17,,Lucy CHERUIYOT,04 JAN 1997,KEN,2,Ústí nad Labem (CZE),17 SEP 2016,1165,half-marathon,road-running,female,u20
15,1:08:21,,Valentine KIPKETER,05 JAN 1993,KEN,1,Lille (FRA),03 SEP 2011,1164,half-marathon,road-running,female,u20
16,1:08:25,,Alem NIGUSSIE,2002,ETH,6,New Delhi (IND),20 OCT 2019,1162,half-marathon,road-running,female,u20
17,1:08:36,,Merima MOHAMMED,10 JUN 1992,ETH,2,New Delhi (IND),21 NOV 2010,1159,half-marathon,road-running,female,u20
18,1:08:37,,Senayet GETACHEW,01 OCT 2005,ETH,1,Porto (POR),18 SEP 2022,1158,half-marathon,road-running,female,u20
18,1:08:37,,Chaltu DIDA,05 DEC 2006,ETH,7,Lisboa (POR),09 MAR 2025,1158,half-marathon,road-running,female,u20
20,1:08:45,,Aynadis MEBRATU,25 NOV 2004,ETH,4,Praha (CZE),01 APR 2023,1155,half-marathon,road-running,female,u20
21,1:08:50,,Beriha GEBRESLASIE,03 JUN 2006,ETH,5,New Delhi (IND),12 OCT 2025,1154,half-marathon,road-running,female,u20
22,1:08:53,,Anchinalu DESSIE,09 JAN 2003,ETH,2,Azpeitia (ESP),26 MAR 2022,1153,half-marathon,road-running,female,u20
23,1:08:58,,Yalemget YAREGAL,23 OCT 2003,ETH,1,Fes (MAR),20 NOV 2022,1151,half-marathon,road-running,female,u20
24,1:09:03,,Aynadis MEBRATU,25 NOV 2004,ETH,2,Lisboa (POR),08 OCT 2023,1149,half-marathon,road-running,female,u20
25,1:09:05,,Delillah ASIAGO,24 FEB 1972,KEN,1,Exeter (GBR),05 MAY 1991,1149,half-marathon,road-running,female,u20
26,1:09:06,,Valentine KIPKETER,05 JAN 1993,KEN,8,New Delhi (IND),27 NOV 2011,1148,half-marathon,road-running,female,u20
26,1:09:06,,Meseret BELETE,16 SEP 1999,ETH,1,Göteborg (SWE),19 MAY 2018,1148,half-marathon,road-running,female,u20
28,1:09:10,,Muliye DEKEBO,13 MAR 1998,ETH,5,Ostia (ITA),12 MAR 2017,1147,half-marathon,road-running,female,u20
29,1:09:22,,Muluhabt TSEGA,22 DEC 1997,ETH,3,Istanbul (TUR),26 APR 2015,1143,half-marathon,road-running,female,u20
