rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,2:09:56,,Ruth CHEPNGETICH,08 AUG 1994,KEN,1,"Chicago, IL (USA)",13 OCT 2024,1312,marathon,road-running,female,senior
2,2:11:53,,Tigst ASSEFA,03 DEC 1996,ETH,1,Berlin (GER),24 SEP 2023,1292,marathon,road-running,female,senior
3,2:13:44,,Sifan HASSAN,01 JAN 1993,NED,1,"Chicago, IL (USA)",08 OCT 2023,1274,marathon,road-running,female,senior
4,2:14:04,,Brigid KOSGEI,20 FEB 1994,KEN,1,"Chicago, IL (USA)",13 OCT 2019,1270,marathon,road-running,female,senior
5,2:14:18,,Ruth CHEPNGETICH,08 AUG 1994,KEN,1,"Chicago, IL (USA)",09 OCT 2022,1268,marathon,road-running,female,senior
6,2:14:57,,Hawi FEYSA,01 FEB 1999,ETH,1,"Chicago, IL (USA)",12 OCT 2025,1262,marathon,road-running,female,senior
7,2:14:58,,Amane Beriso SHANKULE,13 OCT 1991,ETH,1,Valencia (ESP),04 DEC 2022,1262,marathon,road-running,female,senior
8,2:15:25,,Paula RADCLIFFE,17 DEC 1973,GBR,1,London (GBR),13 APR 2003,1257,marathon,road-running,female,senior
9,2:15:37,,Tigst ASSEFA,03 DEC 1996,ETH,1,Berlin (GER),25 SEP 2022,1255,marathon,road-running,female,senior
9,2:15:37,,Ruth CHEPNGETICH,08 AUG 1994,KEN,2,"Chicago, IL (USA)",08 OCT 2023,1255,marathon,road-running,female,senior
11,2:15:50,,Tigst ASSEFA,03 DEC 1996,ETH,1,London (GBR),27 APR 2025,1253,marathon,road-running,female,senior
12,2:15:51,,Worknesh DEGEFA,28 OCT 1990,ETH,1,Valencia (ESP),03 DEC 2023,1253,marathon,road-running,female,senior
13,2:15:55,,Sutume Asefa KEBEDE,11 DEC 1994,ETH,1,Tokyo (JPN),03 MAR 2024,1252,marathon,road-running,female,senior
14,2:16:02,,Brigid KOSGEI,20 FEB 1994,KEN,1,Tokyo (JPN),06 MAR 2022,1251,marathon,road-running,female,senior
15,2:16:07,,Tigist KETEMA,15 SEP 1998,ETH,1,Dubai (UAE),07 JAN 2024,1250,marathon,road-running,female,senior
16,2:16:14,,Rosemary WANJIRU,09 DEC 1994,KEN,2,Tokyo (JPN),03 MAR 2024,1249,marathon,road-running,female,senior
17,2:16:16,,Peres JEPCHIRCHIR,27 SEP 1993,KEN,1,London (GBR),21 APR 2024,1249,marathon,road-running,female,senior
18,2:16:22,,Almaz AYANA,21 NOV 1991,ETH,2,Valencia (ESP),03 DEC 2023,1248,marathon,road-running,female,senior
19,2:16:23,,Tigst ASSEFA,03 DEC 1996,ETH,2,London (GBR),21 APR 2024,1248,marathon,road-running,female,senior
20,2:16:24,,Joyciline JEPKOSGEI,28 DEC 1993,KEN,3,London (GBR),21 APR 2024,1247,marathon,road-running,female,senior
21,2:16:28,,Rosemary WANJIRU,09 DEC 1994,KEN,1,Tokyo (JPN),05 MAR 2023,1247,marathon,road-running,female,senior
22,2:16:31,,Sutume Asefa KEBEDE,11 DEC 1994,ETH,1,Tokyo (JPN),02 MAR 2025,1246,marathon,road-running,female,senior
23,2:16:34,,Megertu ALEMU,12 OCT 1997,ETH,4,London (GBR),21 APR 2024,1246,marathon,road-running,female,senior
24,2:16:42,,Tigist KETEMA,15 SEP 1998,ETH,1,Berlin (GER),29 SEP 2024,1244,marathon,road-running,female,senior
25,2:16:49,,Letesenbet GIDEY,20 MAR 1998,ETH,2,Valencia (ESP),04 DEC 2022,1243,marathon,road-running,female,senior
25,2:16:49,,Megertu ALEMU,12 OCT 1997,ETH,1,Valencia (ESP),01 DEC 2024,1243,marathon,road-running,female,senior
27,2:16:52,,Yalemzerf YEHUALAW,03 AUG 1999,ETH,1,Amsterdam (NED),20 OCT 2024,1243,marathon,road-running,female,senior
28,2:16:56,,Winfridah Moraa MOSETI,10 FEB 1996,KEN,2,Tokyo (JPN),02 MAR 2025,1242,marathon,road-running,female,senior
29,2:16:58,,Amane Beriso SHANKULE,13 OCT 1991,ETH,3,Tokyo (JPN),03 MAR 2024,1242,marathon,road-running,female,senior
30,2:17:00,,Hawi FEYSA,01 FEB 1999,ETH,3,Tokyo (JPN),02 MAR 2025,1242,marathon,road-running,female,senior
31,2:17:01,,Mary Jepkosgei KEITANY,18 JAN 1982,KEN,1,London (GBR),23 APR 2017,1241,marathon,road-running,female,senior
32,2:17:08,,Ruth CHEPNGETICH,08 AUG 1994,KEN,1,Dubai (UAE),25 JAN 2019,1240,marathon,road-running,female,senior
33,2:17:09,,Megertu ALEMU,12 OCT 1997,ETH,3,"Chicago, IL (USA)",08 OCT 2023,1240,marathon,road-running,female,senior
34,2:17:16,,Peres JEPCHIRCHIR,27 SEP 1993,KEN,1,Valencia (ESP),06 DEC 2020,1239,marathon,road-running,female,senior
35,2:17:18,,Paula RADCLIFFE,17 DEC 1973,GBR,1,"Chicago, IL (USA)",13 OCT 2002,1239,marathon,road-running,female,senior
35,2:17:18,,Ruth CHEPNGETICH,08 AUG 1994,KEN,1,Nagoya (JPN),13 MAR 2022,1239,marathon,road-running,female,senior
35,2:17:18,,Megertu ALEMU,12 OCT 1997,ETH,2,"Chicago, IL (USA)",12 OCT 2025,1239,marathon,road-running,female,senior
38,2:17:20,,Almaz AYANA,21 NOV 1991,ETH,1,Amsterdam (NED),16 OCT 2022,1238,marathon,road-running,female,senior
39,2:17:23,,Yalemzerf YEHUALAW,03 AUG 1999,ETH,1,Hamburg (GER),24 APR 2022,1238,marathon,road-running,female,senior
39,2:17:23,,Joyciline JEPKOSGEI,28 DEC 1993,KEN,4,"Chicago, IL (USA)",08 OCT 2023,1238,marathon,road-running,female,senior
41,2:17:25,,Hawi FEYSA,01 FEB 1999,ETH,1,Frankfurt (GER),27 OCT 2024,1237,marathon,road-running,female,senior
42,2:17:26,,Yalemzerf YEHUALAW,03 AUG 1999,ETH,1,London (GBR),02 OCT 2022,1237,marathon,road-running,female,senior
