rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,21.78,+0.6,Christine MBOMA,22 MAY 2003,NAM,1,"Letzigrund, Zürich (SUI)",09 SEP 2021,1261,200-metres,sprints,female,u20
2,21.81,+0.8,Christine MBOMA,22 MAY 2003,NAM,2,"National Stadium, Tokyo (JPN)",03 AUG 2021,1258,200-metres,sprints,female,u20
3,21.84,+1.1,Christine MBOMA,22 MAY 2003,NAM,1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",21 AUG 2021,1255,200-metres,sprints,female,u20
3,21.84,+0.4,Christine MBOMA,22 MAY 2003,NAM,1,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2021,1255,200-metres,sprints,female,u20
5,21.87,+0.6,Christine MBOMA,22 MAY 2003,NAM,1,"National Stadium, Gaborone (BOT)",30 APR 2022,1251,200-metres,sprints,female,u20
6,21.97,+0.3,Christine MBOMA,22 MAY 2003,NAM,2sf2,"National Stadium, Tokyo (JPN)",02 AUG 2021,1241,200-metres,sprints,female,u20
7,22.04,+0.3,Christine MBOMA,22 MAY 2003,NAM,1,"Sports Park Mladost, Zagreb (CRO)",14 SEP 2021,1233,200-metres,sprints,female,u20
8,22.08,+1.0,JaMeesia FORD,26 JAN 2005,USA,2,"Hayward Field, Eugene, OR (USA)",08 JUN 2024,1229,200-metres,sprints,female,u20
9,22.11,-0.5,Allyson FELIX,18 NOV 1985,USA,1,Ciudad de México (MEX),03 MAY 2003,1229,200-metres,sprints,female,u20
9,22.11,+0.7,Christine MBOMA,22 MAY 2003,NAM,1h4,"National Stadium, Tokyo (JPN)",02 AUG 2021,1226,200-metres,sprints,female,u20
9,22.11,+0.6,JaMeesia FORD,26 JAN 2005,USA,2,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1226,200-metres,sprints,female,u20
12,22.12,0.0,Christine MBOMA,22 MAY 2003,NAM,1f1,"University of Alabama at Birmingham, Birmingham, AL (USA)",02 APR 2022,1225,200-metres,sprints,female,u20
13,22.14,+1.2,JaMeesia FORD,26 JAN 2005,USA,1sf2,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1223,200-metres,sprints,female,u20
14,22.17,+1.3,Sha'Carri RICHARDSON,25 MAR 2000,USA,2,"Austin, TX (USA)",08 JUN 2019,1220,200-metres,sprints,female,u20
15,22.18,+0.8,Allyson FELIX,18 NOV 1985,USA,2,"Olympic Stadium, Athina (GRE)",25 AUG 2004,1219,200-metres,sprints,female,u20
15,22.18,+1.1,Beatrice MASILINGI,10 APR 2003,NAM,2,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",21 AUG 2021,1219,200-metres,sprints,female,u20
17,22.19,+1.5,Natalya BOCHINA,04 JAN 1962,URS,2,"Lenin Stadium, Moskva (URS)",30 JUL 1980,1218,200-metres,sprints,female,u20
17,22.19,+1.3,Beatrice MASILINGI,10 APR 2003,NAM,1sf2,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",20 AUG 2021,1218,200-metres,sprints,female,u20
19,22.23,+1.1,Favour OFILI,31 DEC 2002,NGR,3,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",21 AUG 2021,1214,200-metres,sprints,female,u20
20,22.26,+0.9,Natalya BOCHINA,04 JAN 1962,URS,1qf3,"Lenin Stadium, Moskva (URS)",28 JUL 1980,1210,200-metres,sprints,female,u20
20,22.26,0.0,Natalya BOCHINA,04 JAN 1962,URS,1,Nice (FRA),17 AUG 1980,1210,200-metres,sprints,female,u20
22,22.27,-0.2,Beatrice MASILINGI,10 APR 2003,NAM,1h2,"Hayward Field, Eugene, OR (USA)",18 JUL 2022,1210,200-metres,sprints,female,u20
23,22.28,-1.2,Allyson FELIX,18 NOV 1985,USA,1,"Sacramento, CA (USA)",18 JUL 2004,1215,200-metres,sprints,female,u20
23,22.28,+0.8,Beatrice MASILINGI,10 APR 2003,NAM,6,"National Stadium, Tokyo (JPN)",03 AUG 2021,1208,200-metres,sprints,female,u20
23,22.28,-0.1,JaMeesia FORD,26 JAN 2005,USA,1h1,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1208,200-metres,sprints,female,u20
26,22.29,+1.9,Beatrice MASILINGI,10 APR 2003,NAM,1f1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",03 JUL 2022,1207,200-metres,sprints,female,u20
27,22.30,0.0,Favour OFILI,31 DEC 2002,NGR,2h2,"University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA)",29 MAY 2021,1206,200-metres,sprints,female,u20
28,22.33,,Adaejah HODGE,21 MAR 2006,IVB,1f2,"The Track at New Balance, Boston, MA (USA) (i)",12 MAR 2023,1242,200-metres,sprints,female,u20
29,22.34,,JaMeesia FORD,26 JAN 2005,USA,1f2,"The Track at New Balance, Boston, MA (USA) (i)",09 MAR 2024,1241,200-metres,sprints,female,u20
30,22.35,+1.6,Shawnti JACKSON,02 MAY 2005,USA,1,"Estadio Jose A. Figueroa Freyre, Mayagüez (PUR)",06 AUG 2023,1201,200-metres,sprints,female,u20
31,22.36,+1.3,Sabine RIEGER-GÜNTHER,06 NOV 1963,GDR,2,Cottbus (GER),26 JUN 1982,1200,200-metres,sprints,female,u20
31,22.36,+0.5,Allyson FELIX,18 NOV 1985,USA,3sf1,"Olympic Stadium, Athina (GRE)",24 AUG 2004,1200,200-metres,sprints,female,u20
31,22.36,,JaMeesia FORD,26 JAN 2005,USA,1f1,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",10 FEB 2024,1240,200-metres,sprints,female,u20
31,22.36,,JaMeesia FORD,26 JAN 2005,USA,1f2,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",24 FEB 2024,1240,200-metres,sprints,female,u20
35,22.37,+1.3,Sabine RIEGER-GÜNTHER,06 NOV 1963,GDR,2,Cottbus (GER),26 JUN 1982,1199,200-metres,sprints,female,u20
35,22.37,+1.3,Sha'Carri RICHARDSON,25 MAR 2000,USA,1sf2,"Austin, TX (USA)",06 JUN 2019,1199,200-metres,sprints,female,u20
35,22.37,-0.1,Favour OFILI,31 DEC 2002,NGR,1sf3,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",20 AUG 2021,1199,200-metres,sprints,female,u20
35,22.37,+0.9,JaMeesia FORD,26 JAN 2005,USA,1f1,"Percy Beard Track, Gainesville, FL (USA)",29 MAR 2024,1199,200-metres,sprints,female,u20
39,22.39,+2.0,Allyson FELIX,18 NOV 1985,USA,1h4,"Olympic Stadium, Athina (GRE)",23 AUG 2004,1197,200-metres,sprints,female,u20
39,22.39,+1.5,Sydney MCLAUGHLIN,07 AUG 1999,USA,1f1,"Gainesville, FL (USA)",29 MAR 2018,1197,200-metres,sprints,female,u20
39,22.39,+0.2,Christine MBOMA,22 MAY 2003,NAM,1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",18 SEP 2021,1197,200-metres,sprints,female,u20
42,22.40,,Bianca KNIGHT,02 JAN 1989,USA,1f2,"Fayetteville, AR (USA) (i)",14 MAR 2008,1236,200-metres,sprints,female,u20
42,22.40,+0.3,Beatrice MASILINGI,10 APR 2003,NAM,2sf1,"National Stadium, Tokyo (JPN)",02 AUG 2021,1196,200-metres,sprints,female,u20
44,22.41,+0.9,Christine MBOMA,22 MAY 2003,NAM,1sf1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",20 AUG 2021,1195,200-metres,sprints,female,u20
45,22.42,+0.4,Gesine WALTHER,06 OCT 1962,GDR,1,Potsdam (GDR),29 AUG 1981,1194,200-metres,sprints,female,u20
45,22.42,+1.7,Amy HUNT,15 MAY 2002,GBR,1f1,Mannheim (GER),30 JUN 2019,1194,200-metres,sprints,female,u20
47,22.43,+0.8,Bianca KNIGHT,02 JAN 1989,USA,1,"Icahn Stadium, New York, NY (USA)",31 MAY 2008,1193,200-metres,sprints,female,u20
47,22.43,-0.7,Candace HILL,11 FEB 1999,USA,1,"Pascual Guerrero Stadium, Cali (COL)",19 JUL 2015,1197,200-metres,sprints,female,u20
49,22.44,+0.4,Elise COOPER,07 FEB 2007,USA,1,"Franklin Field, Philadelphia, PA (USA)",22 JUN 2025,1192,200-metres,sprints,female,u20
50,22.45,,Natalya BOCHINA,04 JAN 1962,URS,1,Moskva (URS),04 JUL 1980,1191,200-metres,sprints,female,u20
50,22.45,+0.5,Grit BREUER,16 FEB 1972,GER,2,Köln (GER),08 SEP 1991,1191,200-metres,sprints,female,u20
50,22.45,+0.9,Shaunae MILLER,15 APR 1994,BAH,2,Nassau (BAH),22 JUN 2013,1191,200-metres,sprints,female,u20
50,22.45,+0.2,Favour OFILI,31 DEC 2002,NGR,4,"Hayward Field, Eugene, OR (USA)",12 JUN 2021,1191,200-metres,sprints,female,u20
50,22.45,,JaMeesia FORD,26 JAN 2005,USA,1h3,"The Track at New Balance, Boston, MA (USA) (i)",08 MAR 2024,1231,200-metres,sprints,female,u20
50,22.45,+0.8,Dana WILSON,22 SEP 2006,USA,1f1,"Percy Beard Track, Gainesville, FL (USA)",04 APR 2025,1191,200-metres,sprints,female,u20
56,22.47,+0.4,Bianca KNIGHT,02 JAN 1989,USA,2f1,Barcelona (ESP),19 JUL 2008,1189,200-metres,sprints,female,u20
56,22.47,+0.4,Kaylin WHITNEY,09 MAR 1998,USA,4,"Hayward Field, Eugene, OR (USA)",28 JUN 2015,1189,200-metres,sprints,female,u20
58,22.48,,Bianca KNIGHT,02 JAN 1989,USA,1h2,"Fayetteville, AR (USA) (i)",14 MAR 2008,1228,200-metres,sprints,female,u20
58,22.48,+1.9,Tamari DAVIS,15 FEB 2003,USA,1,"Jacksonville, FL (USA)",05 MAY 2018,1188,200-metres,sprints,female,u20
58,22.48,0.0,Shawnti JACKSON,02 MAY 2005,USA,1,"Hayward Field, Eugene, OR (USA)",09 JUL 2023,1188,200-metres,sprints,female,u20
61,22.49,+1.1,Grit BREUER,16 FEB 1972,GDR,2f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",12 JUL 1990,1187,200-metres,sprints,female,u20
61,22.49,,Sanya RICHARDS-ROSS,26 FEB 1985,USA,2,"Fayetteville, AR (USA) (i)",12 MAR 2004,1227,200-metres,sprints,female,u20
61,22.49,+1.3,Kaylin WHITNEY,09 MAR 1998,USA,1,"Eugene, OR (USA)",06 JUL 2014,1187,200-metres,sprints,female,u20
61,22.49,-0.1,Kaylin WHITNEY,09 MAR 1998,USA,2sf1,"Hayward Field, Eugene, OR (USA)",28 JUN 2015,1187,200-metres,sprints,female,u20
65,22.50,-0.1,Briana WILLIAMS,21 MAR 2002,JAM,1,"Ratinan Stadion, Tampere (FIN)",14 JUL 2018,1186,200-metres,sprints,female,u20
65,22.50,+0.4,Beatrice MASILINGI,10 APR 2003,NAM,5,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2021,1186,200-metres,sprints,female,u20
67,22.51,+0.9,Sabine RIEGER-GÜNTHER,06 NOV 1963,GDR,3,"Olympic Stadium, Athina (GRE)",09 SEP 1982,1184,200-metres,sprints,female,u20
67,22.51,+2.0,Katrin KRABBE,22 NOV 1969,GDR,3,Berlin (GER),13 SEP 1988,1184,200-metres,sprints,female,u20
67,22.51,+0.7,Grit BREUER,16 FEB 1972,GDR,2,Karl Marx Stadt (GDR),17 JUN 1990,1184,200-metres,sprints,female,u20
67,22.51,+1.3,Allyson FELIX,18 NOV 1985,USA,1,"Walnut, CA (USA)",19 APR 2003,1184,200-metres,sprints,female,u20
67,22.51,+1.9,Lauren Rain WILLIAMS,25 JUL 1999,USA,1f1,"Tucson, AZ (USA)",28 APR 2018,1184,200-metres,sprints,female,u20
67,22.51,+1.1,Beatrice MASILINGI,10 APR 2003,NAM,1,"Stadio Comunale, Bellinzona (SUI)",12 SEP 2022,1184,200-metres,sprints,female,u20
73,22.52,+1.2,Mary ONYALI-OMAGBEMI,03 FEB 1968,NGR,6,"Stadio Olimpico, Roma (ITA)",03 SEP 1987,1183,200-metres,sprints,female,u20
73,22.52,+0.8,Allyson FELIX,18 NOV 1985,USA,1,"Norwalk, CA (USA)",07 JUN 2003,1183,200-metres,sprints,female,u20
75,22.53,-0.1,Bianca KNIGHT,02 JAN 1989,USA,1sf1,"Eugene, OR (USA)",05 JUL 2008,1182,200-metres,sprints,female,u20
75,22.53,+0.2,Anthonique STRACHAN,22 AUG 1993,BAH,1,"Estadio Olímpico, Barcelona (ESP)",13 JUL 2012,1182,200-metres,sprints,female,u20
75,22.53,+0.9,Tamara CLARK,09 JAN 1999,USA,1h1,"Tampa, FL (USA)",25 MAY 2018,1182,200-metres,sprints,female,u20
75,22.53,-2.2,Brianna LYSTON,24 MAY 2004,JAM,1,"National Stadium, Kingston (JAM)",09 APR 2022,1195,200-metres,sprints,female,u20
79,22.54,-1.9,Mary ONYALI-OMAGBEMI,03 FEB 1968,NGR,2sf2,"Stadio Olimpico, Roma (ITA)",03 SEP 1987,1192,200-metres,sprints,female,u20
79,22.54,-0.3,Kaylin WHITNEY,09 MAR 1998,USA,5,"Stade Louis II, Monaco (MON)",17 JUL 2015,1182,200-metres,sprints,female,u20
