rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,76.80,,Gabriele REINSCH,23 SEP 1963,GDR,1,Neubrandenburg (GDR),09 JUL 1988,1382,discus-throw,throws,female,senior
2,74.56,,Zdeňka ŠILHAVÁ,15 JUN 1954,TCH,1,Nitra (TCH),26 AUG 1984,1341,discus-throw,throws,female,senior
2,74.56,,Ilke WYLUDDA,28 MAR 1969,GDR,1,Neubrandenburg (GDR),23 JUL 1989,1341,discus-throw,throws,female,senior
4,74.44,,Gabriele REINSCH,23 SEP 1963,GDR,1,Berlin (GER),13 SEP 1988,1338,discus-throw,throws,female,senior
5,74.40,,Ilke WYLUDDA,28 MAR 1969,GDR,2,Berlin (GER),13 SEP 1988,1338,discus-throw,throws,female,senior
6,74.08,,Diana GANSKY,14 DEC 1963,GDR,1,Karl Marx Stadt (GDR),20 JUN 1987,1332,discus-throw,throws,female,senior
7,73.90,,Diana GANSKY,14 DEC 1963,GDR,1,Praha (TCH),27 JUN 1987,1328,discus-throw,throws,female,senior
8,73.84,,Daniela COSTIAN,30 APR 1965,ROU,1,Bucureşti (ROU),30 APR 1988,1327,discus-throw,throws,female,senior
9,73.78,,Daniela COSTIAN,30 APR 1965,ROU,1,Bucureşti (ROU),24 APR 1988,1326,discus-throw,throws,female,senior
10,73.52,,Valarie ALLMAN,23 FEB 1995,USA,1f1,"Millican Field at Throw Town, Ramona, OK (USA)",12 APR 2025,1321,discus-throw,throws,female,senior
11,73.42,,Gabriele REINSCH,23 SEP 1963,GDR,1,Karl Marx Stadt (GDR),12 JUN 1988,1319,discus-throw,throws,female,senior
12,73.36,,Irina MESZYNSKI,24 MAR 1962,GDR,1,Praha (TCH),17 AUG 1984,1318,discus-throw,throws,female,senior
13,73.32,,Diana GANSKY,14 DEC 1963,GDR,1,Neubrandenburg (GDR),11 JUN 1987,1318,discus-throw,throws,female,senior
14,73.28,,Galina SAVINKOVA,15 JUL 1953,URS,1,Donetsk (URS),08 SEP 1984,1317,discus-throw,throws,female,senior
15,73.26,,Galina SAVINKOVA,15 JUL 1953,URS,1,Leselidze (URS),22 MAY 1983,1316,discus-throw,throws,female,senior
15,73.26,,Diana GANSKY,14 DEC 1963,GDR,1,Neubrandenburg (GDR),06 JUN 1986,1316,discus-throw,throws,female,senior
17,73.24,,Diana GANSKY,14 DEC 1963,GDR,1,Leipzig (GER),29 MAY 1987,1316,discus-throw,throws,female,senior
18,73.22,,Tsvetanka KHRISTOVA,14 MAR 1962,BUL,1,Kazanlak (BUL),19 APR 1987,1316,discus-throw,throws,female,senior
18,73.22,,Daniela COSTIAN,30 APR 1965,ROU,,Bucureşti (ROU),24 APR 1988,1316,discus-throw,throws,female,senior
20,73.16,,Ilke WYLUDDA,28 MAR 1969,GDR,,Berlin (GER),13 SEP 1988,1315,discus-throw,throws,female,senior
21,73.10,,Gisela BEYER,16 JUL 1960,GDR,1,Berlin (GDR),20 JUL 1984,1313,discus-throw,throws,female,senior
22,73.09,,Yaimé PÉREZ,29 MAY 1991,CUB,1,"Millican Field at Throw Town, Ramona, OK (USA)",13 APR 2024,1313,discus-throw,throws,female,senior
23,73.04,,Diana GANSKY,14 DEC 1963,GDR,1,Potsdam (GDR),06 JUN 1987,1312,discus-throw,throws,female,senior
23,73.04,,Ilke WYLUDDA,28 MAR 1969,GDR,1,Gateshead (GBR),05 AUG 1989,1312,discus-throw,throws,female,senior
25,72.96,,Galina SAVINKOVA,15 JUL 1953,URS,1,Erfurt (GER),23 JUN 1985,1311,discus-throw,throws,female,senior
26,72.94,,Diana GANSKY,14 DEC 1963,GDR,2,Neubrandenburg (GDR),09 JUL 1988,1310,discus-throw,throws,female,senior
27,72.92,,Martina HELLMANN,12 DEC 1960,GDR,1,Potsdam (GDR),20 AUG 1987,1310,discus-throw,throws,female,senior
28,72.90,,Daniela COSTIAN,30 APR 1965,ROU,1,Bucureşti (ROU),14 MAY 1988,1310,discus-throw,throws,female,senior
29,72.78,,Martina HELLMANN,12 DEC 1960,GDR,2,Neubrandenburg (GDR),11 JUN 1987,1308,discus-throw,throws,female,senior
29,72.78,,Gabriele REINSCH,23 SEP 1963,GDR,1,Berlin (GER),29 JUN 1988,1308,discus-throw,throws,female,senior
31,72.72,,Ilke WYLUDDA,28 MAR 1969,GDR,1,Neubrandenburg (GDR),23 JUN 1989,1306,discus-throw,throws,female,senior
32,72.70,,Ilke WYLUDDA,28 MAR 1969,GDR,1,Karl Marx Stadt (GDR),15 JUL 1988,1306,discus-throw,throws,female,senior
33,72.54,,Diana GANSKY,14 DEC 1963,GDR,1,Rostock (GER),25 JUN 1988,1303,discus-throw,throws,female,senior
34,72.52,,Martina HELLMANN,12 DEC 1960,GDR,1,Frohburg (GDR),15 JUN 1986,1303,discus-throw,throws,female,senior
34,72.52,,Tsvetanka KHRISTOVA,14 MAR 1962,BUL,1,Budapest (HUN),11 AUG 1986,1303,discus-throw,throws,female,senior
36,72.44,,Diana GANSKY,14 DEC 1963,GDR,1,Potsdam (GDR),07 JUL 1987,1301,discus-throw,throws,female,senior
37,72.38,,Diana GANSKY,14 DEC 1963,GDR,1,Berlin (GER),25 AUG 1987,1300,discus-throw,throws,female,senior
38,72.36,,Diana GANSKY,14 DEC 1963,GDR,1,Potsdam (GDR),21 MAY 1987,1300,discus-throw,throws,female,senior
39,72.32,,Martina HELLMANN,12 DEC 1960,GDR,1,Leipzig (GER),13 JUL 1984,1299,discus-throw,throws,female,senior
39,72.32,,Diana GANSKY,14 DEC 1963,GDR,1,Schwerin (GER),03 JUN 1987,1299,discus-throw,throws,female,senior
41,72.30,,Diana GANSKY,14 DEC 1963,GDR,1,Potsdam (GDR),22 MAY 1986,1299,discus-throw,throws,female,senior
41,72.30,,Diana GANSKY,14 DEC 1963,GDR,1,Erfurt (GER),01 JUN 1986,1299,discus-throw,throws,female,senior
41,72.30,,Martina HELLMANN,12 DEC 1960,GDR,1,"Olympic Stadium, Seoul (KOR)",29 SEP 1988,1299,discus-throw,throws,female,senior
44,72.28,,Gisela BEYER,16 JUL 1960,GDR,1,Berlin (GER),15 JUL 1984,1298,discus-throw,throws,female,senior
44,72.28,,Daniela COSTIAN,30 APR 1965,ROU,,Bucureşti (ROU),14 MAY 1988,1298,discus-throw,throws,female,senior
46,72.24,,Ilke WYLUDDA,28 MAR 1969,GDR,3,Neubrandenburg (GDR),09 JUL 1988,1298,discus-throw,throws,female,senior
47,72.18,,Ilke WYLUDDA,28 MAR 1969,GDR,1,Macerata (ITA),05 SEP 1989,1296,discus-throw,throws,female,senior
48,72.14,,Galina MURAŠOVA,22 DEC 1955,URS,2,Praha (TCH),17 AUG 1984,1296,discus-throw,throws,female,senior
49,72.12,,Diana GANSKY,14 DEC 1963,GDR,1,Tallinn (EST),21 JUN 1986,1295,discus-throw,throws,female,senior
49,72.12,,Martina HELLMANN,12 DEC 1960,GDR,2,Leipzig (GER),29 MAY 1987,1295,discus-throw,throws,female,senior
51,72.06,,Daniela COSTIAN,30 APR 1965,ROU,1,Bucureşti (ROU),07 MAY 1988,1294,discus-throw,throws,female,senior
