rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,65.86,,Ilke WYLUDDA,28 MAR 1969,GDR,1,Neubrandenburg (GDR),01 AUG 1986,1179,discus-throw,throws,female,u18
2,64.42,,Ilke WYLUDDA,28 MAR 1969,GDR,1,Cottbus (GER),22 JUN 1986,1153,discus-throw,throws,female,u18
3,64.02,,Ilke WYLUDDA,28 MAR 1969,GDR,1,"Olympic Stadium, Athina (GRE)",20 JUL 1986,1146,discus-throw,throws,female,u18
4,63.80,,Ilke WYLUDDA,28 MAR 1969,GDR,1,Cottbus (GER),26 JUL 1986,1141,discus-throw,throws,female,u18
5,63.74,,Ilke WYLUDDA,28 MAR 1969,GDR,1,Karl Marx Stadt (GDR),10 AUG 1986,1140,discus-throw,throws,female,u18
6,63.68,,Astrid KUMBERNUSS,05 FEB 1970,GDR,1,Leipzig (GER),28 JUL 1987,1139,discus-throw,throws,female,u18
7,63.56,,Astrid KUMBERNUSS,05 FEB 1970,GDR,2,"Alexander Stadium, Birmingham (GBR)",08 AUG 1987,1137,discus-throw,throws,female,u18
8,63.18,,Astrid KUMBERNUSS,05 FEB 1970,GDR,1,La Habana (CUB),23 AUG 1987,1130,discus-throw,throws,female,u18
9,62.62,,Astrid KUMBERNUSS,05 FEB 1970,GDR,2,Leipzig (GER),16 MAY 1987,1120,discus-throw,throws,female,u18
10,62.42,,Irina MESZYNSKI,24 MAR 1962,GDR,1,Erfurt (GER),23 JUN 1979,1116,discus-throw,throws,female,u18
11,62.36,,Ilke WYLUDDA,28 MAR 1969,GDR,1,Halle (GER),19 MAY 1985,1115,discus-throw,throws,female,u18
12,61.96,,Larissa PLATONOVA,21 MAY 1966,URS,2,Birmingham (GBR),05 JUN 1983,1108,discus-throw,throws,female,u18
13,61.70,,Ilke WYLUDDA,28 MAR 1969,GDR,5,Jena (GDR),28 JUN 1986,1103,discus-throw,throws,female,u18
14,61.58,,Ilke WYLUDDA,28 MAR 1969,GDR,1q,"Olympic Stadium, Athina (GRE)",19 JUL 1986,1101,discus-throw,throws,female,u18
15,60.50,,Yan LIANG,02 JAN 1995,CHN,1f2,Kunshan (CHN),25 SEP 2012,1081,discus-throw,throws,female,u18
16,60.32,,Fengying LIU,26 JAN 1979,CHN,4,Shijiazhuang (CHN),22 SEP 1996,1077,discus-throw,throws,female,u18
17,60.30,,Irina MESZYNSKI,24 MAR 1962,GDR,1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",19 AUG 1979,1077,discus-throw,throws,female,u18
18,60.00,,Evelin JAHL,28 MAR 1956,GDR,1,"Wedaustadion, Duisburg (GER)",26 AUG 1973,1071,discus-throw,throws,female,u18
19,59.84,,Svetla MITKOVA-SINIRTAS,17 JUN 1964,BUL,3,Sofia (BUL),11 JUL 1981,1068,discus-throw,throws,female,u18
20,59.76,,Jana GÜNTHER,07 JAN 1968,GDR,2,Jena (GDR),05 JUN 1985,1067,discus-throw,throws,female,u18
21,59.58,,Zhili QI,1972,CHN,1,Shenyang (CHN),09 SEP 1989,1064,discus-throw,throws,female,u18
22,59.26,,Silvia MADETZKY,24 JUN 1962,GDR,2,Chernigov (URS),12 JUN 1979,1058,discus-throw,throws,female,u18
23,59.11,,Julia TUNKS,20 JUL 2006,CAN,2,"Millican Field at Throw Town, Ramona, OK (USA)",15 APR 2023,1055,discus-throw,throws,female,u18
24,59.04,,Larissa PLATONOVA,21 MAY 1966,URS,2,"Rudolf Tonn Stadion, Schwechat (AUT)",27 AUG 1983,1054,discus-throw,throws,female,u18
25,58.97,,Chenyi MA,01 JAN 2008,CHN,1,"Olympic Sports Center, Huangshi (CHN)",29 JUN 2025,1052,discus-throw,throws,female,u18
