rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,77.24,,Jiale ZHANG,22 OCT 2006,CHN,1,"Sports Center, Quzhou (CHN)",02 AUG 2025,1210,hammer-throw,throws,female,u20
2,77.10,,Jiale ZHANG,22 OCT 2006,CHN,3,"National Stadium, Tokyo (JPN)",15 SEP 2025,1208,hammer-throw,throws,female,u20
3,75.14,,Jiale ZHANG,22 OCT 2006,CHN,2f1,"Betty Heidler Arena, Fränkisch-Crumbach (GER)",08 JUN 2025,1176,hammer-throw,throws,female,u20
4,73.81,,Jiale ZHANG,22 OCT 2006,CHN,1,"UNION-Stadion, Schönebeck (GER)",21 JUN 2025,1155,hammer-throw,throws,female,u20
5,73.43,,Silja KOSONEN,16 DEC 2002,FIN,1,"Kaarlen kenttä, Vaasa (FIN)",28 JUN 2021,1149,hammer-throw,throws,female,u20
6,73.24,,Wenxiu ZHANG,22 MAR 1986,CHN,1,Changsha (CHN),24 JUN 2005,1146,hammer-throw,throws,female,u20
7,72.44,,Silja KOSONEN,16 DEC 2002,FIN,1,"Nikulan raviradan heittopaikka, Kaustinen (FIN)",06 MAR 2021,1133,hammer-throw,throws,female,u20
8,72.42,,Wenxiu ZHANG,22 MAR 1986,CHN,1,Chengdu (CHN),03 APR 2004,1132,hammer-throw,throws,female,u20
9,72.37,,Wenxiu ZHANG,22 MAR 1986,CHN,1,Nanning (CHN),18 APR 2004,1131,hammer-throw,throws,female,u20
10,72.36,,Jiale ZHANG,22 OCT 2006,CHN,1,Taizhou (CHN),24 JUN 2025,1131,hammer-throw,throws,female,u20
11,72.35,,Wenxiu ZHANG,22 MAR 1986,CHN,3,Padova (ITA),03 JUL 2004,1131,hammer-throw,throws,female,u20
12,72.34,,Wenxiu ZHANG,22 MAR 1986,CHN,1,Osaka (JPN),07 MAY 2005,1131,hammer-throw,throws,female,u20
13,72.30,,Jiale ZHANG,22 OCT 2006,CHN,2,"Sports Center, Jiaxing (CHN)",28 APR 2025,1130,hammer-throw,throws,female,u20
14,72.27,,Wenxiu ZHANG,22 MAR 1986,CHN,1,Yokohama (JPN),23 SEP 2004,1130,hammer-throw,throws,female,u20
15,72.25,,Jiale ZHANG,22 OCT 2006,CHN,2,"Huai'an Sports Center, Huai'an (CHN)",18 JUL 2024,1130,hammer-throw,throws,female,u20
16,72.23,,Wenxiu ZHANG,22 MAR 1986,CHN,1,Macao (MAC),01 NOV 2005,1129,hammer-throw,throws,female,u20
17,72.03,,Wenxiu ZHANG,22 MAR 1986,CHN,7,"Olympic Stadium, Athina (GRE)",25 AUG 2004,1126,hammer-throw,throws,female,u20
18,72.02,,Jiale ZHANG,22 OCT 2006,CHN,4q1,"National Stadium, Tokyo (JPN)",14 SEP 2025,1126,hammer-throw,throws,female,u20
19,72.01,,Wenxiu ZHANG,22 MAR 1986,CHN,1,Shijiazhuang (CHN),22 MAY 2004,1126,hammer-throw,throws,female,u20
19,72.01,,Jiale ZHANG,22 OCT 2006,CHN,1,"Werferzentrum Brandberge, Halle (GER)",24 MAY 2025,1126,hammer-throw,throws,female,u20
21,71.99,,Wenxiu ZHANG,22 MAR 1986,CHN,1,Tianjin (CHN),30 JUL 2004,1125,hammer-throw,throws,female,u20
22,71.84,,Wenxiu ZHANG,22 MAR 1986,CHN,2,Nanjing (CHN),17 OCT 2005,1123,hammer-throw,throws,female,u20
23,71.71,,Kamila SKOLIMOWSKA,04 NOV 1982,POL,1,Melbourne (AUS),09 SEP 2001,1121,hammer-throw,throws,female,u20
24,71.64,,Silja KOSONEN,16 DEC 2002,FIN,1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",21 AUG 2021,1120,hammer-throw,throws,female,u20
25,71.61,,Jiale ZHANG,22 OCT 2006,CHN,3,"Mestský Stadion Sletište, Kladno (CZE)",10 JUN 2025,1119,hammer-throw,throws,female,u20
26,71.59,,Wenxiu ZHANG,22 MAR 1986,CHN,1q,Chengdu (CHN),03 APR 2004,1119,hammer-throw,throws,female,u20
27,71.56,,Wenxiu ZHANG,22 MAR 1986,CHN,3q2,"Olympic Stadium, Athina (GRE)",23 AUG 2004,1118,hammer-throw,throws,female,u20
28,71.53,,Jiale ZHANG,22 OCT 2006,CHN,3f1,"Sichuan Xipu Training Base, Chengdu (CHN)",02 APR 2025,1118,hammer-throw,throws,female,u20
29,71.50,,Wenxiu ZHANG,22 MAR 1986,CHN,2,Zagreb (CRO),29 JUN 2004,1117,hammer-throw,throws,female,u20
30,71.34,,Silja KOSONEN,16 DEC 2002,FIN,2,"Someron urheilukenttä, Somero (FIN)",25 JUL 2020,1115,hammer-throw,throws,female,u20
31,71.16,,Kamila SKOLIMOWSKA,04 NOV 1982,POL,1,"Olympic Stadium, Sydney (AUS)",29 SEP 2000,1112,hammer-throw,throws,female,u20
32,71.09,,Rose LOGA,27 JUL 2002,FRA,1,Eaubonne (FRA),31 JAN 2021,1111,hammer-throw,throws,female,u20
33,71.06,,Silja KOSONEN,16 DEC 2002,FIN,1,"Kadrioru staadion, Tallinn (EST)",17 JUL 2021,1110,hammer-throw,throws,female,u20
34,70.93,,Wenxiu ZHANG,22 MAR 1986,CHN,2,Chengdu (CHN),20 MAR 2004,1108,hammer-throw,throws,female,u20
35,70.88,,Wenxiu ZHANG,22 MAR 1986,CHN,1,Chongqing (CHN),14 MAY 2005,1107,hammer-throw,throws,female,u20
36,70.85,,Silja KOSONEN,16 DEC 2002,FIN,1,"Someron urheilukenttä, Somero (FIN)",27 MAY 2021,1107,hammer-throw,throws,female,u20
37,70.81,,Wenxiu ZHANG,22 MAR 1986,CHN,1,Yixing (CHN),22 MAY 2005,1106,hammer-throw,throws,female,u20
38,70.70,,Silja KOSONEN,16 DEC 2002,FIN,1,"Olympiastadion, Stockholm (SWE)",05 SEP 2021,1104,hammer-throw,throws,female,u20
39,70.63,,Silja KOSONEN,16 DEC 2002,FIN,1,"Someron urheilukenttä, Somero (FIN)",25 JUN 2021,1103,hammer-throw,throws,female,u20
40,70.62,,Kamila SKOLIMOWSKA,04 NOV 1982,POL,1,Rüdlingen (SUI),13 AUG 2000,1103,hammer-throw,throws,female,u20
40,70.62,,Alexandra TAVERNIER,13 DEC 1993,FRA,1,"Estadio Olímpico, Barcelona (ESP)",14 JUL 2012,1103,hammer-throw,throws,female,u20
42,70.60,,Wenxiu ZHANG,22 MAR 1986,CHN,2,Nanjing (CHN),05 APR 2003,1103,hammer-throw,throws,female,u20
43,70.50,,Wenxiu ZHANG,22 MAR 1986,CHN,1,Zhongshan (CHN),23 APR 2005,1101,hammer-throw,throws,female,u20
44,70.49,,Silja KOSONEN,16 DEC 2002,FIN,8q2,"National Stadium, Tokyo (JPN)",01 AUG 2021,1101,hammer-throw,throws,female,u20
45,70.39,,Marina SMOLYACHKOVA,10 FEB 1985,BLR,1,Minsk (BLR),26 JUN 2004,1099,hammer-throw,throws,female,u20
45,70.39,,Wenxiu ZHANG,22 MAR 1986,CHN,1,Hefei (CHN),25 SEP 2004,1099,hammer-throw,throws,female,u20
45,70.39,,Réka GYURÁTZ,31 MAY 1996,HUN,1,Budapest (HUN),23 MAY 2015,1099,hammer-throw,throws,female,u20
48,70.31,,Kamila SKOLIMOWSKA,04 NOV 1982,POL,1,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",04 SEP 2001,1098,hammer-throw,throws,female,u20
49,70.22,,Wenxiu ZHANG,22 MAR 1986,CHN,1,Changsha (CHN),23 OCT 2003,1097,hammer-throw,throws,female,u20
50,70.06,,Kamila SKOLIMOWSKA,04 NOV 1982,POL,1,Skórcz (POL),31 AUG 2000,1094,hammer-throw,throws,female,u20
