rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,72.28,,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",13 SEP 2008,1306,javelin-throw,throws,female,senior
2,71.70,,Olisdeilys MENÉNDEZ,14 NOV 1979,CUB,1,"Olympiastadion, Helsinki (FIN)",14 AUG 2005,1295,javelin-throw,throws,female,senior
3,71.58,,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,1,"DS, Daegu (KOR)",02 SEP 2011,1293,javelin-throw,throws,female,senior
4,71.54,,Olisdeilys MENÉNDEZ,14 NOV 1979,CUB,1,Rethymno (GRE),01 JUL 2001,1292,javelin-throw,throws,female,senior
5,71.53,,Olisdeilys MENÉNDEZ,14 NOV 1979,CUB,1,"Olympic Stadium, Athina (GRE)",27 AUG 2004,1292,javelin-throw,throws,female,senior
6,71.42,,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,1,"National Stadium, Beijing (CHN)",21 AUG 2008,1290,javelin-throw,throws,female,senior
7,71.40,,Maria ANDREJCZYK,09 MAR 1996,POL,1f1,"Stadion Park Mladeži, Split (CRO)",09 MAY 2021,1290,javelin-throw,throws,female,senior
8,70.53,,Mariya ABAKUMOVA,15 JAN 1986,RUS,1,"Olympiastadion, Berlin (GER)",01 SEP 2013,1274,javelin-throw,throws,female,senior
9,70.20,,Christina OBERGFÖLL,22 AUG 1981,GER,1,"Olympiastadion, München (GER)",23 JUN 2007,1267,javelin-throw,throws,female,senior
10,70.03,,Christina OBERGFÖLL,22 AUG 1981,GER,2,"Olympiastadion, Helsinki (FIN)",14 AUG 2005,1264,javelin-throw,throws,female,senior
11,69.82,,Olisdeilys MENÉNDEZ,14 NOV 1979,CUB,1,Beijing (CHN),29 AUG 2001,1260,javelin-throw,throws,female,senior
12,69.81,,Christina OBERGFÖLL,22 AUG 1981,GER,1,Elstal (GER),31 AUG 2008,1260,javelin-throw,throws,female,senior
13,69.75,,Mariya ABAKUMOVA,15 JAN 1986,RUS,1,Elstal (GER),25 AUG 2013,1259,javelin-throw,throws,female,senior
14,69.57,,Christina OBERGFÖLL,22 AUG 1981,GER,1,"Letzigrund, Zürich (SUI)",08 SEP 2011,1256,javelin-throw,throws,female,senior
15,69.55,,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,1,"Olympic Stadium, London (GBR)",09 AUG 2012,1255,javelin-throw,throws,female,senior
16,69.53,,Olisdeilys MENÉNDEZ,14 NOV 1979,CUB,1,"Commonwealth Stadium, Edmonton (CAN)",06 AUG 2001,1255,javelin-throw,throws,female,senior
17,69.48,,Trine HATTESTAD,18 APR 1966,NOR,1,"Bislett Stadion, Oslo (NOR)",28 JUL 2000,1254,javelin-throw,throws,female,senior
18,69.45,,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,1,"Stade Louis II, Monaco (MON)",22 JUL 2011,1253,javelin-throw,throws,female,senior
19,69.35,,Sunette VILJOEN,06 OCT 1983,RSA,1,"Icahn Stadium, New York, NY (USA)",09 JUN 2012,1252,javelin-throw,throws,female,senior
20,69.34,,Mariya ABAKUMOVA,15 JAN 1986,RUS,1f1,Castellón (ESP),16 MAR 2013,1251,javelin-throw,throws,female,senior
21,69.19,,Christin HUSSONG,17 MAR 1994,GER,1,"Stadion Śląski, Chorzów (POL)",30 MAY 2021,1249,javelin-throw,throws,female,senior
22,69.15,,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,1,Zaragoza (ESP),31 MAY 2008,1248,javelin-throw,throws,female,senior
23,69.09,,Mariya ABAKUMOVA,15 JAN 1986,RUS,1q1,"Luzhniki Stadion, Moskva (RUS)",16 AUG 2013,1247,javelin-throw,throws,female,senior
24,69.05,,Christina OBERGFÖLL,22 AUG 1981,GER,1,"Luzhniki Stadion, Moskva (RUS)",18 AUG 2013,1246,javelin-throw,throws,female,senior
25,68.94,,Mariya ABAKUMOVA,15 JAN 1986,RUS,1,"Letzigrund, Zürich (SUI)",29 AUG 2013,1244,javelin-throw,throws,female,senior
26,68.92,,Kathryn MITCHELL,10 JUL 1982,AUS,1,Gold Coast (AUS),11 APR 2018,1244,javelin-throw,throws,female,senior
27,68.91,,Trine HATTESTAD,18 APR 1966,NOR,1,"Olympic Stadium, Sydney (AUS)",30 SEP 2000,1243,javelin-throw,throws,female,senior
28,68.86,,Christina OBERGFÖLL,22 AUG 1981,GER,1,Kassel (GER),24 JUL 2011,1242,javelin-throw,throws,female,senior
29,68.81,,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,1,"Stadion Juliska, Praha (CZE)",16 JUN 2008,1242,javelin-throw,throws,female,senior
30,68.76,,Christina OBERGFÖLL,22 AUG 1981,GER,1q1,"DS, Daegu (KOR)",01 SEP 2011,1241,javelin-throw,throws,female,senior
31,68.73,,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,2,"Icahn Stadium, New York, NY (USA)",09 JUN 2012,1240,javelin-throw,throws,female,senior
32,68.66,,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,1,"Stadio Olimpico, Roma (ITA)",10 JUN 2010,1239,javelin-throw,throws,female,senior
33,68.65,,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,1,"Stadio Olimpico, Roma (ITA)",31 MAY 2012,1239,javelin-throw,throws,female,senior
34,68.63,,Christina OBERGFÖLL,22 AUG 1981,GER,1,Elstal (GER),12 SEP 2010,1238,javelin-throw,throws,female,senior
35,68.59,,Christina OBERGFÖLL,22 AUG 1981,GER,1,"Estádio Dr. Magalhães Pessoa, Leiria (POR)",20 JUN 2009,1237,javelin-throw,throws,female,senior
35,68.59,,Mariya ABAKUMOVA,15 JAN 1986,RUS,1,"Olympiastadion, Stockholm (SWE)",22 AUG 2013,1237,javelin-throw,throws,female,senior
37,68.57,,Kathryn MITCHELL,10 JUL 1982,AUS,1,Melbourne (AUS),03 MAR 2018,1237,javelin-throw,throws,female,senior
38,68.47,,Olisdeilys MENÉNDEZ,14 NOV 1979,CUB,1,Helsinki (FIN),24 JUL 2005,1235,javelin-throw,throws,female,senior
39,68.43,,Sara KOLAK,22 JUN 1995,CRO,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 2017,1234,javelin-throw,throws,female,senior
40,68.40,,Olisdeilys MENÉNDEZ,14 NOV 1979,CUB,1,Tartu (EST),19 JUN 2001,1234,javelin-throw,throws,female,senior
40,68.40,,Christina OBERGFÖLL,22 AUG 1981,GER,1,Halle (GER),23 MAY 2009,1234,javelin-throw,throws,female,senior
42,68.38,,Sunette VILJOEN,06 OCT 1983,RSA,2,"DS, Daegu (KOR)",02 SEP 2011,1234,javelin-throw,throws,female,senior
43,68.34,,Steffi NERIUS,01 JUL 1972,GER,2,Elstal (GER),31 AUG 2008,1233,javelin-throw,throws,female,senior
44,68.32,,Trine HATTESTAD,18 APR 1966,NOR,1,"Olympiastadion, Berlin (GER)",01 SEP 2000,1232,javelin-throw,throws,female,senior
45,68.26,,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,1,"Olympic Stadium, London (GBR)",09 JUL 2017,1231,javelin-throw,throws,female,senior
46,68.23,,Olisdeilys MENÉNDEZ,14 NOV 1979,CUB,1,La Habana (CUB),05 MAR 2004,1231,javelin-throw,throws,female,senior
46,68.23,,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,1,"Stadion Juliska, Praha (CZE)",08 JUN 2009,1231,javelin-throw,throws,female,senior
48,68.22,,Trine HATTESTAD,18 APR 1966,NOR,1,"Stadio Olimpico, Roma (ITA)",30 JUN 2000,1231,javelin-throw,throws,female,senior
49,68.19,,Trine HATTESTAD,18 APR 1966,NOR,1,Fana (NOR),28 JUL 1999,1230,javelin-throw,throws,female,senior
50,68.11,,Kara WINGER,10 APR 1986,USA,1,"Boudewijnstadion, Bruxelles (BEL)",02 SEP 2022,1229,javelin-throw,throws,female,senior
51,68.08,,Christina OBERGFÖLL,22 AUG 1981,GER,1,Halle (GER),19 MAY 2007,1228,javelin-throw,throws,female,senior
52,68.01,,Christina OBERGFÖLL,22 AUG 1981,GER,1,"Stade de France, Paris-St-Denis (FRA)",08 JUL 2011,1227,javelin-throw,throws,female,senior
53,67.99,,Olisdeilys MENÉNDEZ,14 NOV 1979,CUB,1,Herakleion (GRE),04 JUL 2004,1226,javelin-throw,throws,female,senior
53,67.99,,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,1,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2014,1226,javelin-throw,throws,female,senior
55,67.98,,Huihui LYU,26 JUN 1989,CHN,1,Shenyang (CHN),02 AUG 2019,1226,javelin-throw,throws,female,senior
56,67.95,,Sunette VILJOEN,06 OCT 1983,RSA,2,"Stadio Olimpico, Roma (ITA)",31 MAY 2012,1226,javelin-throw,throws,female,senior
57,67.93,,Christina OBERGFÖLL,22 AUG 1981,GER,1,Biberach (GER),24 JUN 2009,1225,javelin-throw,throws,female,senior
58,67.92,,Trine HATTESTAD,18 APR 1966,NOR,1,Stockholm (SWE),01 AUG 2000,1225,javelin-throw,throws,female,senior
59,67.90,,Christin HUSSONG,17 MAR 1994,GER,1,"Olympiastadion, Berlin (GER)",10 AUG 2018,1225,javelin-throw,throws,female,senior
60,67.87,,Olisdeilys MENÉNDEZ,14 NOV 1979,CUB,1,Madrid (ESP),17 JUL 2004,1224,javelin-throw,throws,female,senior
61,67.83,,Olisdeilys MENÉNDEZ,14 NOV 1979,CUB,2,"Olympiastadion, Berlin (GER)",01 SEP 2000,1223,javelin-throw,throws,female,senior
61,67.83,,Sara KOLAK,22 JUN 1995,CRO,2,"Olympic Stadium, London (GBR)",09 JUL 2017,1223,javelin-throw,throws,female,senior
61,67.83,,Huihui LYU,26 JUN 1989,CHN,1,Shenyang (CHN),11 JUL 2019,1223,javelin-throw,throws,female,senior
64,67.78,,Christina OBERGFÖLL,22 AUG 1981,GER,1,"Olympic Stadium, Athina (GRE)",02 JUL 2007,1222,javelin-throw,throws,female,senior
64,67.78,,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,1,"Mestský Stadion, Ostrava (CZE)",25 MAY 2012,1222,javelin-throw,throws,female,senior
66,67.76,,Trine HATTESTAD,18 APR 1966,NOR,1,Bruxelles (BEL),25 AUG 2000,1222,javelin-throw,throws,female,senior
66,67.76,,Victoria HUDSON,28 MAY 1996,AUT,1,"Atletski stadion Poljane, Maribor (SLO)",28 JUN 2025,1222,javelin-throw,throws,female,senior
68,67.72,,Christina OBERGFÖLL,22 AUG 1981,GER,1,Ostrava (CZE),12 JUN 2008,1221,javelin-throw,throws,female,senior
68,67.72,,Huihui LYU,26 JUN 1989,CHN,1f1,Huangshi (CHN),13 APR 2019,1221,javelin-throw,throws,female,senior
70,67.70,,Christina OBERGFÖLL,22 AUG 1981,GER,1,"Hayward Field, Eugene, OR (USA)",31 MAY 2013,1221,javelin-throw,throws,female,senior
70,67.70,,Kelsey-Lee BARBER,20 SEP 1991,AUS,1,Luzern (SUI),09 JUL 2019,1221,javelin-throw,throws,female,senior
72,67.69,,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,1q1,"National Stadium, Beijing (CHN)",19 AUG 2008,1221,javelin-throw,throws,female,senior
72,67.69,,Katharina MOLITOR,08 NOV 1983,GER,1,"National Stadium, Beijing (CHN)",30 AUG 2015,1221,javelin-throw,throws,female,senior
72,67.69,,Huihui LYU,26 JUN 1989,CHN,1,Halle (GER),26 MAY 2018,1221,javelin-throw,throws,female,senior
75,67.67,,Sonia BISSET,01 APR 1971,CUB,1,Salamanca (ESP),06 JUL 2005,1220,javelin-throw,throws,female,senior
76,67.63,,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,1,"Puskás Ferenc Stadion, Budapest (HUN)",19 JUN 2010,1220,javelin-throw,throws,female,senior
77,67.61,,Huihui LYU,26 JUN 1989,CHN,1,"Beijing Sport University, Beijing (CHN)",30 JUN 2020,1219,javelin-throw,throws,female,senior
78,67.59,,Huihui LYU,26 JUN 1989,CHN,1q2,"Olympic Stadium, London (GBR)",06 AUG 2017,1219,javelin-throw,throws,female,senior
79,67.58,,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,1,Praha (CZE),28 JUN 2009,1219,javelin-throw,throws,female,senior
79,67.58,,Kathryn MITCHELL,10 JUL 1982,AUS,1,Melbourne (AUS),11 FEB 2018,1219,javelin-throw,throws,female,senior
81,67.57,,Christina OBERGFÖLL,22 AUG 1981,GER,1,"Olympiastadion, Berlin (GER)",22 AUG 2010,1218,javelin-throw,throws,female,senior
81,67.57,,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,2,"Stade de France, Paris-St-Denis (FRA)",08 JUL 2011,1218,javelin-throw,throws,female,senior
83,67.52,,Christina OBERGFÖLL,22 AUG 1981,GER,1q2,"National Stadium, Beijing (CHN)",19 AUG 2008,1218,javelin-throw,throws,female,senior
83,67.52,,Sunette VILJOEN,06 OCT 1983,RSA,1,"Olympiastadion, Berlin (GER)",02 SEP 2012,1218,javelin-throw,throws,female,senior
85,67.51,,Mirela MANJANI-TZELILI,21 DEC 1976,GRE,2,"Olympic Stadium, Sydney (AUS)",30 SEP 2000,1217,javelin-throw,throws,female,senior
86,67.48,,Christina OBERGFÖLL,22 AUG 1981,GER,1,Baunatal (GER),05 JUN 2009,1217,javelin-throw,throws,female,senior
87,67.47,,Mirela MANJANI-TZELILI,21 DEC 1976,GRE,1,"Olympiastadion, München (GER)",08 AUG 2002,1217,javelin-throw,throws,female,senior
87,67.47,,Tatsiana KHALADOVICH,21 JUN 1991,BLR,1,"Bislett Stadion, Oslo (NOR)",07 JUN 2018,1217,javelin-throw,throws,female,senior
89,67.46,,Sunette VILJOEN,06 OCT 1983,RSA,2,"Letzigrund, Zürich (SUI)",08 SEP 2011,1216,javelin-throw,throws,female,senior
90,67.40,,Olisdeilys MENÉNDEZ,14 NOV 1979,CUB,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 JUL 2002,1215,javelin-throw,throws,female,senior
90,67.40,,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 2017,1215,javelin-throw,throws,female,senior
90,67.40,,Nikola OGRODNÍKOVÁ,18 AUG 1990,CZE,1,Offenburg (GER),26 MAY 2019,1215,javelin-throw,throws,female,senior
90,67.40,,Maggie MALONE,30 DEC 1993,USA,1,"East Stroudsburg South HS, East Stroudsburg, PA (USA)",17 JUL 2021,1215,javelin-throw,throws,female,senior
94,67.38,,Haruka KITAGUCHI,16 MAR 1998,JPN,1,"Boudewijnstadion, Bruxelles (BEL)",08 SEP 2023,1215,javelin-throw,throws,female,senior
95,67.34,,Olisdeilys MENÉNDEZ,14 NOV 1979,CUB,1q2,"Olympic Stadium, Sydney (AUS)",29 SEP 2000,1214,javelin-throw,throws,female,senior
96,67.33,,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,1,"Suhaim bin Hamad Stadium, Doha (QAT)",14 MAY 2010,1214,javelin-throw,throws,female,senior
97,67.32,,Linda STAHL,02 OCT 1985,GER,1,"Icahn Stadium, New York, NY (USA)",14 JUN 2014,1214,javelin-throw,throws,female,senior
98,67.31,,Christina OBERGFÖLL,22 AUG 1981,GER,1,"Letzigrund, Zürich (SUI)",19 AUG 2010,1214,javelin-throw,throws,female,senior
99,67.30,,Steffi NERIUS,01 JUL 1972,GER,1,"Olympiastadion, Berlin (GER)",18 AUG 2009,1213,javelin-throw,throws,female,senior
99,67.30,,Vera REBRIK,25 FEB 1989,RUS,1,Sochi (RUS),19 FEB 2016,1213,javelin-throw,throws,female,senior
101,67.29,,Hanna HATSKO-FEDUSOVA,03 OCT 1990,UKR,1,Kirovograd (UKR),26 JUL 2014,1213,javelin-throw,throws,female,senior
101,67.29,,Christin HUSSONG,17 MAR 1994,GER,1q1,"Olympiastadion, Berlin (GER)",09 AUG 2018,1213,javelin-throw,throws,female,senior
101,67.29,,Shiying LIU,24 SEP 1993,CHN,1,"Shangyu Stadium, Shaoxing (CHN)",15 SEP 2020,1213,javelin-throw,throws,female,senior
104,67.27,,Huihui LYU,26 JUN 1989,CHN,1q2,"Khalifa International Stadium, Doha (QAT)",30 SEP 2019,1213,javelin-throw,throws,female,senior
105,67.25,,Mariya ABAKUMOVA,15 JAN 1986,RUS,1,Irkutsk (RUS),02 AUG 2008,1213,javelin-throw,throws,female,senior
106,67.24,,Olisdeilys MENÉNDEZ,14 NOV 1979,CUB,1,"Stade Louis II, Monaco (MON)",09 SEP 2005,1212,javelin-throw,throws,female,senior
107,67.22,,Tatsiana KHALADOVICH,21 JUN 1991,BLR,1,Minsk (BLR),28 JUN 2019,1212,javelin-throw,throws,female,senior
107,67.22,,Adriana VILAGOŠ,02 JAN 2004,SRB,1,"Stadion Park Mladeži, Split (CRO)",26 APR 2025,1212,javelin-throw,throws,female,senior
109,67.21,,Eda TUĞSUZ,27 MAR 1997,TUR,1,Baku (AZE),18 MAY 2017,1212,javelin-throw,throws,female,senior
110,67.20,,Tatyana SHIKOLENKO,10 MAY 1968,RUS,1,"Stade Louis II, Monaco (MON)",18 AUG 2000,1212,javelin-throw,throws,female,senior
111,67.19,,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",23 AUG 2012,1211,javelin-throw,throws,female,senior
112,67.17,,Tatsiana KHALADOVICH,21 JUN 1991,BLR,1,"RTSOP, Minsk (BLR)",20 FEB 2020,1211,javelin-throw,throws,female,senior
113,67.16,,Martina RATEJ,02 NOV 1981,SLO,2,"Suhaim bin Hamad Stadium, Doha (QAT)",14 MAY 2010,1211,javelin-throw,throws,female,senior
114,67.14,,Olisdeilys MENÉNDEZ,14 NOV 1979,CUB,1,La Habana (CUB),10 MAR 2002,1210,javelin-throw,throws,female,senior
114,67.14,,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,1,"Olympiastadion, Berlin (GER)",11 SEP 2011,1210,javelin-throw,throws,female,senior
116,67.12,,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",22 SEP 2007,1210,javelin-throw,throws,female,senior
116,67.12,,Shiying LIU,24 SEP 1993,CHN,1,"Yanmar Stadium Nagai, Osaka (JPN)",20 MAY 2018,1210,javelin-throw,throws,female,senior
118,67.11,,Maria ANDREJCZYK,09 MAR 1996,POL,1q2,"Estádio Olímpico, Rio de Janeiro (BRA)",16 AUG 2016,1210,javelin-throw,throws,female,senior
