rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,65.89,,Ziyi YAN,22 MAY 2008,CHN,1,"Sports Center, Quzhou (CHN)",03 AUG 2025,1187,javelin-throw,throws,female,u20
2,64.83,,Ziyi YAN,22 MAY 2008,CHN,1f1,"Sichuan Xipu Training Base, Chengdu (CHN)",28 MAR 2025,1168,javelin-throw,throws,female,u20
3,64.46,,Ziyi YAN,22 MAY 2008,CHN,1,"National Stadium, Beijing (CHN)",07 SEP 2025,1161,javelin-throw,throws,female,u20
4,64.41,,Ziyi YAN,22 MAY 2008,CHN,1,"Sports Center, Quzhou (CHN)",14 SEP 2024,1160,javelin-throw,throws,female,u20
5,64.38,,Ziyi YAN,22 MAY 2008,CHN,1,"Kuishan Sports Center, Rizhao (CHN)",27 SEP 2025,1159,javelin-throw,throws,female,u20
6,64.28,,Ziyi YAN,22 MAY 2008,CHN,1,"HOC Stadium, Hangzhou (CHN)",14 APR 2024,1157,javelin-throw,throws,female,u20
7,64.05,,Ziyi YAN,22 MAY 2008,CHN,1f1,"Sichuan Xipu Training Base, Chengdu (CHN)",01 APR 2025,1153,javelin-throw,throws,female,u20
8,63.96,,Elina TZENGKO,02 SEP 2002,GRE,1,"Zosimades National Stadium, Ioannina (GRE)",01 AUG 2020,1151,javelin-throw,throws,female,u20
9,63.86,,Yulenmis AGUILAR,03 AUG 1996,CUB,1,Edmonton (CAN),02 AUG 2015,1150,javelin-throw,throws,female,u20
10,63.52,,Adriana VILAGOŠ,02 JAN 2004,SRB,1,"Pascual Guerrero Stadium, Cali (COL)",02 AUG 2022,1143,javelin-throw,throws,female,u20
11,63.51,,Ziyi YAN,22 MAY 2008,CHN,1,"Kuishan Sports Center, Rizhao (CHN)",29 JUN 2024,1143,javelin-throw,throws,female,u20
12,63.05,,Ziyi YAN,22 MAY 2008,CHN,1,"Estadio Atlético de la VIDENA, Lima (PER)",30 AUG 2024,1135,javelin-throw,throws,female,u20
13,63.01,,Vera REBRIK,25 FEB 1989,UKR,1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",10 JUL 2008,1134,javelin-throw,throws,female,u20
14,63.00,,Adriana VILAGOŠ,02 JAN 2004,SRB,3,"Boudewijnstadion, Bruxelles (BEL)",02 SEP 2022,1134,javelin-throw,throws,female,u20
15,62.96,,Ziyi YAN,22 MAY 2008,CHN,1,"City Stadium, Daqing (CHN)",15 JUN 2024,1133,javelin-throw,throws,female,u20
16,62.93,,Juan XUE,10 FEB 1986,CHN,1,Changsha (CHN),27 OCT 2003,1132,javelin-throw,throws,female,u20
17,62.76,,Adriana VILAGOŠ,02 JAN 2004,SRB,1,"Atletski stadion, Sremska Mitrovica (SRB)",11 JUN 2022,1129,javelin-throw,throws,female,u20
18,62.73,,Ziyi YAN,22 MAY 2008,CHN,1,"Werferzentrum Brandberge, Halle (GER)",24 MAY 2025,1129,javelin-throw,throws,female,u20
19,62.36,,Adriana VILAGOŠ,02 JAN 2004,SRB,2,"Sports Park Mladost, Zagreb (CRO)",14 SEP 2021,1122,javelin-throw,throws,female,u20
20,62.23,,Ziyi YAN,22 MAY 2008,CHN,1q1,"Sichuan Xipu Training Base, Chengdu (CHN)",02 APR 2024,1119,javelin-throw,throws,female,u20
21,62.21,,Elina TZENGKO,02 SEP 2002,GRE,3,"Mestský Stadion Sletište, Kladno (CZE)",16 SEP 2020,1119,javelin-throw,throws,female,u20
22,62.11,,Maria ANDREJCZYK,09 MAR 1996,POL,1,"Stadion OPO Cetniewo, Władysławowo (POL)",01 AUG 2015,1117,javelin-throw,throws,female,u20
23,62.09,,Li ZHANG,17 JAN 1989,CHN,1,Beijing (CHN),25 MAY 2008,1117,javelin-throw,throws,female,u20
24,62.01,,Adriana VILAGOŠ,02 JAN 2004,SRB,2,"Olympiastadion, München (GER)",20 AUG 2022,1115,javelin-throw,throws,female,u20
25,61.99,,Yaning WANG,04 JAN 1980,CHN,1,Huizhou (CHN),14 OCT 1999,1115,javelin-throw,throws,female,u20
26,61.96,,Sofi FLINK,08 JUL 1995,SWE,4q1,"Luzhniki Stadion, Moskva (RUS)",16 AUG 2013,1114,javelin-throw,throws,female,u20
27,61.87,,Adriana VILAGOŠ,02 JAN 2004,SRB,4,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2023,1113,javelin-throw,throws,female,u20
28,61.83,,Ziyi YAN,22 MAY 2008,CHN,1,"Sichuan Xipu Training Base, Chengdu (CHN)",03 APR 2024,1112,javelin-throw,throws,female,u20
29,61.79,,Nikolett SZABÓ,03 MAR 1980,HUN,1,Schwechat (AUT),23 MAY 1999,1111,javelin-throw,throws,female,u20
30,61.77,,Li ZHANG,17 JAN 1989,CHN,4q1,"National Stadium, Beijing (CHN)",19 AUG 2008,1111,javelin-throw,throws,female,u20
31,61.76,,Elina TZENGKO,02 SEP 2002,GRE,1,Patra (GRE),08 AUG 2020,1111,javelin-throw,throws,female,u20
32,61.65,,Adriana VILAGOŠ,02 JAN 2004,SRB,1,"Wurfplatz Oberaue, Jena (GER)",18 SEP 2021,1109,javelin-throw,throws,female,u20
33,61.64,,Vera REBRIK,25 FEB 1989,UKR,1,Yalta (UKR),07 MAY 2008,1108,javelin-throw,throws,female,u20
34,61.61,,Chunfeng CHANG,04 MAY 1988,CHN,1,Chengdu (CHN),04 JUN 2007,1108,javelin-throw,throws,female,u20
35,61.53,,Elina TZENGKO,02 SEP 2002,GRE,1,"Kaftanzoglio Stadium, Thessaloniki (GRE)",08 JUL 2020,1106,javelin-throw,throws,female,u20
36,61.52,,Nikolett SZABÓ,03 MAR 1980,HUN,1,"Daugava Stadium, Riga (LAT)",08 AUG 1999,1106,javelin-throw,throws,female,u20
37,61.49,,Lili LIANG,16 NOV 1983,CHN,1,Benxi (CHN),10 JUN 2002,1106,javelin-throw,throws,female,u20
38,61.48,,Elina TZENGKO,02 SEP 2002,GRE,1,Halle (GER),01 JUN 2019,1105,javelin-throw,throws,female,u20
39,61.46,,Adriana VILAGOŠ,02 JAN 2004,SRB,1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",19 AUG 2021,1105,javelin-throw,throws,female,u20
40,61.42,,Juan XUE,10 FEB 1986,CHN,2,Macao (MAC),02 NOV 2005,1104,javelin-throw,throws,female,u20
40,61.42,,Elina TZENGKO,02 SEP 2002,GRE,1,"Atletski stadion, Smederevo (SRB)",26 JUN 2021,1104,javelin-throw,throws,female,u20
42,61.40,,Sofi FLINK,08 JUL 1995,SWE,1,"Estadio Olímpico, Barcelona (ESP)",11 JUL 2012,1104,javelin-throw,throws,female,u20
42,61.40,,Ziyi YAN,22 MAY 2008,CHN,1,"Guoxin Sports Center, Qingdao (CHN)",14 MAY 2024,1104,javelin-throw,throws,female,u20
44,61.38,,Annika SUTHE,15 OCT 1985,GER,1,Halle (GER),23 MAY 2004,1104,javelin-throw,throws,female,u20
44,61.38,,Haruka KITAGUCHI,16 MAR 1998,JPN,3,"Todoroki Stadium, Kawasaki (JPN)",08 MAY 2016,1104,javelin-throw,throws,female,u20
46,61.31,,Ziyi YAN,22 MAY 2008,CHN,1,"Sichuan Xipu Training Base, Chengdu (CHN)",30 MAR 2024,1102,javelin-throw,throws,female,u20
47,61.24,,Marcelina WITEK,02 JUN 1995,POL,1,Bialogard (POL),06 SEP 2014,1101,javelin-throw,throws,female,u20
48,61.22,,Adriana VILAGOŠ,02 JAN 2004,SRB,2,"Mestský Stadion, Ostrava (CZE)",27 JUN 2023,1101,javelin-throw,throws,female,u20
49,61.18,,Elina TZENGKO,02 SEP 2002,GRE,1,"Kadrioru staadion, Tallinn (EST)",18 JUL 2021,1100,javelin-throw,throws,female,u20
50,61.07,,Haruka KITAGUCHI,16 MAR 1998,JPN,1,Matsuyama (JPN),08 OCT 2017,1098,javelin-throw,throws,female,u20
51,61.06,,Juan XUE,10 FEB 1986,CHN,1q1,Changsha (CHN),23 OCT 2003,1098,javelin-throw,throws,female,u20
52,61.00,,Adriana VILAGOŠ,02 JAN 2004,SRB,1,"Stadion Park Mladeži, Split (CRO)",07 MAY 2023,1097,javelin-throw,throws,female,u20
53,60.96,,Sofi FLINK,08 JUL 1995,SWE,1,Sollentuna (SWE),27 JUN 2013,1096,javelin-throw,throws,female,u20
54,60.94,,Adriana VILAGOŠ,02 JAN 2004,SRB,2,"Atletski stadion, Smederevo (SRB)",26 JUN 2021,1095,javelin-throw,throws,female,u20
54,60.94,,Adriana VILAGOŠ,02 JAN 2004,SRB,4,"ETSV Stadion, Offenburg (GER)",15 MAY 2022,1095,javelin-throw,throws,female,u20
56,60.90,,Lili LIANG,16 NOV 1983,CHN,2,Shenyang (CHN),18 JUN 1999,1095,javelin-throw,throws,female,u20
56,60.90,,Juan XUE,10 FEB 1986,CHN,1,Nanning (CHN),17 APR 2004,1095,javelin-throw,throws,female,u20
58,60.88,,Chunfeng CHANG,04 MAY 1988,CHN,1,Suzhou (CHN),10 JUN 2007,1094,javelin-throw,throws,female,u20
59,60.84,,Haruka KITAGUCHI,16 MAR 1998,JPN,1,Sapporo (JPN),10 JUL 2016,1094,javelin-throw,throws,female,u20
59,60.84,,Yiselena BALLAR ROJAS,12 JAN 2003,CUB,1,"Estadio Panamericano, La Habana (CUB)",21 MAY 2021,1094,javelin-throw,throws,female,u20
61,60.80,,Elina TZENGKO,02 SEP 2002,GRE,1,Thessaloniki (GRE),19 JUL 2020,1093,javelin-throw,throws,female,u20
62,60.78,,Adriana VILAGOŠ,02 JAN 2004,SRB,1,"Atletski stadion, Sremska Mitrovica (SRB)",04 SEP 2021,1092,javelin-throw,throws,female,u20
63,60.77,,Maria ANDREJCZYK,09 MAR 1996,POL,1,Słupsk (POL),19 SEP 2015,1092,javelin-throw,throws,female,u20
64,60.73,,Yiselena BALLAR ROJAS,12 JAN 2003,CUB,1,"Estadio Panamericano, La Habana (CUB)",04 JUN 2021,1091,javelin-throw,throws,female,u20
65,60.72,,Adriana VILAGOŠ,02 JAN 2004,SRB,1,"Estádio Dr. Magalhães Pessoa, Leiria (POR)",12 MAR 2022,1091,javelin-throw,throws,female,u20
65,60.72,,Adriana VILAGOŠ,02 JAN 2004,SRB,1,Split (CRO),30 APR 2022,1091,javelin-throw,throws,female,u20
67,60.69,,Lili LIANG,16 NOV 1983,CHN,1,Shunde (CHN),14 APR 2002,1091,javelin-throw,throws,female,u20
68,60.68,,Dan SONG,05 JUL 1990,CHN,1,Chengdu (CHN),30 MAR 2008,1091,javelin-throw,throws,female,u20
69,60.66,,Sofi FLINK,08 JUL 1995,SWE,1,Stockholm (SWE),07 SEP 2013,1090,javelin-throw,throws,female,u20
70,60.64,,Līna MŪZE,04 DEC 1992,LAT,1,Riga (LAT),02 JUN 2011,1090,javelin-throw,throws,female,u20
71,60.62,,Adriana VILAGOŠ,02 JAN 2004,SRB,1q2,"Kadrioru staadion, Tallinn (EST)",17 JUL 2021,1089,javelin-throw,throws,female,u20
71,60.62,,Adriana VILAGOŠ,02 JAN 2004,SRB,1,"Atletski Stadion, Kraljevo (SRB)",22 JUL 2023,1089,javelin-throw,throws,female,u20
73,60.57,,Nikolett SZABÓ,03 MAR 1980,HUN,6,Linz (AUT),26 JUL 1999,1089,javelin-throw,throws,female,u20
74,60.54,,Ziyi YAN,22 MAY 2008,CHN,5,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",03 MAY 2025,1088,javelin-throw,throws,female,u20
75,60.52,,Yulenmis AGUILAR,03 AUG 1996,CUB,10q2,"National Stadium, Beijing (CHN)",28 AUG 2015,1088,javelin-throw,throws,female,u20
76,60.51,,Adriana VILAGOŠ,02 JAN 2004,SRB,1,"Stadionul de atletism ""Nicolae Mărășescu"", Craiova (ROU)",18 JUN 2022,1087,javelin-throw,throws,female,u20
77,60.49,,Haruka KITAGUCHI,16 MAR 1998,JPN,1,Fukui (JPN),08 SEP 2017,1087,javelin-throw,throws,female,u20
78,60.46,,Adriana VILAGOŠ,02 JAN 2004,SRB,1,"Atletski stadion, Sremska Mitrovica (SRB)",11 APR 2021,1086,javelin-throw,throws,female,u20
79,60.45,,Sandra SCHAFFARZIK,22 JUN 1987,GER,1,"Chaoyang Sport Center, Beijing (CHN)",19 AUG 2006,1086,javelin-throw,throws,female,u20
80,60.44,,Adriana VILAGOŠ,02 JAN 2004,SRB,2,"Kadrioru staadion, Tallinn (EST)",18 JUL 2021,1086,javelin-throw,throws,female,u20
81,60.43,,Elina TZENGKO,02 SEP 2002,GRE,1,"Pampeloponnisiako Stadium, Patra (GRE)",05 JUN 2021,1086,javelin-throw,throws,female,u20
82,60.35,,Tatjana JELAČA,10 AUG 1990,SRB,1,"Karađorđe Stadium, Novi Sad (SRB)",26 JUL 2009,1084,javelin-throw,throws,female,u20
83,60.27,,Ziyi YAN,22 MAY 2008,CHN,1,"Sports Center, Yulin (CHN)",11 JUL 2025,1083,javelin-throw,throws,female,u20
84,60.25,,Nikolett SZABÓ,03 MAR 1980,HUN,2,Chemnitz (GER),02 JUN 1999,1083,javelin-throw,throws,female,u20
84,60.25,,Lili LIANG,16 NOV 1983,CHN,1,Baoding (CHN),08 SEP 2002,1083,javelin-throw,throws,female,u20
86,60.22,,Adriana VILAGOŠ,02 JAN 2004,SRB,1,"Stadion Park Mladeži, Split (CRO)",09 MAY 2021,1082,javelin-throw,throws,female,u20
86,60.22,,Adriana VILAGOŠ,02 JAN 2004,SRB,1,"Stade Complexe Olympique, Oran (ALG)",02 JUL 2022,1082,javelin-throw,throws,female,u20
88,60.17,,Adriana VILAGOŠ,02 JAN 2004,SRB,3,"Sports Park Mladost, Zagreb (CRO)",11 SEP 2022,1081,javelin-throw,throws,female,u20
89,60.14,,Vivian ZIMMER,22 JUL 1987,GER,1,Heilbronn (GER),31 JUL 2004,1081,javelin-throw,throws,female,u20
90,60.13,,Adriana VILAGOŠ,02 JAN 2004,SRB,1,"Atletski Stadion, Kruševac (SRB)",10 JUL 2022,1080,javelin-throw,throws,female,u20
91,60.08,,Juan XUE,10 FEB 1986,CHN,1,Shijiazhuang (CHN),23 MAY 2004,1079,javelin-throw,throws,female,u20
92,60.07,,Yiselena BALLAR ROJAS,12 JAN 2003,CUB,1,"Estadio Universitario, Lisboa (POR)",10 JUN 2022,1079,javelin-throw,throws,female,u20
93,60.06,,Anastasiya SVECHNIKOVA,20 SEP 1992,UZB,1,Tashkent (UZB),30 SEP 2011,1079,javelin-throw,throws,female,u20
94,60.01,,Anete KOCIŅA,05 FEB 1996,LAT,2,Ventspils (LAT),08 AUG 2015,1078,javelin-throw,throws,female,u20
95,60.00,,Lili LIANG,16 NOV 1983,CHN,1,Shanghai (CHN),18 MAY 2002,1078,javelin-throw,throws,female,u20
95,60.00,,Adriana VILAGOŠ,02 JAN 2004,SRB,1,"Atletski Stadion, Kruševac (SRB)",25 JUN 2022,1078,javelin-throw,throws,female,u20
