rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,20.52,,Corrie DE BRUIN,26 OCT 1976,NED,1,Assen (NED),13 JUN 1993,,shot-put-3kg,throws,female,u18
2,20.14,,Emel DERELI,25 FEB 1996,TUR,1,Donetsk (UKR),11 JUL 2013,,shot-put-3kg,throws,female,u18
3,19.99,,Emel DERELI,25 FEB 1996,TUR,1,Eskisehir (TUR),08 JUN 2013,,shot-put-3kg,throws,female,u18
4,19.88,,Jorinde VAN KLINKEN,02 FEB 2000,NED,1,Roermond (NED),28 OCT 2017,,shot-put-3kg,throws,female,u18
5,19.60,,Alyona GORDEYEVA,24 APR 1997,RUS,1,Chelyabinsk (RUS),04 JUL 2014,,shot-put-3kg,throws,female,u18
6,19.59,,Emel DERELI,25 FEB 1996,TUR,1,Istanbul (TUR),01 JUN 2013,,shot-put-3kg,throws,female,u18
7,19.58,,Jorinde VAN KLINKEN,02 FEB 2000,NED,1,Halle (GER),21 MAY 2017,,shot-put-3kg,throws,female,u18
8,19.42,,Alyona GORDEYEVA,24 APR 1997,RUS,1,Sochi (RUS),24 APR 2014,,shot-put-3kg,throws,female,u18
8,19.42,,Xinyao CHEN,14 MAR 2008,CHN,1,"Olympic Center, Shenyang (CHN)",14 AUG 2025,,shot-put-3kg,throws,female,u18
10,19.41,,Emel DERELI,25 FEB 1996,TUR,1,Izmir (TUR) (i),15 DEC 2012,,shot-put-3kg,throws,female,u18
11,19.34,,Xinyao CHEN,14 MAR 2008,CHN,1,"Olympic Center, Shenyang (CHN)",12 AUG 2025,,shot-put-3kg,throws,female,u18
12,19.33,,Emel DERELI,25 FEB 1996,TUR,1,Bursa (TUR),04 MAY 2013,,shot-put-3kg,throws,female,u18
13,19.31,,Jorinde VAN KLINKEN,02 FEB 2000,NED,1,Enschede (NED),22 OCT 2017,,shot-put-3kg,throws,female,u18
13,19.31,,Xinhui LI,26 FEB 2001,CHN,1,Zhuzhou (CHN),16 APR 2018,,shot-put-3kg,throws,female,u18
15,19.30,,Jorinde VAN KLINKEN,02 FEB 2000,NED,1,Dortmund (GER) (i),17 DEC 2017,,shot-put-3kg,throws,female,u18
16,19.24,,Alyona GORDEYEVA,24 APR 1997,RUS,1,Moskva (RUS),17 JUN 2014,,shot-put-3kg,throws,female,u18
17,19.18,,Emel DERELI,25 FEB 1996,TUR,1q1,Donetsk (UKR),11 JUL 2013,,shot-put-3kg,throws,female,u18
18,19.17,,Alyona GORDEYEVA,24 APR 1997,RUS,1,Chelyabinsk (RUS),21 JUN 2013,,shot-put-3kg,throws,female,u18
19,19.12,,Corrie DE BRUIN,26 OCT 1976,NED,1,Valkenswaard (NED),08 JUL 1993,,shot-put-3kg,throws,female,u18
19,19.12,,Melissa BOEKELMAN,11 MAY 1989,NED,1,Bergen op Zoom (NED),01 JUL 2006,,shot-put-3kg,throws,female,u18
21,18.97,,Emel DERELI,25 FEB 1996,TUR,1,Edirne (TUR),03 AUG 2013,,shot-put-3kg,throws,female,u18
21,18.97,,Jorinde VAN KLINKEN,02 FEB 2000,NED,1,Vught (NED),01 JUL 2017,,shot-put-3kg,throws,female,u18
23,18.95,,Alyona GORDEYEVA,24 APR 1997,RUS,1f1,"Olympic Stadium, Nanjing (CHN)",24 AUG 2014,,shot-put-3kg,throws,female,u18
24,18.90,,Emel DERELI,25 FEB 1996,TUR,1,Istanbul (TUR) (i),19 JAN 2013,,shot-put-3kg,throws,female,u18
24,18.90,,Jorinde VAN KLINKEN,02 FEB 2000,NED,1,Dronten (NED),03 MAY 2017,,shot-put-3kg,throws,female,u18
26,18.89,,Jorinde VAN KLINKEN,02 FEB 2000,NED,1,Apeldoorn (NED) (i),18 FEB 2017,,shot-put-3kg,throws,female,u18
26,18.89,,Jorinde VAN KLINKEN,02 FEB 2000,NED,1,Breda (NED),08 OCT 2017,,shot-put-3kg,throws,female,u18
28,18.88,,Alyona GORDEYEVA,24 APR 1997,RUS,1,Cheboksary (RUS),07 MAY 2014,,shot-put-3kg,throws,female,u18
29,18.87,,Emel DERELI,25 FEB 1996,TUR,1,Trabzon (TUR),07 APR 2012,,shot-put-3kg,throws,female,u18
30,18.86,,Alyona GORDEYEVA,24 APR 1997,RUS,1q,"Olympic Stadium, Nanjing (CHN)",21 AUG 2014,,shot-put-3kg,throws,female,u18
31,18.84,,Emel DERELI,25 FEB 1996,TUR,1,Istanbul (TUR),02 JUN 2012,,shot-put-3kg,throws,female,u18
32,18.83,,Tianqian GUO,01 JUN 1995,CHN,1,Yantai (CHN),13 JUL 2012,,shot-put-3kg,throws,female,u18
32,18.83,,Xinyao CHEN,14 MAR 2008,CHN,1f1,"Olympic Sports Center, Huangshi (CHN)",30 JUN 2025,,shot-put-3kg,throws,female,u18
34,18.81,,Jorinde VAN KLINKEN,02 FEB 2000,NED,1,Den Haag (NED),24 SEP 2017,,shot-put-3kg,throws,female,u18
35,18.79,,Emel DERELI,25 FEB 1996,TUR,1,Izmir (TUR) (i),04 FEB 2012,,shot-put-3kg,throws,female,u18
36,18.70,,Maria RAFAILIDOU,29 JAN 2007,GRE,1,"Pampeloponnisiako Stadium, Patra (GRE)",16 JUN 2024,,shot-put-3kg,throws,female,u18
37,18.69,,Alyona GORDEYEVA,24 APR 1997,RUS,1f1,Penza (RUS),27 JUL 2013,,shot-put-3kg,throws,female,u18
38,18.67,,Emel DERELI,25 FEB 1996,TUR,1,Samsun (TUR),01 JUL 2013,,shot-put-3kg,throws,female,u18
38,18.67,,Kinga JACKOWSKA,11 MAR 2009,POL,1,"Stadion BOSiR, Białystok (POL)",31 MAY 2025,,shot-put-3kg,throws,female,u18
40,18.60,,Alyona GORDEYEVA,24 APR 1997,RUS,2,Donetsk (UKR),11 JUL 2013,,shot-put-3kg,throws,female,u18
41,18.59,,Nina Chioma NDUBUISI,29 APR 2004,GER,1,"Leichtathletikstadion, Rostock (GER)",01 AUG 2021,,shot-put-3kg,throws,female,u18
42,18.56,,Kristina RAKOČEVIĆ,13 JUN 1998,MNE,1,Bar (MNE),07 MAR 2015,,shot-put-3kg,throws,female,u18
42,18.56,,Xinyi TIAN,09 AUG 2006,CHN,1,Tashkent (UZB),30 APR 2023,,shot-put-3kg,throws,female,u18
44,18.54,,Tianxiao YU,06 JUN 2001,CHN,2,Zhuzhou (CHN),16 APR 2018,,shot-put-3kg,throws,female,u18
45,18.53,,Julia RITTER,13 MAY 1998,GER,1,"Pascual Guerrero Stadium, Cali (COL)",16 JUL 2015,,shot-put-3kg,throws,female,u18
46,18.52,,Xinhui LI,26 FEB 2001,CHN,1,Bangkok (THA),05 JUL 2018,,shot-put-3kg,throws,female,u18
47,18.51,,Julia RITTER,13 MAY 1998,GER,1,Halle (GER),17 MAY 2015,,shot-put-3kg,throws,female,u18
48,18.50,,Emel DERELI,25 FEB 1996,TUR,1,Yalta (UKR),25 MAY 2012,,shot-put-3kg,throws,female,u18
48,18.50,,Alexandra EMILIANOV,19 SEP 1999,MDA,1,"New District Stadium, Tbilisi (GEO)",16 JUL 2016,,shot-put-3kg,throws,female,u18
48,18.50,,Pinar AKYOL,02 OCT 2003,TUR,1q1,Baku (AZE),22 JUL 2019,,shot-put-3kg,throws,female,u18
51,18.47,,Alyona GORDEYEVA,24 APR 1997,RUS,1,Moskva (RUS),22 MAY 2014,,shot-put-3kg,throws,female,u18
51,18.47,,Xinyao CHEN,14 MAR 2008,CHN,1,"Sichuan Xipu Training Base, Chengdu (CHN)",02 APR 2025,,shot-put-3kg,throws,female,u18
51,18.47,,Xinyao CHEN,14 MAR 2008,CHN,1,"Prince Nayef Sports City, Qatif (KSA)",15 APR 2025,,shot-put-3kg,throws,female,u18
54,18.46,,Maria RAFAILIDOU,29 JAN 2007,GRE,1f1,Banská Bystrica (SVK),19 JUL 2024,,shot-put-3kg,throws,female,u18
55,18.45,,Tianxiao YU,06 JUN 2001,CHN,1,Weinan (CHN),19 AUG 2017,,shot-put-3kg,throws,female,u18
56,18.43,,Emel DERELI,25 FEB 1996,TUR,1,Istanbul (TUR) (i),26 JAN 2013,,shot-put-3kg,throws,female,u18
56,18.43,,Nafy THIAM,19 SEP 2007,BEL,1,"Topsporthal Vlaanderen, Gent (BEL) (i)",02 MAR 2024,,shot-put-3kg,throws,female,u18
