rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,22.63,,Natalya LISOVSKAYA,16 JUL 1962,URS,1,Moskva (URS),07 JUN 1987,1372,shot-put,throws,female,senior
2,22.60,,Natalya LISOVSKAYA,16 JUL 1962,URS,,Moskva (URS),07 JUN 1987,1371,shot-put,throws,female,senior
3,22.55,,Natalya LISOVSKAYA,16 JUL 1962,URS,1,Tallinn (EST),05 JUL 1988,1367,shot-put,throws,female,senior
4,22.53,,Natalya LISOVSKAYA,16 JUL 1962,URS,1,Sochi (URS),27 MAY 1984,1366,shot-put,throws,female,senior
4,22.53,,Natalya LISOVSKAYA,16 JUL 1962,URS,1,Kiev (URS),14 AUG 1988,1366,shot-put,throws,female,senior
6,22.50,,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1,Jablonec (TCH) (i),19 FEB 1977,1364,shot-put,throws,female,senior
7,22.45,,Ilona SLUPIANEK,24 SEP 1956,GDR,1,Potsdam (GDR),11 MAY 1980,1361,shot-put,throws,female,senior
8,22.41,,Ilona SLUPIANEK,24 SEP 1956,GDR,1,"Lenin Stadium, Moskva (URS)",24 JUL 1980,1359,shot-put,throws,female,senior
9,22.40,,Ilona SLUPIANEK,24 SEP 1956,GDR,1,Berlin (GER),03 JUN 1983,1358,shot-put,throws,female,senior
10,22.38,,Ilona SLUPIANEK,24 SEP 1956,GDR,1,Karl Marx Stadt (GDR),25 MAY 1980,1357,shot-put,throws,female,senior
11,22.36,,Ilona SLUPIANEK,24 SEP 1956,GDR,1,Celje (SLO),02 MAY 1980,1355,shot-put,throws,female,senior
12,22.34,,Ilona SLUPIANEK,24 SEP 1956,GDR,1,Berlin (GER),07 MAY 1980,1354,shot-put,throws,female,senior
12,22.34,,Ilona SLUPIANEK,24 SEP 1956,GDR,1,Cottbus (GER),18 JUL 1980,1354,shot-put,throws,female,senior
14,22.32,,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1,Nitra (TCH),20 AUG 1977,1353,shot-put,throws,female,senior
15,22.24,,Natalya LISOVSKAYA,16 JUL 1962,URS,1,"Olympic Stadium, Seoul (KOR)",01 OCT 1988,1348,shot-put,throws,female,senior
16,22.22,,Ilona SLUPIANEK,24 SEP 1956,GDR,1,Potsdam (GDR),13 JUL 1980,1347,shot-put,throws,female,senior
17,22.19,,Claudia LOSCH,10 JAN 1960,FRG,1,Hainfeld (AUT),23 AUG 1987,1345,shot-put,throws,female,senior
18,22.14,,Natalya LISOVSKAYA,16 JUL 1962,URS,1,Penza (URS) (i),07 FEB 1987,1342,shot-put,throws,female,senior
19,22.13,,Ilona SLUPIANEK,24 SEP 1956,GDR,1,Split (CRO),29 APR 1980,1341,shot-put,throws,female,senior
20,22.06,,Natalya LISOVSKAYA,16 JUL 1962,URS,1,Moskva (URS),06 AUG 1988,1337,shot-put,throws,female,senior
21,22.05,,Ilona SLUPIANEK,24 SEP 1956,GDR,1,Berlin (GER),28 MAY 1980,1336,shot-put,throws,female,senior
21,22.05,,Ilona SLUPIANEK,24 SEP 1956,GDR,1,Potsdam (GDR),31 MAY 1980,1336,shot-put,throws,female,senior
23,22.04,,Ilona SLUPIANEK,24 SEP 1956,GDR,1,Potsdam (GDR),04 JUL 1979,1335,shot-put,throws,female,senior
23,22.04,,Ilona SLUPIANEK,24 SEP 1956,GDR,1,Potsdam (GDR),29 JUL 1979,1335,shot-put,throws,female,senior
25,21.99,,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1,Opava (TCH),26 SEP 1976,1332,shot-put,throws,female,senior
26,21.98,,Ilona SLUPIANEK,24 SEP 1956,GDR,1,Berlin (GER),17 JUL 1979,1332,shot-put,throws,female,senior
27,21.96,,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1,Ostrava (TCH),08 JUN 1977,1330,shot-put,throws,female,senior
27,21.96,,Natalya LISOVSKAYA,16 JUL 1962,URS,1,Praha (TCH),16 AUG 1984,1330,shot-put,throws,female,senior
27,21.96,,Natalya LISOVSKAYA,16 JUL 1962,URS,1,Vilnius (LTU),28 AUG 1988,1330,shot-put,throws,female,senior
30,21.95,,Natalya LISOVSKAYA,16 JUL 1962,URS,1,Edinburgh (GBR),29 JUL 1988,1330,shot-put,throws,female,senior
31,21.92,,Natalya LISOVSKAYA,16 JUL 1962,URS,1,Sochi (URS),01 JUN 1988,1328,shot-put,throws,female,senior
32,21.91,,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1,München (GER),17 JUN 1977,1327,shot-put,throws,female,senior
33,21.89,,Ivanka KHRISTOVA,19 NOV 1941,BUL,1,Belmeken (BUL),04 JUL 1976,1326,shot-put,throws,female,senior
34,21.87,,Ivanka KHRISTOVA,19 NOV 1941,BUL,1,Belmeken (BUL),03 JUL 1976,1325,shot-put,throws,female,senior
34,21.87,,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1,Fürth (GER),10 JUN 1978,1325,shot-put,throws,female,senior
34,21.87,,Ilona SLUPIANEK,24 SEP 1956,GDR,1,Sofia (BUL),22 MAY 1983,1325,shot-put,throws,female,senior
37,21.86,,Marianne ADAM,19 SEP 1951,GDR,1,Leipzig (GER),23 JUN 1979,1324,shot-put,throws,female,senior
37,21.86,,Natalya LISOVSKAYA,16 JUL 1962,URS,1,Praha (TCH),09 JUN 1984,1324,shot-put,throws,female,senior
39,21.85,,Ilona SLUPIANEK,24 SEP 1956,GDR,1,Berlin (GER),15 JUL 1984,1323,shot-put,throws,female,senior
40,21.81,,Ilona SLUPIANEK,24 SEP 1956,GDR,1,"Los Angeles, CA (USA)",26 JUN 1983,1321,shot-put,throws,female,senior
41,21.80,,Ilona SLUPIANEK,24 SEP 1956,GDR,1,Potsdam (GDR),18 AUG 1982,1320,shot-put,throws,female,senior
42,21.78,,Ilona SLUPIANEK,24 SEP 1956,GDR,1,Jena (GDR),17 MAY 1980,1319,shot-put,throws,female,senior
42,21.78,,Ilona SLUPIANEK,24 SEP 1956,GDR,1,Dresden (GER),01 JUL 1982,1319,shot-put,throws,female,senior
44,21.76,,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1,Praha (TCH),25 AUG 1978,1318,shot-put,throws,female,senior
44,21.76,,Meisu LI,17 APR 1959,CHN,1,Shijiazhuang (CHN),23 APR 1988,1318,shot-put,throws,female,senior
46,21.75,,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1,Ostrava (TCH) (i),26 FEB 1977,1317,shot-put,throws,female,senior
46,21.75,,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1,Düsseldorf (GER),01 JUL 1977,1317,shot-put,throws,female,senior
46,21.75,,Ilona SLUPIANEK,24 SEP 1956,GDR,1,Berlin (GER),09 JUL 1980,1317,shot-put,throws,female,senior
46,21.75,,Ilona SLUPIANEK,24 SEP 1956,GDR,1,Berlin (GER),19 MAY 1983,1317,shot-put,throws,female,senior
46,21.75,,Natalya LISOVSKAYA,16 JUL 1962,URS,1,Sochi (URS),20 MAY 1984,1317,shot-put,throws,female,senior
51,21.74,,Ilona SLUPIANEK,24 SEP 1956,GDR,2,Leipzig (GER),23 JUN 1979,1317,shot-put,throws,female,senior
52,21.73,,Ilona SLUPIANEK,24 SEP 1956,GDR,1,Berlin (GER),31 JUL 1983,1316,shot-put,throws,female,senior
52,21.73,,Natalya LISOVSKAYA,16 JUL 1962,URS,1,Erfurt (GER),23 JUN 1985,1316,shot-put,throws,female,senior
52,21.73,,Natalya AKHRIMENKO,12 MAY 1955,URS,1,Leselidze (URS),21 MAY 1988,1316,shot-put,throws,female,senior
52,21.73,,Natalya LISOVSKAYA,16 JUL 1962,URS,1,Portsmouth (GBR),19 JUN 1988,1316,shot-put,throws,female,senior
56,21.72,,Ilona SLUPIANEK,24 SEP 1956,GDR,1,Cottbus (GER),25 JUN 1982,1315,shot-put,throws,female,senior
56,21.72,,Ilona SLUPIANEK,24 SEP 1956,GDR,1,Berlin (GER),05 MAY 1983,1315,shot-put,throws,female,senior
56,21.72,,Natalya LISOVSKAYA,16 JUL 1962,URS,1,Kiev (URS),20 JUN 1984,1315,shot-put,throws,female,senior
59,21.71,,Ilona SLUPIANEK,24 SEP 1956,GDR,1,Berlin (GER),12 MAY 1983,1315,shot-put,throws,female,senior
60,21.70,,Natalya LISOVSKAYA,16 JUL 1962,URS,1,Tallinn (EST),21 JUN 1986,1314,shot-put,throws,female,senior
61,21.69,,Ilona SLUPIANEK,24 SEP 1956,GDR,1,Rostock (GER),29 JUN 1979,1313,shot-put,throws,female,senior
61,21.69,,Vita PAVLYSH,15 JAN 1969,UKR,1,"Népstadion, Budapest (HUN)",20 AUG 1998,1313,shot-put,throws,female,senior
63,21.67,,Marianne ADAM,19 SEP 1951,GDR,1,Karl Marx Stadt (GDR),30 MAY 1976,1312,shot-put,throws,female,senior
63,21.67,,Ilona SLUPIANEK,24 SEP 1956,GDR,1,Karl Marx Stadt (GDR),09 JUL 1982,1312,shot-put,throws,female,senior
65,21.66,,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1,Budapest (HUN),19 JUN 1976,1312,shot-put,throws,female,senior
65,21.66,,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1,Budapest (HUN),16 SEP 1976,1312,shot-put,throws,female,senior
65,21.66,,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1,Budapest (HUN) (i),02 FEB 1977,1312,shot-put,throws,female,senior
65,21.66,,Xinmei SUI,29 JAN 1965,CHN,1,Beijing (CHN),09 JUN 1990,1312,shot-put,throws,female,senior
69,21.65,,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1,München (GER),10 SEP 1978,1311,shot-put,throws,female,senior
69,21.65,,Ilona SLUPIANEK,24 SEP 1956,GDR,1,Berlin (GER),08 JUN 1983,1311,shot-put,throws,female,senior
71,21.62,,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1,Liberec (TCH),11 JUL 1977,1309,shot-put,throws,female,senior
72,21.61,,Ilona SLUPIANEK,24 SEP 1956,GDR,1,Potsdam (GDR),29 AUG 1981,1308,shot-put,throws,female,senior
72,21.61,,Verzhiniya VESELINOVA,18 NOV 1957,BUL,1,Sofia (BUL),21 AUG 1982,1308,shot-put,throws,female,senior
72,21.61,,Ilona SLUPIANEK,24 SEP 1956,GDR,1,Potsdam (GDR),21 JUL 1984,1308,shot-put,throws,female,senior
75,21.60,,Marianne ADAM,19 SEP 1951,GDR,1,Berlin (GDR),06 AUG 1975,1308,shot-put,throws,female,senior
75,21.60,,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1,Rehlingen (GER),15 MAY 1978,1308,shot-put,throws,female,senior
75,21.60,,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1,Bratislava (TCH),09 JUN 1978,1308,shot-put,throws,female,senior
75,21.60,,Helena FIBINGEROVÁ,13 JUL 1949,TCH,1,Zaragoza (ESP),03 JUN 1984,1308,shot-put,throws,female,senior
75,21.60,,Natalya LISOVSKAYA,16 JUL 1962,URS,1,Volgograd (URS) (i),11 FEB 1988,1308,shot-put,throws,female,senior
