rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,20.54,,Astrid KUMBERNUSS,05 FEB 1970,GDR,1,Orimattila (FIN),01 JUL 1989,1241,shot-put,throws,female,u20
2,20.51,,Heidi KRIEGER,20 JUL 1965,GDR,2,Budapest (HUN) (i),08 FEB 1984,1239,shot-put,throws,female,u20
3,20.32,,Heidi KRIEGER,20 JUL 1965,GDR,2,Bucureşti (ROU) (i),18 FEB 1984,1228,shot-put,throws,female,u20
4,20.24,,Heidi KRIEGER,20 JUL 1965,GDR,5,Split (CRO),30 APR 1984,1222,shot-put,throws,female,u20
5,20.23,,Ilke WYLUDDA,28 MAR 1969,GDR,1,Karl Marx Stadt (GDR),16 JUL 1988,1222,shot-put,throws,female,u20
6,20.18,,Heidi KRIEGER,20 JUL 1965,GDR,3,"Scandinavium, Göteborg (SWE) (i)",03 MAR 1984,1219,shot-put,throws,female,u20
7,20.11,,Ilke WYLUDDA,28 MAR 1969,GDR,2,Leipzig (GER),29 JUL 1987,1214,shot-put,throws,female,u20
8,20.02,,Xiaoyan CHENG,30 NOV 1975,CHN,3,Beijing (CHN),05 JUN 1994,1209,shot-put,throws,female,u20
9,19.94,,Astrid KUMBERNUSS,05 FEB 1970,GDR,2,Rostock (GER),22 JUN 1989,1204,shot-put,throws,female,u20
10,19.93,,Astrid KUMBERNUSS,05 FEB 1970,GDR,2,Berlin (GER),30 AUG 1989,1203,shot-put,throws,female,u20
11,19.92,,Heidi KRIEGER,20 JUL 1965,GDR,3,Berlin (GER),16 MAY 1984,1202,shot-put,throws,female,u20
12,19.91,,Heidi KRIEGER,20 JUL 1965,GDR,6,Celje (SLO),05 MAY 1984,1202,shot-put,throws,female,u20
13,19.84,,Heidi KRIEGER,20 JUL 1965,GDR,6,Jena (GDR),13 MAY 1984,1197,shot-put,throws,female,u20
14,19.67,,Stephanie STORP,28 NOV 1968,FRG,1,Kamp-Lintfort (FRG),20 SEP 1987,1187,shot-put,throws,female,u20
14,19.67,,Astrid KUMBERNUSS,05 FEB 1970,GDR,2,Macerata (ITA),06 SEP 1989,1187,shot-put,throws,female,u20
16,19.65,,Heidi KRIEGER,20 JUL 1965,GDR,6,Rijeka (CRO),02 MAY 1984,1186,shot-put,throws,female,u20
17,19.64,,Stephanie STORP,28 NOV 1968,FRG,3q2,"Stadio Olimpico, Roma (ITA)",04 SEP 1987,1185,shot-put,throws,female,u20
18,19.63,,Astrid KUMBERNUSS,05 FEB 1970,GDR,1,Karl Marx Stadt (GDR),17 JUN 1989,1184,shot-put,throws,female,u20
19,19.55,,Heidi KRIEGER,20 JUL 1965,GDR,8,Erfurt (GER),03 JUN 1984,1179,shot-put,throws,female,u20
20,19.53,,Astrid KUMBERNUSS,05 FEB 1970,GDR,1,"Stadion ŠC Sloboda, Varaždin (YUG)",25 AUG 1989,1178,shot-put,throws,female,u20
21,19.46,,Lijiao GONG,24 JAN 1989,CHN,1q2,"National Stadium, Beijing (CHN)",16 AUG 2008,1174,shot-put,throws,female,u20
22,19.45,,Ilke WYLUDDA,28 MAR 1969,GDR,1,"Alexander Stadium, Birmingham (GBR)",07 AUG 1987,1173,shot-put,throws,female,u20
23,19.44,,Heidi KRIEGER,20 JUL 1965,GDR,3,Berlin (GER) (i),14 JAN 1984,1172,shot-put,throws,female,u20
23,19.44,,Grit HAUPT,04 JUN 1966,GDR,1,Potsdam (GDR),01 JUL 1984,1172,shot-put,throws,female,u20
25,19.40,,Heidi KRIEGER,20 JUL 1965,GDR,4,Senftenberg (GER) (i),07 JAN 1984,1170,shot-put,throws,female,u20
25,19.40,,Lijiao GONG,24 JAN 1989,CHN,1,Zhaoqing (CHN),08 NOV 2008,1170,shot-put,throws,female,u20
27,19.38,,Lijiao GONG,24 JAN 1989,CHN,1,Shijiazhuang (CHN),11 OCT 2008,1169,shot-put,throws,female,u20
28,19.36,,Stephanie STORP,28 NOV 1968,FRG,10,"Stadio Olimpico, Roma (ITA)",05 SEP 1987,1167,shot-put,throws,female,u20
29,19.34,,Ines WITTICH,14 NOV 1969,GDR,2,"Alexander Stadium, Birmingham (GBR)",07 AUG 1987,1166,shot-put,throws,female,u20
30,19.29,,Ilke WYLUDDA,28 MAR 1969,GDR,3,Bratislava (TCH),12 JUN 1987,1163,shot-put,throws,female,u20
31,19.25,,Stephanie STORP,28 NOV 1968,FRG,2,Karlsruhe (GER) (i),07 FEB 1987,1161,shot-put,throws,female,u20
32,19.20,,Stephanie STORP,28 NOV 1968,FRG,1,Lüdenscheid (GER),18 JUN 1987,1157,shot-put,throws,female,u20
32,19.20,,Lijiao GONG,24 JAN 1989,CHN,3,"National Stadium, Beijing (CHN)",16 AUG 2008,1157,shot-put,throws,female,u20
34,19.13,,Lijiao GONG,24 JAN 1989,CHN,1,Shijiazhuang (CHN),04 AUG 2007,1153,shot-put,throws,female,u20
35,19.09,,Lijiao GONG,24 JAN 1989,CHN,2,Beijing (CHN),23 MAY 2008,1151,shot-put,throws,female,u20
36,19.08,,Ilke WYLUDDA,28 MAR 1969,GDR,1,Karl Marx Stadt (GDR),09 AUG 1986,1150,shot-put,throws,female,u20
37,19.07,,Lijiao GONG,24 JAN 1989,CHN,1,Shanghai (CHN) (i),16 MAR 2007,1149,shot-put,throws,female,u20
38,18.94,,Heike ROHRMANN,22 FEB 1969,GDR,1,Halle (GER),14 MAY 1988,1141,shot-put,throws,female,u20
39,18.93,,Valerie ADAMS,06 OCT 1984,NZL,1,Osaka (JPN),10 MAY 2003,1141,shot-put,throws,female,u20
40,18.91,,Valerie ADAMS,06 OCT 1984,NZL,1,Dunedin (NZL),23 MAR 2003,1139,shot-put,throws,female,u20
41,18.89,,Heidi KRIEGER,20 JUL 1965,GDR,2,Berlin (GDR),17 AUG 1983,1138,shot-put,throws,female,u20
42,18.83,,Svetla MITKOVA-SINIRTAS,17 JUN 1964,BUL,1,Sofia (BUL),07 MAY 1983,1134,shot-put,throws,female,u20
43,18.79,,Lijiao GONG,24 JAN 1989,CHN,1,Luohe (CHN),12 SEP 2008,1132,shot-put,throws,female,u20
44,18.78,,Yumileidi CUMBÁ,11 FEB 1975,CUB,1,Camagüey (CUB),10 AUG 1994,1131,shot-put,throws,female,u20
45,18.77,,Valerie ADAMS,06 OCT 1984,NZL,2q2,"Stade de France, Paris-St-Denis (FRA)",27 AUG 2003,1131,shot-put,throws,female,u20
45,18.77,,Lijiao GONG,24 JAN 1989,CHN,2,Zhaoqing (CHN),18 MAY 2007,1131,shot-put,throws,female,u20
47,18.76,,Bettina LIBERA,04 SEP 1967,GDR,1,"Max-Reimann-Stadion, Cottbus (GDR)",23 AUG 1985,1130,shot-put,throws,female,u20
47,18.76,,Xiaoyan CHENG,30 NOV 1975,CHN,1,"Estadio Universitario, Lisboa (POR)",21 JUL 1994,1130,shot-put,throws,female,u20
49,18.74,,Lijiao GONG,24 JAN 1989,CHN,1q1,Beijing (CHN),23 MAY 2008,1129,shot-put,throws,female,u20
50,18.73,,Nadezhda OSTAPCHUK,28 OCT 1980,BLR,2,Brest (BLR),05 JUN 1999,1128,shot-put,throws,female,u20
50,18.73,,Lijiao GONG,24 JAN 1989,CHN,1,Beijing (CHN) (i),21 MAR 2007,1128,shot-put,throws,female,u20
52,18.71,,Heidi KRIEGER,20 JUL 1965,GDR,2,Berlin (GER),03 JUN 1983,1127,shot-put,throws,female,u20
52,18.71,,Nadezhda OSTAPCHUK,28 OCT 1980,BLR,1,Staiki (BLR),03 JUL 1999,1127,shot-put,throws,female,u20
54,18.70,,Yingfan LIU,09 FEB 1987,CHN,1,Hefei (CHN),26 SEP 2004,1126,shot-put,throws,female,u20
55,18.66,,Natalya LISOVSKAYA,16 JUL 1962,URS,,Moskva (URS),16 SEP 1981,1124,shot-put,throws,female,u20
55,18.66,,Valerie ADAMS,06 OCT 1984,NZL,1,Narbonne (FRA),26 JUL 2003,1124,shot-put,throws,female,u20
55,18.66,,Lijiao GONG,24 JAN 1989,CHN,6,"Yanmar Stadium Nagai, Osaka (JPN)",26 AUG 2007,1124,shot-put,throws,female,u20
58,18.65,,Valerie ADAMS,06 OCT 1984,NZL,1,Evry-Bondoufle (FRA),16 AUG 2003,1123,shot-put,throws,female,u20
