rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,8002,,Niklas KAUL,11 FEB 1998,GER,1,"Pascual Guerrero Stadium, Cali (COL)",16 JUL 2015,,decathlon-boys,combined-events,male,u18
2,7864,,Cedric DUBLER,13 JAN 1995,AUS,1f,Townsville (AUS),30 SEP 2012,,decathlon-boys,combined-events,male,u18
3,7824,,Amadeus GRÄBER,03 FEB 2005,GER,1,"Leichtathletikstadion Robert-Koch-Straße, Halle (GER)",27 AUG 2022,,decathlon-boys,combined-events,male,u18
4,7783,,Niklas KAUL,11 FEB 1998,GER,1f,"Bernhausen, Filderstadt (GER)",07 JUN 2015,,decathlon-boys,combined-events,male,u18
5,7761,,Sander SKOTHEIM,31 MAY 2002,NOR,1,Baku (AZE),23 JUL 2019,,decathlon-boys,combined-events,male,u18
6,7737,,Manuel EITEL,28 JAN 1997,GER,1f,"Bernhausen, Filderstadt (GER)",31 AUG 2014,,decathlon-boys,combined-events,male,u18
7,7735,,Jan Felix KNOBEL,16 JAN 1989,GER,1f,Wesel (GER),02 SEP 2006,,decathlon-boys,combined-events,male,u18
8,7713,,Hans-Christian HAUSENBERG,18 SEP 1998,EST,1f,Šiauliai (LTU),25 MAY 2015,,decathlon-boys,combined-events,male,u18
9,7678,,Ludovic BESSON,27 JAN 1998,FRA,2,"Pascual Guerrero Stadium, Cali (COL)",16 JUL 2015,,decathlon-boys,combined-events,male,u18
10,7657,,Hans-Christian HAUSENBERG,18 SEP 1998,EST,3,"Pascual Guerrero Stadium, Cali (COL)",16 JUL 2015,,decathlon-boys,combined-events,male,u18
11,7646,,Paulo Henrique KRUL,18 MAY 2008,BRA,1,"Parque Olímpico Pista De Atletismo, Luque, Asunción (PAR)",20 JUL 2025,,decathlon-boys,combined-events,male,u18
12,7639,,Amadeus GRÄBER,03 FEB 2005,GER,1,"Fleinsbachstadion, Bernhausen, Filderstadt (GER)",22 MAY 2022,,decathlon-boys,combined-events,male,u18
13,7626,,Hector GASULLA,24 MAR 2001,ESP,2,Arona (ESP),03 JUN 2018,,decathlon-boys,combined-events,male,u18
13,7626,,Amadeus GRÄBER,03 FEB 2005,GER,1,"Givat Ram Stadium, Jerusalem (ISR)",07 JUL 2022,,decathlon-boys,combined-events,male,u18
15,7609,,Leo GÖRANSSON,05 AUG 2005,SWE,2,"Givat Ram Stadium, Jerusalem (ISR)",07 JUL 2022,,decathlon-boys,combined-events,male,u18
16,7605,,Matteo SORCI,29 MAR 2008,ITA,1,"Athletic track of National Arena Philip II, Skopje (MKD)",26 JUL 2025,,decathlon-boys,combined-events,male,u18
17,7594,,Oļegs KOZJAKOVS,13 JAN 2001,LAT,1,Klaipėda (LTU),20 MAY 2018,,decathlon-boys,combined-events,male,u18
18,7591,,Alexandre MONTAGNE,09 JAN 2005,FRA,3,"Givat Ram Stadium, Jerusalem (ISR)",07 JUL 2022,,decathlon-boys,combined-events,male,u18
19,7584,,Sven ROOSEN,27 JUL 2001,NED,4,"Olimpiai Sportpark, Győr (HUN)",08 JUL 2018,,decathlon-boys,combined-events,male,u18
20,7572,,Tim NOWAK,13 AUG 1995,GER,1f,Hannover (GER),25 AUG 2012,,decathlon-boys,combined-events,male,u18
21,7565,,Ben THIELE,24 MAR 1997,GER,2f,"Bernhausen, Filderstadt (GER)",31 AUG 2014,,decathlon-boys,combined-events,male,u18
22,7559,,Ashley MOLONEY,13 MAR 2000,AUS,1,Sydney (AUS),30 MAR 2017,,decathlon-boys,combined-events,male,u18
22,7559,,Steven FAUVEL-CLINCH,10 APR 2000,FRA,1,"Kasarani, Nairobi (KEN)",13 JUL 2017,,decathlon-boys,combined-events,male,u18
24,7549,,Tristan KONSO,04 DEC 2007,EST,1,Banská Bystrica (SVK),21 JUL 2024,,decathlon-boys,combined-events,male,u18
25,7543,,Sander SKOTHEIM,31 MAY 2002,NOR,1,Geithus (NOR),19 MAY 2019,,decathlon-boys,combined-events,male,u18
26,7540,,Jente HAUTTEKEETE,14 MAR 2002,BEL,2,Baku (AZE),23 JUL 2019,,decathlon-boys,combined-events,male,u18
27,7538,,Andreas TRUMM,23 NOV 2006,EST,1,"Jāņa Daliņa Stadium, Valmiera (LAT)",21 MAY 2023,,decathlon-boys,combined-events,male,u18
28,7530,,Jan Felix KNOBEL,16 JAN 1989,GER,1f,Lage (GER),27 AUG 2005,,decathlon-boys,combined-events,male,u18
29,7526,,František DOUBEK,04 APR 2002,CZE,1,Nova Gorica (SLO),06 OCT 2019,,decathlon-boys,combined-events,male,u18
30,7517,,Mathias AKO BIENES,28 JUL 1995,FRA,1f,Aubagne (FRA),08 JUL 2012,,decathlon-boys,combined-events,male,u18
31,7511,,Hans-Christian HAUSENBERG,18 SEP 1998,EST,1,Rakvere (EST),18 SEP 2014,,decathlon-boys,combined-events,male,u18
31,7511,,Kilian TROCHAIN,18 MAR 2008,FRA,1,"Stade Pierre Paul Bernard, Talence (FRA)",01 JUN 2025,,decathlon-boys,combined-events,male,u18
33,7510,,Tomas JÄRVINEN,21 OCT 2005,CZE,,"Staadion, Rakvere (EST)",04 AUG 2022,,decathlon-boys,combined-events,male,u18
34,7498,,Stepan KEKIN,13 NOV 2000,RUS,1f,Smolensk (RUS),11 JUN 2017,,decathlon-boys,combined-events,male,u18
