rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,8514,,Hubert TROŚCIANKA,26 JUL 2006,POL,1,"Ratinan Stadion, Tampere (FIN)",08 AUG 2025,,decathlon-u20,combined-events,male,u20
2,8435,,Niklas KAUL,11 FEB 1998,GER,1,"Stadio Zecchini, Grosseto (ITA)",23 JUL 2017,,decathlon-u20,combined-events,male,u20
3,8425,,Tomas JÄRVINEN,21 OCT 2005,CZE,1,"Estadio Atlético de la VIDENA, Lima (PER)",30 AUG 2024,,decathlon-u20,combined-events,male,u20
4,8293,,Luuk PELKMANS,11 OCT 2006,NED,2,"Ratinan Stadion, Tampere (FIN)",08 AUG 2025,,decathlon-u20,combined-events,male,u20
5,8238,,Markus ROOTH,22 DEC 2001,NOR,1,"Bislett Stadion, Oslo (NOR)",28 JUN 2020,,decathlon-u20,combined-events,male,u20
6,8230,,Hubert TROŚCIANKA,26 JUL 2006,POL,2,"Estadio Atlético de la VIDENA, Lima (PER)",30 AUG 2024,,decathlon-u20,combined-events,male,u20
7,8209,,Amadeus GRÄBER,03 FEB 2005,GER,1,"Givat Ram Stadium, Jerusalem (ISR)",10 AUG 2023,,decathlon-u20,combined-events,male,u20
8,8190,,Ashley MOLONEY,13 MAR 2000,AUS,1,"Ratinan Stadion, Tampere (FIN)",11 JUL 2018,,decathlon-u20,combined-events,male,u20
9,8169,,František DOUBEK,04 APR 2002,CZE,1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",21 AUG 2021,,decathlon-u20,combined-events,male,u20
10,8162,,Niklas KAUL,11 FEB 1998,GER,1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 JUL 2016,,decathlon-u20,combined-events,male,u20
11,8150,,Jente HAUTTEKEETE,14 MAR 2002,BEL,1,"Kadrioru staadion, Tallinn (EST)",18 JUL 2021,,decathlon-u20,combined-events,male,u20
12,8145,,Hubert TROŚCIANKA,26 JUL 2006,POL,1,"Stadion Zygmunta Szelesta, Warszawa (POL)",23 JUN 2024,,decathlon-u20,combined-events,male,u20
13,8141,,Johannes ERM,26 MAR 1998,EST,2,"Stadio Zecchini, Grosseto (ITA)",23 JUL 2017,,decathlon-u20,combined-events,male,u20
14,8135,,Jiří SÝKORA,20 JAN 1995,CZE,1,"Hayward Field, Eugene, OR (USA)",23 JUL 2014,,decathlon-u20,combined-events,male,u20
