rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,12.80,+0.3,Aries MERRITT,24 JUL 1985,USA,1,"Boudewijnstadion, Bruxelles (BEL)",07 SEP 2012,1294,110-metres-hurdles,hurdles,male,senior
2,12.81,+1.8,Grant HOLLOWAY,19 NOV 1997,USA,1sf1,"Hayward Field, Eugene, OR (USA)",26 JUN 2021,1292,110-metres-hurdles,hurdles,male,senior
3,12.84,+1.6,Devon ALLEN,12 DEC 1994,USA,1,"Icahn Stadium, New York, NY (USA)",12 JUN 2022,1286,110-metres-hurdles,hurdles,male,senior
4,12.86,+2.0,Grant HOLLOWAY,19 NOV 1997,USA,1,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1282,110-metres-hurdles,hurdles,male,senior
5,12.87,+0.9,Dayron ROBLES,19 NOV 1986,CUB,1,Ostrava (CZE),12 JUN 2008,1280,110-metres-hurdles,hurdles,male,senior
5,12.87,+0.6,Cordell TINCH,13 JUL 2000,USA,1,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",03 MAY 2025,1280,110-metres-hurdles,hurdles,male,senior
7,12.88,+1.1,Xiang LIU,13 JUL 1983,CHN,1f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",11 JUL 2006,1278,110-metres-hurdles,hurdles,male,senior
7,12.88,+0.5,Dayron ROBLES,19 NOV 1986,CUB,1,"Stade de France, Paris-St-Denis (FRA)",18 JUL 2008,1278,110-metres-hurdles,hurdles,male,senior
9,12.89,+0.5,David OLIVER,24 APR 1982,USA,1,"Stade de France, Paris-St-Denis (FRA)",16 JUL 2010,1276,110-metres-hurdles,hurdles,male,senior
10,12.90,+1.1,Dominique ARNOLD,14 SEP 1973,USA,2f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",11 JUL 2006,1274,110-metres-hurdles,hurdles,male,senior
10,12.90,+1.6,David OLIVER,24 APR 1982,USA,1,"Hayward Field, Eugene, OR (USA)",03 JUL 2010,1274,110-metres-hurdles,hurdles,male,senior
10,12.90,+0.7,Omar MCLEOD,25 APR 1994,JAM,1,Kingston (JAM),24 JUN 2017,1274,110-metres-hurdles,hurdles,male,senior
13,12.91,+0.5,Colin JACKSON,18 FEB 1967,GBR,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",20 AUG 1993,1272,110-metres-hurdles,hurdles,male,senior
13,12.91,+0.3,Xiang LIU,13 JUL 1983,CHN,1,"Olympic Stadium, Athina (GRE)",27 AUG 2004,1272,110-metres-hurdles,hurdles,male,senior
13,12.91,+0.2,Dayron ROBLES,19 NOV 1986,CUB,1,Stockholm (SWE),22 JUL 2008,1272,110-metres-hurdles,hurdles,male,senior
16,12.92,-0.1,Roger KINGDOM,26 AUG 1962,USA,1f1,"Letzigrund, Zürich (SUI)",16 AUG 1989,1270,110-metres-hurdles,hurdles,male,senior
16,12.92,+0.9,Allen JOHNSON,01 MAR 1971,USA,1,"Atlanta, GA (USA)",23 JUN 1996,1270,110-metres-hurdles,hurdles,male,senior
16,12.92,+0.2,Allen JOHNSON,01 MAR 1971,USA,1,Bruxelles (BEL),23 AUG 1996,1270,110-metres-hurdles,hurdles,male,senior
16,12.92,+1.5,Xiang LIU,13 JUL 1983,CHN,1,"Icahn Stadium, New York, NY (USA)",02 JUN 2007,1270,110-metres-hurdles,hurdles,male,senior
16,12.92,0.0,Dayron ROBLES,19 NOV 1986,CUB,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",23 SEP 2007,1270,110-metres-hurdles,hurdles,male,senior
16,12.92,-0.3,Aries MERRITT,24 JUL 1985,USA,1,"Olympic Stadium, London (GBR)",08 AUG 2012,1271,110-metres-hurdles,hurdles,male,senior
16,12.92,+0.6,Sergey SHUBENKOV,04 OCT 1990,RUS,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",02 JUL 2018,1270,110-metres-hurdles,hurdles,male,senior
16,12.92,+0.8,Grant HOLLOWAY,19 NOV 1997,USA,1h1,"Hayward Field, Eugene, OR (USA)",24 JUN 2024,1270,110-metres-hurdles,hurdles,male,senior
16,12.92,+0.6,Rachid MURATAKE,06 FEB 2002,JPN,1,"Prefectural Stadium, Fukui (JPN)",16 AUG 2025,1270,110-metres-hurdles,hurdles,male,senior
16,12.92,+0.3,Cordell TINCH,13 JUL 2000,USA,1,"Letzigrund, Zürich (SUI)",28 AUG 2025,1270,110-metres-hurdles,hurdles,male,senior
26,12.93,-0.2,Renaldo NEHEMIAH,24 MAR 1959,USA,1,Zürich (SUI),19 AUG 1981,1269,110-metres-hurdles,hurdles,male,senior
26,12.93,0.0,Allen JOHNSON,01 MAR 1971,USA,1,"Olympic Stadium, Athina (GRE)",07 AUG 1997,1268,110-metres-hurdles,hurdles,male,senior
26,12.93,-0.6,Xiang LIU,13 JUL 1983,CHN,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",09 SEP 2006,1271,110-metres-hurdles,hurdles,male,senior
26,12.93,+0.1,Dayron ROBLES,19 NOV 1986,CUB,1,"National Stadium, Beijing (CHN)",21 AUG 2008,1268,110-metres-hurdles,hurdles,male,senior
26,12.93,+1.7,David OLIVER,24 APR 1982,USA,1,"Drake Stadium, Des Moines, IA (USA)",27 JUN 2010,1268,110-metres-hurdles,hurdles,male,senior
26,12.93,-0.3,David OLIVER,24 APR 1982,USA,1,"Letzigrund, Zürich (SUI)",19 AUG 2010,1269,110-metres-hurdles,hurdles,male,senior
26,12.93,+1.2,Aries MERRITT,24 JUL 1985,USA,1,"Hayward Field, Eugene, OR (USA)",30 JUN 2012,1268,110-metres-hurdles,hurdles,male,senior
26,12.93,+0.6,Aries MERRITT,24 JUL 1985,USA,1,"Crystal Palace, London (GBR)",13 JUL 2012,1268,110-metres-hurdles,hurdles,male,senior
26,12.93,0.0,Aries MERRITT,24 JUL 1985,USA,1,"Stade Louis II, Monaco (MON)",20 JUL 2012,1268,110-metres-hurdles,hurdles,male,senior
26,12.93,+0.9,Hansle PARCHMENT,17 JUN 1990,JAM,1,"Hayward Field, Eugene, OR (USA)",17 SEP 2023,1268,110-metres-hurdles,hurdles,male,senior
26,12.93,+2.0,Freddie CRITTENDEN,03 AUG 1994,USA,2,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1268,110-metres-hurdles,hurdles,male,senior
37,12.94,+1.6,Jack PIERCE,23 SEP 1962,USA,1sf,"Atlanta, GA (USA)",22 JUN 1996,1266,110-metres-hurdles,hurdles,male,senior
37,12.94,+1.8,David OLIVER,24 APR 1982,USA,1,"Hayward Field, Eugene, OR (USA)",04 JUN 2011,1266,110-metres-hurdles,hurdles,male,senior
37,12.94,+0.1,Aries MERRITT,24 JUL 1985,USA,1sf2,"Olympic Stadium, London (GBR)",08 AUG 2012,1266,110-metres-hurdles,hurdles,male,senior
37,12.94,+0.8,Hansle PARCHMENT,17 JUN 1990,JAM,1,"Stade de France, Paris-St-Denis (FRA)",05 JUL 2014,1266,110-metres-hurdles,hurdles,male,senior
37,12.94,+0.5,Orlando ORTEGA,29 JUL 1991,CUB,1f1,"Stade de France, Paris-St-Denis (FRA)",04 JUL 2015,1266,110-metres-hurdles,hurdles,male,senior
37,12.94,+0.7,Rasheed BROADBELL,13 AUG 2000,JAM,1,"National Stadium, Kingston (JAM)",09 JUL 2023,1266,110-metres-hurdles,hurdles,male,senior
43,12.95,+0.6,Allen JOHNSON,01 MAR 1971,USA,1,"Olympic Stadium, Atlanta, GA (USA)",29 JUL 1996,1264,110-metres-hurdles,hurdles,male,senior
43,12.95,+1.5,Terrence TRAMMELL,23 NOV 1978,USA,2,"Icahn Stadium, New York, NY (USA)",02 JUN 2007,1264,110-metres-hurdles,hurdles,male,senior
43,12.95,+1.7,Xiang LIU,13 JUL 1983,CHN,1,"Yanmar Stadium Nagai, Osaka (JPN)",31 AUG 2007,1264,110-metres-hurdles,hurdles,male,senior
43,12.95,+2.0,David OLIVER,24 APR 1982,USA,1,Doha (QAT),09 MAY 2008,1264,110-metres-hurdles,hurdles,male,senior
43,12.95,-1.7,Dayron ROBLES,19 NOV 1986,CUB,1f1,Dubnica nad Váhom (SVK),07 SEP 2008,1274,110-metres-hurdles,hurdles,male,senior
43,12.95,-0.9,Aries MERRITT,24 JUL 1985,USA,1,"Alexander Stadium, Birmingham (GBR)",26 AUG 2012,1269,110-metres-hurdles,hurdles,male,senior
43,12.95,+0.2,Pascal MARTINOT-LAGARDE,22 SEP 1991,FRA,1,"Stade Louis II, Monaco (MON)",18 JUL 2014,1264,110-metres-hurdles,hurdles,male,senior
