rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,12.87,+1.6,Sasha ZHOYA,25 JUN 2002,AUS,1sf3,Angers (FRA),06 JUL 2019,,110m-hurdles-914cm,hurdles,male,u18
2,12.91,+1.5,Phenyo MIYEN,17 MAY 2008,RSA,1,"McArthur Stadium, Potchefstroom (RSA)",28 JUN 2025,,110m-hurdles-914cm,hurdles,male,u18
3,12.96,+1.3,Jaheel HYDE,02 FEB 1997,JAM,1f1,"Olympic Stadium, Nanjing (CHN)",23 AUG 2014,,110m-hurdles-914cm,hurdles,male,u18
3,12.96,+0.9,Sasha ZHOYA,25 JUN 2002,AUS,1,Angers (FRA),06 JUL 2019,,110m-hurdles-914cm,hurdles,male,u18
5,12.98,+0.5,Matodzi NDO,19 MAR 2007,RSA,1f6,"Pilditch Stadium, Pretoria (RSA)",18 SEP 2024,,110m-hurdles-914cm,hurdles,male,u18
6,13.03,+1.0,Marquies PAGE,2009,JAM,1,"National Stadium, Kingston (JAM)",29 JUN 2025,,110m-hurdles-914cm,hurdles,male,u18
6,13.03,+0.5,Mingxuan LIU,01 DEC 2008,CHN,1,"Olympic Center, Shenyang (CHN)",15 AUG 2025,,110m-hurdles-914cm,hurdles,male,u18
8,13.04,+0.1,De'jour RUSSELL,01 APR 2000,JAM,1,"Kasarani, Nairobi (KEN)",14 JUL 2017,,110m-hurdles-914cm,hurdles,male,u18
9,13.05,-0.6,Sasha ZHOYA,25 JUN 2002,AUS,1,Sydney (AUS),05 APR 2019,,110m-hurdles-914cm,hurdles,male,u18
10,13.06,-0.6,Phenyo MIYEN,17 MAY 2008,RSA,1,"Pilditch Stadium, Pretoria (RSA)",15 MAR 2025,,110m-hurdles-914cm,hurdles,male,u18
11,13.08,+0.5,De'jour RUSSELL,01 APR 2000,JAM,1h1,"Kasarani, Nairobi (KEN)",13 JUL 2017,,110m-hurdles-914cm,hurdles,male,u18
12,13.10,-0.5,Naeem JACK,31 JUL 2007,RSA,1,"Pilditch Stadium, Pretoria (RSA)",22 MAR 2024,,110m-hurdles-914cm,hurdles,male,u18
13,13.12,+0.8,Wilhem BELOCIAN,22 JUN 1995,FRA,1,Lens (FRA),21 JUL 2012,,110m-hurdles-914cm,hurdles,male,u18
14,13.13,-1.1,Jaheel HYDE,02 FEB 1997,JAM,1,Donetsk (UKR),12 JUL 2013,,110m-hurdles-914cm,hurdles,male,u18
15,13.15,-0.3,Matodzi NDO,19 MAR 2007,RSA,1,"Pilditch Stadium, Pretoria (RSA)",09 MAR 2024,,110m-hurdles-914cm,hurdles,male,u18
16,13.16,+0.6,Jaheel HYDE,02 FEB 1997,JAM,1h1,"Olympic Stadium, Nanjing (CHN)",20 AUG 2014,,110m-hurdles-914cm,hurdles,male,u18
16,13.16,-0.5,De'jour RUSSELL,01 APR 2000,JAM,1sf2,"Kasarani, Nairobi (KEN)",14 JUL 2017,,110m-hurdles-914cm,hurdles,male,u18
16,13.16,+0.9,Shaquane GORDON,28 SEP 2006,JAM,1,"Hasely Crawford Stadium, Port-of-Spain (TTO)",09 AUG 2023,,110m-hurdles-914cm,hurdles,male,u18
16,13.16,-0.4,Phenyo MIYEN,17 MAY 2008,RSA,1,"Green Point Stadium, Cape Town (RSA)",28 MAR 2025,,110m-hurdles-914cm,hurdles,male,u18
20,13.17,+1.2,Owaab BARROW,20 AUG 2001,QAT,1f3,Buenos Aires (ARG),16 OCT 2018,,110m-hurdles-914cm,hurdles,male,u18
21,13.18,+0.2,Wayne DAVIS,22 AUG 1991,USA,1,Ostrava (CZE),12 JUL 2007,,110m-hurdles-914cm,hurdles,male,u18
22,13.19,-0.1,Jaheel HYDE,02 FEB 1997,JAM,1,Kingston (JAM),09 MAR 2014,,110m-hurdles-914cm,hurdles,male,u18
22,13.19,+0.8,Sam BENNETT,02 FEB 2001,GBR,1,"Olimpiai Sportpark, Győr (HUN)",07 JUL 2018,,110m-hurdles-914cm,hurdles,male,u18
22,13.19,+0.9,Daniel WRIGHT,31 JUL 2006,JAM,1h2,"Estadio Nacional - La Sabana, San José (CRC)",22 JUL 2023,,110m-hurdles-914cm,hurdles,male,u18
22,13.19,+0.5,Matodzi NDO,19 MAR 2007,RSA,1h1,"Pilditch Stadium, Pretoria (RSA)",21 MAR 2024,,110m-hurdles-914cm,hurdles,male,u18
22,13.19,-0.6,Venter VAN ZYL,12 MAR 2008,RSA,2,"Pilditch Stadium, Pretoria (RSA)",15 MAR 2025,,110m-hurdles-914cm,hurdles,male,u18
22,13.19,+0.4,Phenyo MIYEN,17 MAY 2008,RSA,1h1,"Green Point Stadium, Cape Town (RSA)",27 MAR 2025,,110m-hurdles-914cm,hurdles,male,u18
22,13.19,+0.5,Zhihao SUN,21 MAR 2008,CHN,2,"Olympic Center, Shenyang (CHN)",15 AUG 2025,,110m-hurdles-914cm,hurdles,male,u18
29,13.20,+0.9,Noah HANSON,12 JAN 2006,GBR,2,"Hasely Crawford Stadium, Port-of-Spain (TTO)",09 AUG 2023,,110m-hurdles-914cm,hurdles,male,u18
29,13.20,+1.7,Vinicius DE BRITO,03 MAR 2006,BRA,1,"Academia da Força Aérea, Pirassununga (BRA)",02 SEP 2023,,110m-hurdles-914cm,hurdles,male,u18
31,13.21,+0.3,Matodzi NDO,19 MAR 2007,RSA,1f6,"Pilditch Stadium, Pretoria (RSA)",17 FEB 2024,,110m-hurdles-914cm,hurdles,male,u18
31,13.21,+0.7,Phenyo MIYEN,17 MAY 2008,RSA,1f1,"Pilditch Stadium, Pretoria (RSA)",01 MAR 2025,,110m-hurdles-914cm,hurdles,male,u18
33,13.22,0.0,Konstantinos DOUVALIDIS,10 MAR 1987,GRE,1,Skopelos (GRE),02 OCT 2004,,110m-hurdles-914cm,hurdles,male,u18
33,13.22,+0.4,Jaheel HYDE,02 FEB 1997,JAM,1sf3,Donetsk (UKR),12 JUL 2013,,110m-hurdles-914cm,hurdles,male,u18
33,13.22,+1.1,Kyan Daniel Duffy ESCALONA,25 OCT 2007,ITA,1f1,Banská Bystrica (SVK),19 JUL 2024,,110m-hurdles-914cm,hurdles,male,u18
33,13.22,+1.0,Rafael FRANZINI,17 JUL 2008,BEL,1,"Stade Helitas, Caen (FRA)",28 JUN 2025,,110m-hurdles-914cm,hurdles,male,u18
33,13.22,+1.2,Rafael FRANZINI,17 JUL 2008,BEL,1h1,"Stade Helitas, Caen (FRA)",28 JUN 2025,,110m-hurdles-914cm,hurdles,male,u18
38,13.23,-0.7,Kahiem CARBY,17 JAN 2007,JAM,1h1,"Estadio Nacional - La Sabana, San José (CRC)",22 JUL 2023,,110m-hurdles-914cm,hurdles,male,u18
