rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,47.34,,Roshawn CLARKE,01 JUL 2004,JAM,2sf3,"Nemzeti Atlétikai Központ, Budapest (HUN)",21 AUG 2023,1266,400-metres-hurdles,hurdles,male,u20
2,47.85,,Sean BURRELL,23 FEB 2002,USA,1,"Hayward Field, Eugene, OR (USA)",11 JUN 2021,1239,400-metres-hurdles,hurdles,male,u20
2,47.85,,Roshawn CLARKE,01 JUL 2004,JAM,1,"National Stadium, Kingston (JAM)",07 JUL 2023,1239,400-metres-hurdles,hurdles,male,u20
4,48.02,,Danny HARRIS,07 SEP 1965,USA,2sf1,"Los Angeles, CA (USA)",17 JUN 1984,1230,400-metres-hurdles,hurdles,male,u20
5,48.07,,Roshawn CLARKE,01 JUL 2004,JAM,4,"Nemzeti Atlétikai Központ, Budapest (HUN)",23 AUG 2023,1228,400-metres-hurdles,hurdles,male,u20
6,48.11,,Danny HARRIS,07 SEP 1965,USA,2,"Los Angeles, CA (USA)",18 JUN 1984,1226,400-metres-hurdles,hurdles,male,u20
7,48.13,,Danny HARRIS,07 SEP 1965,USA,2,"Memorial Coliseum, Los Angeles, CA (USA)",05 AUG 1984,1225,400-metres-hurdles,hurdles,male,u20
8,48.26,,Jehue GORDON,15 DEC 1991,TTO,4,"Olympiastadion, Berlin (GER)",18 AUG 2009,1218,400-metres-hurdles,hurdles,male,u20
9,48.28,,Alison DOS SANTOS,03 JUN 2000,BRA,7,"Khalifa International Stadium, Doha (QAT)",30 SEP 2019,1217,400-metres-hurdles,hurdles,male,u20
10,48.35,,Alison DOS SANTOS,03 JUN 2000,BRA,1sf1,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,1213,400-metres-hurdles,hurdles,male,u20
11,48.39,,Roshawn CLARKE,01 JUL 2004,JAM,3h4,"Nemzeti Atlétikai Központ, Budapest (HUN)",20 AUG 2023,1211,400-metres-hurdles,hurdles,male,u20
12,48.42,,Ezekiel NATHANIEL,20 JUN 2003,NGR,1,"Terry & Linda Fuller T&F Complex, Lubbock, TX (USA)",15 MAY 2022,1210,400-metres-hurdles,hurdles,male,u20
13,48.45,,Alison DOS SANTOS,03 JUN 2000,BRA,1,"Estadio Atlético de la VIDENA, Lima (PER)",08 AUG 2019,1208,400-metres-hurdles,hurdles,male,u20
