rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,2.45,,Javier SOTOMAYOR,13 OCT 1967,CUB,1,Salamanca (ESP),27 JUL 1993,1314,high-jump,jumps,male,senior
2,2.44,,Javier SOTOMAYOR,13 OCT 1967,CUB,1,San Juan (PUR),29 JUL 1989,1305,high-jump,jumps,male,senior
3,2.43,,Javier SOTOMAYOR,13 OCT 1967,CUB,1,Salamanca (ESP),08 SEP 1988,1296,high-jump,jumps,male,senior
3,2.43,,Javier SOTOMAYOR,13 OCT 1967,CUB,1,"Budapest Sportcsarnok, Budapest (HUN) (i)",04 MAR 1989,1296,high-jump,jumps,male,senior
3,2.43,,Mutaz Essa BARSHIM,24 JUN 1991,QAT,1,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2014,1296,high-jump,jumps,male,senior
6,2.42,,Patrik SJÖBERG,05 JAN 1965,SWE,1,Stockholm (SWE),30 JUN 1987,1287,high-jump,jumps,male,senior
6,2.42,,Carlo THRÄNHARDT,05 JUL 1957,FRG,1,Berlin (GER) (i),26 FEB 1988,1287,high-jump,jumps,male,senior
6,2.42,,Javier SOTOMAYOR,13 OCT 1967,CUB,1,Sevilla (ESP),05 JUN 1994,1287,high-jump,jumps,male,senior
6,2.42,,Bohdan BONDARENKO,30 AUG 1989,UKR,1,"Icahn Stadium, New York, NY (USA)",14 JUN 2014,1287,high-jump,jumps,male,senior
6,2.42,,Mutaz Essa BARSHIM,24 JUN 1991,QAT,2,"Icahn Stadium, New York, NY (USA)",14 JUN 2014,1287,high-jump,jumps,male,senior
11,2.41,,Igor PAKLIN,15 JUN 1963,URS,1,Kobe (JPN),04 SEP 1985,1278,high-jump,jumps,male,senior
11,2.41,,Patrik SJÖBERG,05 JAN 1965,SWE,1,Pireaus (GRE) (i),01 FEB 1987,1278,high-jump,jumps,male,senior
11,2.41,,Javier SOTOMAYOR,13 OCT 1967,CUB,1,"The Sky Dome, Toronto (CAN) (i)",14 MAR 1993,1278,high-jump,jumps,male,senior
11,2.41,,Javier SOTOMAYOR,13 OCT 1967,CUB,1,La Habana (CUB),25 JUN 1994,1278,high-jump,jumps,male,senior
11,2.41,,Javier SOTOMAYOR,13 OCT 1967,CUB,1,"Crystal Palace, London (GBR)",15 JUL 1994,1278,high-jump,jumps,male,senior
11,2.41,,Bohdan BONDARENKO,30 AUG 1989,UKR,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",04 JUL 2013,1278,high-jump,jumps,male,senior
11,2.41,,Bohdan BONDARENKO,30 AUG 1989,UKR,1,"Luzhniki Stadion, Moskva (RUS)",15 AUG 2013,1278,high-jump,jumps,male,senior
11,2.41,,Mutaz Essa BARSHIM,24 JUN 1991,QAT,1,"Stadio Olimpico, Roma (ITA)",05 JUN 2014,1278,high-jump,jumps,male,senior
11,2.41,,Mutaz Essa BARSHIM,24 JUN 1991,QAT,1,Eberstadt (GER),22 AUG 2014,1278,high-jump,jumps,male,senior
11,2.41,,Mutaz Essa BARSHIM,24 JUN 1991,QAT,1,Athlone (IRL) (i),18 FEB 2015,1278,high-jump,jumps,male,senior
11,2.41,,Mutaz Essa BARSHIM,24 JUN 1991,QAT,1,"Hayward Field, Eugene, OR (USA)",30 MAY 2015,1278,high-jump,jumps,male,senior
22,2.40,,Rudolf POVARNITSYN,13 JUN 1962,URS,1,Donetsk (URS),11 AUG 1985,1269,high-jump,jumps,male,senior
22,2.40,,Carlo THRÄNHARDT,05 JUL 1957,FRG,1,Simmerath (FRG) (i),16 JAN 1987,1269,high-jump,jumps,male,senior
22,2.40,,Patrik SJÖBERG,05 JAN 1965,SWE,1,Berlin (GER) (i),27 FEB 1987,1269,high-jump,jumps,male,senior
