rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,2.37,,Dragutin TOPIĆ,12 MAR 1971,YUG,1,"Deveti Septemvri Stadium, Plovdiv (BUL)",12 AUG 1990,1242,high-jump,jumps,male,u20
1,2.37,,Steve SMITH,29 MAR 1973,GBR,1,"Olympic Stadium, Seoul (KOR)",20 SEP 1992,1242,high-jump,jumps,male,u20
3,2.36,,Javier SOTOMAYOR,13 OCT 1967,CUB,1,Santiago de Cuba (CUB),23 FEB 1986,1233,high-jump,jumps,male,u20
4,2.35,,Vladimir YASHCHENKO,12 JAN 1959,URS,1,"Palazzo dello Sport, Milano (ITA) (i)",12 MAR 1978,1224,high-jump,jumps,male,u20
4,2.35,,Dietmar MÖGENBURG,15 AUG 1961,FRG,1,Rehlingen (GER),26 MAY 1980,1224,high-jump,jumps,male,u20
6,2.34,,Vladimir YASHCHENKO,12 JAN 1959,URS,1,Tbilisi (GEO),16 JUN 1978,1215,high-jump,jumps,male,u20
6,2.34,,Javier SOTOMAYOR,13 OCT 1967,CUB,1,La Habana (CUB),20 MAR 1985,1215,high-jump,jumps,male,u20
6,2.34,,Dragutin TOPIĆ,12 MAR 1971,YUG,1,Split (CRO),22 JUL 1990,1215,high-jump,jumps,male,u20
6,2.34,,Dragutin TOPIĆ,12 MAR 1971,YUG,1,"Poljud Stadion, Split (CRO)",01 SEP 1990,1215,high-jump,jumps,male,u20
6,2.34,,Tim FORSYTH,17 AUG 1973,AUS,1,Oslo (NOR),04 JUL 1992,1215,high-jump,jumps,male,u20
6,2.34,,Tim FORSYTH,17 AUG 1973,AUS,1,London (GBR),10 JUL 1992,1215,high-jump,jumps,male,u20
6,2.34,,Tim FORSYTH,17 AUG 1973,AUS,3,"Estadio Olímpico, Barcelona (ESP)",02 AUG 1992,1215,high-jump,jumps,male,u20
13,2.33,,Vladimir YASHCHENKO,12 JAN 1959,URS,1,"Richmond, VA (USA)",03 JUL 1977,1206,high-jump,jumps,male,u20
13,2.33,,Dietmar MÖGENBURG,15 AUG 1961,FRG,1,Hannover (GER),16 AUG 1980,1206,high-jump,jumps,male,u20
13,2.33,,Jianhua ZHU,29 MAY 1963,CHN,1,New Delhi (IND),01 DEC 1982,1206,high-jump,jumps,male,u20
13,2.33,,Patrik SJÖBERG,05 JAN 1965,SWE,1,Oslo (NOR),09 JUL 1983,1206,high-jump,jumps,male,u20
13,2.33,,Javier SOTOMAYOR,13 OCT 1967,CUB,1,La Habana (CUB),19 MAY 1984,1206,high-jump,jumps,male,u20
13,2.33,,Patrik SJÖBERG,05 JAN 1965,SWE,4,Eberstadt (GER),10 JUN 1984,1206,high-jump,jumps,male,u20
13,2.33,,Patrik SJÖBERG,05 JAN 1965,SWE,2,"Memorial Coliseum, Los Angeles, CA (USA)",11 AUG 1984,1206,high-jump,jumps,male,u20
13,2.33,,Tim FORSYTH,17 AUG 1973,AUS,1,Adelaide (AUS),08 MAR 1992,1206,high-jump,jumps,male,u20
13,2.33,,Maksim NEDASEKAU,21 JAN 1998,BLR,1,"Stadio Zecchini, Grosseto (ITA)",22 JUL 2017,1206,high-jump,jumps,male,u20
22,2.32,,Dietmar MÖGENBURG,15 AUG 1961,FRG,1,Torino (ITA),04 AUG 1979,1197,high-jump,jumps,male,u20
22,2.32,,Dietmar MÖGENBURG,15 AUG 1961,FRG,1,Ottawa (CAN),04 AUG 1979,1197,high-jump,jumps,male,u20
22,2.32,,Jianhua ZHU,29 MAY 1963,CHN,1,Shanghai (CHN),01 AUG 1982,1197,high-jump,jumps,male,u20
22,2.32,,Javier SOTOMAYOR,13 OCT 1967,CUB,1,Formia (ITA),16 JUN 1985,1197,high-jump,jumps,male,u20
22,2.32,,Dragutin TOPIĆ,12 MAR 1971,YUG,1,Ljubljana (SLO),29 JUL 1990,1197,high-jump,jumps,male,u20
22,2.32,,Jaroslav BÁBA,02 SEP 1984,CZE,3,Arnstadt (GER) (i),08 FEB 2003,1197,high-jump,jumps,male,u20
22,2.32,,Haiqiang HUANG,08 FEB 1988,CHN,1,"Chaoyang Sport Center, Beijing (CHN)",17 AUG 2006,1197,high-jump,jumps,male,u20
29,2.31,,Dietmar MÖGENBURG,15 AUG 1961,FRG,1,"Glaspalast, Sindelfingen (GER) (i)",02 MAR 1980,1188,high-jump,jumps,male,u20
29,2.31,,Jörg FREIMUTH,10 SEP 1961,GDR,3,"Lenin Stadium, Moskva (URS)",01 AUG 1980,1188,high-jump,jumps,male,u20
29,2.31,,Jianhua ZHU,29 MAY 1963,CHN,1,Beijing (CHN),20 JUN 1982,1188,high-jump,jumps,male,u20
29,2.31,,Javier SOTOMAYOR,13 OCT 1967,CUB,1,La Habana (CUB),13 MAY 1984,1188,high-jump,jumps,male,u20
29,2.31,,Javier SOTOMAYOR,13 OCT 1967,CUB,1,Firenze (ITA),12 JUN 1985,1188,high-jump,jumps,male,u20
29,2.31,,Javier SOTOMAYOR,13 OCT 1967,CUB,1,Ravenna (ITA),03 JUL 1985,1188,high-jump,jumps,male,u20
29,2.31,,Javier SOTOMAYOR,13 OCT 1967,CUB,1,Ciudad de México (MEX),28 JUN 1986,1188,high-jump,jumps,male,u20
29,2.31,,Tim FORSYTH,17 AUG 1973,AUS,1,Melbourne (AUS),15 DEC 1991,1188,high-jump,jumps,male,u20
29,2.31,,Lochsley THOMSON,20 AUG 1973,AUS,3,Adelaide (AUS),08 MAR 1992,1188,high-jump,jumps,male,u20
29,2.31,,Steve SMITH,29 MAR 1973,GBR,1,Birmingham (GBR),28 JUN 1992,1188,high-jump,jumps,male,u20
29,2.31,,Tim FORSYTH,17 AUG 1973,AUS,2,Birmingham (GBR),28 JUN 1992,1188,high-jump,jumps,male,u20
29,2.31,,Tim FORSYTH,17 AUG 1973,AUS,2,"Olympic Stadium, Seoul (KOR)",20 SEP 1992,1188,high-jump,jumps,male,u20
29,2.31,,Andrey CHUBSA,29 NOV 1982,BLR,1,Minsk (BLR) (i),12 JAN 2001,1188,high-jump,jumps,male,u20
29,2.31,,Jacques FREITAG,11 JUN 1982,RSA,1,Rehlingen (GER),04 JUN 2001,1188,high-jump,jumps,male,u20
29,2.31,,Andra MANSON,30 APR 1984,USA,1,"National Stadium, Kingston (JAM)",18 JUL 2002,1188,high-jump,jumps,male,u20
29,2.31,,Jaroslav BÁBA,02 SEP 1984,CZE,1,Wuppertal (GER) (i),31 JAN 2003,1188,high-jump,jumps,male,u20
29,2.31,,Mutaz Essa BARSHIM,24 JUN 1991,QAT,1,Hanoi (VIE),03 JUL 2010,1188,high-jump,jumps,male,u20
29,2.31,,Danil LYSENKO,19 MAY 1997,RUS,1,Moskva (RUS) (i),29 JAN 2016,1188,high-jump,jumps,male,u20
47,2.30,,Vladimir YASHCHENKO,12 JAN 1959,URS,1,"RSC Olimpiyskiy, Donetsk (URS)",20 AUG 1977,1179,high-jump,jumps,male,u20
47,2.30,,Vladimir YASHCHENKO,12 JAN 1959,URS,1,"Stadion Evžena Rošického, Praha (TCH)",02 SEP 1978,1179,high-jump,jumps,male,u20
47,2.30,,Dietmar MÖGENBURG,15 AUG 1961,FRG,1,Eberstadt (GER),09 JUN 1979,1179,high-jump,jumps,male,u20
47,2.30,,Dietmar MÖGENBURG,15 AUG 1961,FRG,1,Stockholm (SWE),08 JUL 1980,1179,high-jump,jumps,male,u20
47,2.30,,Dietmar MÖGENBURG,15 AUG 1961,FRG,1,Roma (ITA),05 AUG 1980,1179,high-jump,jumps,male,u20
47,2.30,,Jianhua ZHU,29 MAY 1963,CHN,1,Tokyo (JPN),05 JUN 1981,1179,high-jump,jumps,male,u20
47,2.30,,Patrik SJÖBERG,05 JAN 1965,SWE,1,Nice (FRA),18 JUL 1983,1179,high-jump,jumps,male,u20
47,2.30,,Javier SOTOMAYOR,13 OCT 1967,CUB,2,"Palais Omnisports de Paris-Bercy, Paris (FRA) (i)",18 JAN 1985,1179,high-jump,jumps,male,u20
47,2.30,,Javier SOTOMAYOR,13 OCT 1967,CUB,1,Belfast (GBR),24 JUN 1985,1179,high-jump,jumps,male,u20
47,2.30,,Dothel EDWARDS,09 SEP 1966,USA,1,"Pullman, WA (USA)",21 JUL 1985,1179,high-jump,jumps,male,u20
47,2.30,,Javier SOTOMAYOR,13 OCT 1967,CUB,1,Nassau (BAH),25 JUL 1985,1179,high-jump,jumps,male,u20
47,2.30,,Jagan HAMES,31 OCT 1975,AUS,2,"SIAC Homebush, Sydney (AUS)",13 MAR 1994,1179,high-jump,jumps,male,u20
47,2.30,,Ştefan VASILACHE,09 MAY 1979,ROU,1,Ankara (TUR),11 MAY 1997,1179,high-jump,jumps,male,u20
47,2.30,,Jacques FREITAG,11 JUN 1982,RSA,1,Pretoria (RSA),25 AUG 2000,1179,high-jump,jumps,male,u20
47,2.30,,Jaroslav BÁBA,02 SEP 1984,CZE,1,Hustopeče (CZE) (i),18 JAN 2003,1179,high-jump,jumps,male,u20
47,2.30,,Jaroslav BÁBA,02 SEP 1984,CZE,2,Banská Bystrica (SVK) (i),25 FEB 2003,1179,high-jump,jumps,male,u20
47,2.30,,Jaroslav BÁBA,02 SEP 1984,CZE,1,Bratislava (SVK) (i),02 MAR 2003,1179,high-jump,jumps,male,u20
47,2.30,,Jaroslav BÁBA,02 SEP 1984,CZE,2,Lille (FRA),15 JUN 2003,1179,high-jump,jumps,male,u20
47,2.30,,Michał BIENIEK,17 MAY 1984,POL,1,Zamość (POL),29 JUN 2003,1179,high-jump,jumps,male,u20
47,2.30,,Jaroslav BÁBA,02 SEP 1984,CZE,1,Thessaloniki (GRE),03 AUG 2003,1179,high-jump,jumps,male,u20
47,2.30,,Linus THÖRNBLAD,06 MAR 1985,SWE,1,Vellinge (SWE),16 AUG 2003,1179,high-jump,jumps,male,u20
47,2.30,,Ivan UKHOV,29 MAR 1986,RUS,1,Tula (RUS),04 JUL 2005,1179,high-jump,jumps,male,u20
47,2.30,,Ivan UKHOV,29 MAR 1986,RUS,3,Tula (RUS),13 JUL 2005,1179,high-jump,jumps,male,u20
47,2.30,,Niki PALLI,28 MAY 1987,ISR,1,Tel Aviv (ISR),12 JUL 2006,1179,high-jump,jumps,male,u20
47,2.30,,Oleksandr NARTOV,21 MAY 1988,UKR,1,Mogilyov (BLR) (i),24 FEB 2007,1179,high-jump,jumps,male,u20
47,2.30,,Haiqiang HUANG,08 FEB 1988,CHN,1,Suzhou (CHN),10 JUN 2007,1179,high-jump,jumps,male,u20
47,2.30,,Sergey MUDROV,08 SEP 1990,RUS,1,Bryansk (RUS) (i),04 NOV 2009,1179,high-jump,jumps,male,u20
47,2.30,,Mutaz Essa BARSHIM,24 JUN 1991,QAT,1,"Croix-Bleue Medavie Stadium, Moncton (CAN)",23 JUL 2010,1179,high-jump,jumps,male,u20
47,2.30,,Nikita ANISHCHENKOV,25 JUL 1992,RUS,1,Cheboksary (RUS),03 JUL 2011,1179,high-jump,jumps,male,u20
47,2.30,,Danil LYSENKO,19 MAY 1997,RUS,1,Novocheboksarsk (RUS) (i),09 FEB 2016,1179,high-jump,jumps,male,u20
47,2.30,,Danil LYSENKO,19 MAY 1997,RUS,1,Sochi (RUS),27 MAY 2016,1179,high-jump,jumps,male,u20
47,2.30,,Tom GALE,18 DEC 1998,GBR,1,Bedford (GBR),29 JUL 2017,1179,high-jump,jumps,male,u20
79,2.29,,Dietmar MÖGENBURG,15 AUG 1961,FRG,2,Eberstadt (GER),25 MAY 1980,1170,high-jump,jumps,male,u20
79,2.29,,Yuriy SERGIYENKO,19 MAR 1965,URS,1,Tashkent (UZB),25 SEP 1983,1170,high-jump,jumps,male,u20
79,2.29,,Hollis CONWAY,08 JAN 1967,USA,1,"Lafayette, LA (USA)",12 APR 1986,1170,high-jump,jumps,male,u20
79,2.29,,Georgi DAKOV,21 OCT 1967,BUL,2,Sofia (BUL),01 JUN 1986,1170,high-jump,jumps,male,u20
79,2.29,,Tim FORSYTH,17 AUG 1973,AUS,2,"Deveti Septemvri Stadium, Plovdiv (BUL)",12 AUG 1990,1170,high-jump,jumps,male,u20
79,2.29,,Steve SMITH,29 MAR 1973,GBR,1,"Kaftanzoglio Stadium, Thessaloniki (GRE)",09 AUG 1991,1170,high-jump,jumps,male,u20
79,2.29,,Steve SMITH,29 MAR 1973,GBR,2q2,"Estadio Olímpico, Barcelona (ESP)",31 JUL 1992,1170,high-jump,jumps,male,u20
79,2.29,,Takahiro KIMINO,19 FEB 1973,JPN,3,"Olympic Stadium, Seoul (KOR)",20 SEP 1992,1170,high-jump,jumps,male,u20
79,2.29,,Kenny EVANS,06 APR 1979,USA,1,"Indianapolis, IN (USA) (i)",13 MAR 1998,1170,high-jump,jumps,male,u20
79,2.29,,Jacques FREITAG,11 JUN 1982,RSA,1,Cape Town (RSA),04 MAR 2000,1170,high-jump,jumps,male,u20
79,2.29,,Jaroslav BÁBA,02 SEP 1984,CZE,2q2,"Stade de France, Paris-St-Denis (FRA)",23 AUG 2003,1170,high-jump,jumps,male,u20
79,2.29,,Ivan UKHOV,29 MAR 1986,RUS,1,Yekaterinburg (RUS) (i),07 JAN 2005,1170,high-jump,jumps,male,u20
79,2.29,,Niki PALLI,28 MAY 1987,ISR,2,"Chaoyang Sport Center, Beijing (CHN)",17 AUG 2006,1170,high-jump,jumps,male,u20
79,2.29,,Joel BADEN,01 FEB 1996,AUS,1,Melbourne (AUS),18 OCT 2014,1170,high-jump,jumps,male,u20
93,2.28,,Vladimir YASHCHENKO,12 JAN 1959,URS,1,Tokyo (JPN),25 SEP 1978,1161,high-jump,jumps,male,u20
93,2.28,,Dietmar MÖGENBURG,15 AUG 1961,FRG,1,Koblenz (GER),06 SEP 1979,1161,high-jump,jumps,male,u20
93,2.28,,Paolo BORGHI,27 NOV 1961,ITA,1,Santa Lucia di Piave (ITA),25 MAY 1980,1161,high-jump,jumps,male,u20
93,2.28,,Jörg FREIMUTH,10 SEP 1961,GDR,1,Potsdam (GDR),13 JUL 1980,1161,high-jump,jumps,male,u20
93,2.28,,Sergey ZASIMOVICH,06 SEP 1962,URS,1,Almaty (KAZ),30 JUL 1981,1161,high-jump,jumps,male,u20
