rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,6.30,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"National Stadium, Tokyo (JPN)",15 SEP 2025,1350,pole-vault,jumps,male,senior
2,6.29,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Nemzeti Atlétikai Központ, Budapest (HUN)",12 AUG 2025,1347,pole-vault,jumps,male,senior
3,6.28,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Olympiastadion, Stockholm (SWE)",15 JUN 2025,1344,pole-vault,jumps,male,senior
4,6.27,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Maison des Sports, Clermont-Ferrand (FRA) (i)",28 FEB 2025,1342,pole-vault,jumps,male,senior
5,6.26,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1339,pole-vault,jumps,male,senior
6,6.25,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Stade de France, Paris (FRA)",05 AUG 2024,1336,pole-vault,jumps,male,senior
7,6.24,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Egret Stadium, Xiamen (CHN)",20 APR 2024,1333,pole-vault,jumps,male,senior
8,6.23,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Hayward Field, Eugene, OR (USA)",17 SEP 2023,1330,pole-vault,jumps,male,senior
9,6.22,,Armand DUPLANTIS,10 NOV 1999,SWE,1f1,"Maison des Sports, Clermont-Ferrand (FRA) (i)",25 FEB 2023,1328,pole-vault,jumps,male,senior
10,6.21,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,1325,pole-vault,jumps,male,senior
11,6.20,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Štark Arena, Beograd (SRB) (i)",20 MAR 2022,1322,pole-vault,jumps,male,senior
12,6.19,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Štark Arena, Beograd (SRB) (i)",07 MAR 2022,1319,pole-vault,jumps,male,senior
13,6.18,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Emirates Arena, Glasgow (GBR) (i)",15 FEB 2020,1317,pole-vault,jumps,male,senior
14,6.17,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Arena, Toruń (POL) (i)",08 FEB 2020,1314,pole-vault,jumps,male,senior
15,6.16,,Renaud LAVILLENIE,18 SEP 1986,FRA,1,Donetsk (UKR) (i),15 FEB 2014,1311,pole-vault,jumps,male,senior
15,6.16,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Olympiastadion, Stockholm (SWE)",30 JUN 2022,1311,pole-vault,jumps,male,senior
17,6.15,,Sergey BUBKA,04 DEC 1963,UKR,1,Donetsk (UKR) (i),21 FEB 1993,1308,pole-vault,jumps,male,senior
17,6.15,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Stadio Olimpico, Roma (ITA)",17 SEP 2020,1308,pole-vault,jumps,male,senior
17,6.15,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",21 AUG 2024,1308,pole-vault,jumps,male,senior
17,6.15,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Sports Training Center, Nanjing (CHN) (i)",22 MAR 2025,1308,pole-vault,jumps,male,senior
17,6.15,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Bislett Stadion, Oslo (NOR)",12 JUN 2025,1308,pole-vault,jumps,male,senior
22,6.14,,Sergey BUBKA,04 DEC 1963,UKR,1,Liévin (FRA) (i),13 FEB 1993,1306,pole-vault,jumps,male,senior
22,6.14,,Sergey BUBKA,04 DEC 1963,UKR,1,Sestriere (ITA),31 JUL 1994,1306,pole-vault,jumps,male,senior
24,6.13,,Sergey BUBKA,04 DEC 1963,UKR,1,Berlin (GER) (i),21 FEB 1992,1303,pole-vault,jumps,male,senior
24,6.13,,Sergey BUBKA,04 DEC 1963,UKR,1,Tokyo (JPN),19 SEP 1992,1303,pole-vault,jumps,male,senior
24,6.13,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Mestský Stadion, Ostrava (CZE)",24 JUN 2025,1303,pole-vault,jumps,male,senior
27,6.12,,Sergey BUBKA,04 DEC 1963,URS,1,Grenoble (FRA) (i),23 MAR 1991,1300,pole-vault,jumps,male,senior
27,6.12,,Sergey BUBKA,04 DEC 1963,UKR,1,Padova (ITA),30 AUG 1992,1300,pole-vault,jumps,male,senior
27,6.12,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Mestský Stadion, Ostrava (CZE)",27 JUN 2023,1300,pole-vault,jumps,male,senior
30,6.11,,Sergey BUBKA,04 DEC 1963,URS,1,Donetsk (URS) (i),19 MAR 1991,1297,pole-vault,jumps,male,senior
30,6.11,,Sergey BUBKA,04 DEC 1963,UKR,1,Dijon (FRA),13 JUN 1992,1297,pole-vault,jumps,male,senior
30,6.11,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"FBK Stadium, Hengelo (NED)",04 JUN 2023,1297,pole-vault,jumps,male,senior
30,6.11,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Boudewijnstadion, Bruxelles (BEL)",13 SEP 2024,1297,pole-vault,jumps,male,senior
30,6.11,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"China Textile City Sports Centre, Shaoxing/Keqiao (CHN)",03 MAY 2025,1297,pole-vault,jumps,male,senior
35,6.10,,Sergey BUBKA,04 DEC 1963,URS,1,San Sebastián (ESP) (i),15 MAR 1991,1294,pole-vault,jumps,male,senior
35,6.10,,Sergey BUBKA,04 DEC 1963,URS,1,Malmö (SWE),05 AUG 1991,1294,pole-vault,jumps,male,senior
35,6.10,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Atletska dvorana, Beograd (SRB) (i)",24 FEB 2021,1294,pole-vault,jumps,male,senior
35,6.10,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"FBK Stadium, Hengelo (NED)",06 JUN 2021,1294,pole-vault,jumps,male,senior
35,6.10,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Stadion Śląski, Chorzów (POL)",06 AUG 2022,1294,pole-vault,jumps,male,senior
35,6.10,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",25 AUG 2022,1294,pole-vault,jumps,male,senior
35,6.10,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"IFU Arena, Uppsala (SWE) (i)",02 FEB 2023,1294,pole-vault,jumps,male,senior
35,6.10,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 AUG 2023,1294,pole-vault,jumps,male,senior
35,6.10,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Boudewijnstadion, Bruxelles (BEL)",08 SEP 2023,1294,pole-vault,jumps,male,senior
35,6.10,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Stadio Olimpico, Roma (ITA)",12 JUN 2024,1294,pole-vault,jumps,male,senior
35,6.10,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Mercedes-Benz Arena, Berlin (GER) (i)",14 FEB 2025,1294,pole-vault,jumps,male,senior
35,6.10,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Stadion Śląski, Chorzów (POL)",16 AUG 2025,1294,pole-vault,jumps,male,senior
47,6.09,,Sergey BUBKA,04 DEC 1963,URS,1,Formia (ITA),08 JUL 1991,1292,pole-vault,jumps,male,senior
48,6.08,,Sergey BUBKA,04 DEC 1963,URS,1,Volgograd (URS) (i),09 FEB 1991,1289,pole-vault,jumps,male,senior
48,6.08,,Sergey BUBKA,04 DEC 1963,URS,1,Moskva (URS),09 JUN 1991,1289,pole-vault,jumps,male,senior
48,6.08,,Renaud LAVILLENIE,18 SEP 1986,FRA,1,Bydgoszcz (POL) (i),31 JAN 2014,1289,pole-vault,jumps,male,senior
48,6.08,,Emmanouil KARALIS,20 OCT 1999,GRE,1,"Panthessaliko Stadium, Volos (GRE)",02 AUG 2025,1289,pole-vault,jumps,male,senior
52,6.07,,Sergey BUBKA,04 DEC 1963,URS,1,Shizuoka (JPN),06 MAY 1991,1286,pole-vault,jumps,male,senior
52,6.07,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Arena Stade Couvert, Liévin (FRA) (i)",19 FEB 2020,1286,pole-vault,jumps,male,senior
52,6.07,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Place de l'Europe, Lausanne (SUI)",02 SEP 2020,1286,pole-vault,jumps,male,senior
52,6.07,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Letzigrund, Zürich (SUI)",08 SEP 2022,1286,pole-vault,jumps,male,senior
52,6.07,,KC LIGHTFOOT,11 NOV 1999,USA,1,"Vanderbilt Track, Nashville, TN (USA)",02 JUN 2023,1286,pole-vault,jumps,male,senior
57,6.06,,Sergey BUBKA,04 DEC 1963,URS,1,Nice (FRA),10 JUL 1988,1283,pole-vault,jumps,male,senior
57,6.06,,Steven HOOKER,16 JUL 1982,AUS,1f1,"Boston, MA (USA) (i)",07 FEB 2009,1283,pole-vault,jumps,male,senior
57,6.06,,Sam KENDRICKS,07 SEP 1992,USA,1,"Drake Stadium, Des Moines, IA (USA)",27 JUL 2019,1283,pole-vault,jumps,male,senior
57,6.06,,Renaud LAVILLENIE,18 SEP 1986,FRA,1f1,"Stadium Jean-Pellez, Aubière (FRA) (i)",27 FEB 2021,1283,pole-vault,jumps,male,senior
57,6.06,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Letzigrund, Zürich (SUI)",09 SEP 2021,1283,pole-vault,jumps,male,senior
57,6.06,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"Olympiastadion, München (GER)",20 AUG 2022,1283,pole-vault,jumps,male,senior
