rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,5.60,,Matvei VOLKOV,13 MAR 2004,BLR,6,"Atlas Arena, Łódź (POL) (i)",12 FEB 2021,1157,pole-vault,jumps,male,u18
2,5.56,,Sasha ZHOYA,25 JUN 2002,AUS,1,Sydney (AUS),01 APR 2019,1146,pole-vault,jumps,male,u18
3,5.55,,Emmanouil KARALIS,20 OCT 1999,GRE,7,"Mestský Stadion, Ostrava (CZE)",20 MAY 2016,1143,pole-vault,jumps,male,u18
4,5.54,,Emmanouil KARALIS,20 OCT 1999,GRE,5,Jablonec nad Nisou (CZE) (i),05 MAR 2016,1140,pole-vault,jumps,male,u18
5,5.53,,Emmanouil KARALIS,20 OCT 1999,GRE,3,Pireaus (GRE) (i),13 FEB 2016,1138,pole-vault,jumps,male,u18
6,5.51,,Germán CHIARAVIGLIO,16 APR 1987,ARG,1,Porto Alegre (BRA),01 MAY 2004,1132,pole-vault,jumps,male,u18
6,5.51,,Armand DUPLANTIS,10 NOV 1999,SWE,1,Norrköping (SWE),13 JUL 2016,1132,pole-vault,jumps,male,u18
8,5.50,,István BAGYULA,02 JAN 1969,HUN,1,Milano (ITA),19 JUN 1986,1129,pole-vault,jumps,male,u18
8,5.50,,Matvei VOLKOV,13 MAR 2004,RUS,3f1,"Luzhniki Arena, Moskva (RUS) (i)",29 FEB 2020,1129,pole-vault,jumps,male,u18
8,5.50,,Matvei VOLKOV,13 MAR 2004,BLR,5,"Bungertstadion, Rehlingen (GER)",23 MAY 2021,1129,pole-vault,jumps,male,u18
8,5.50,,Maddox HAMM,21 MAY 2005,USA,1,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",19 MAR 2022,1129,pole-vault,jumps,male,u18
12,5.49,,Armand DUPLANTIS,10 NOV 1999,SWE,1,"LSU Carl Maddox Fieldhouse, Baton Rouge, LA (USA) (i)",06 FEB 2016,1127,pole-vault,jumps,male,u18
12,5.49,,Kai MILLER,,USA,1,"Pittsburg, KS (USA)",26 APR 2019,1127,pole-vault,jumps,male,u18
14,5.46,,Adam HAGUE,29 AUG 1997,GBR,2f1,Manchester (GBR) (i),21 DEC 2014,1119,pole-vault,jumps,male,u18
14,5.46,,Masaki EJIMA,06 MAR 1999,JPN,1,Kitakami (JPN),07 OCT 2016,1119,pole-vault,jumps,male,u18
14,5.46,,Pål Haugen LILLEFOSSE,04 JUN 2001,NOR,1f1,Sätra (SWE) (i),06 JAN 2018,1119,pole-vault,jumps,male,u18
14,5.46,,Pål Haugen LILLEFOSSE,04 JUN 2001,NOR,1,"Olimpiai Sportpark, Győr (HUN)",08 JUL 2018,1119,pole-vault,jumps,male,u18
18,5.45,,Grigoriy YEGOROV,12 JAN 1967,URS,1,Simferopol (URS),26 MAY 1984,1116,pole-vault,jumps,male,u18
18,5.45,,Germán CHIARAVIGLIO,16 APR 1987,ARG,1,Rosario (ARG),05 JUN 2004,1116,pole-vault,jumps,male,u18
18,5.45,,Germán CHIARAVIGLIO,16 APR 1987,ARG,2,"Stadio Zecchini, Grosseto (ITA)",17 JUL 2004,1116,pole-vault,jumps,male,u18
18,5.45,,Yansheng YANG,05 JAN 1988,CHN,2,Nanjing (CHN),18 OCT 2005,1116,pole-vault,jumps,male,u18
18,5.45,,Melker SVÄRD JACOBSSON,08 JAN 1994,SWE,1,Tampere (FIN) (i),05 FEB 2011,1116,pole-vault,jumps,male,u18
