rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,17.41,+1.0,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,1,La Habana (CUB),08 JUN 2018,1208,triple-jump,jumps,male,u18
2,17.32,+0.5,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,1,La Habana (CUB),17 FEB 2018,1199,triple-jump,jumps,male,u18
3,17.30,+0.6,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,1,"Kasarani, Nairobi (KEN)",14 JUL 2017,1197,triple-jump,jumps,male,u18
4,17.28,0.0,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,1,Camagüey (CUB),01 JUN 2018,1194,triple-jump,jumps,male,u18
5,17.27,+1.3,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,,Barranquilla (COL),02 AUG 2018,1193,triple-jump,jumps,male,u18
5,17.27,0.0,Jaydon HIBBERT,17 JAN 2005,JAM,1,"Pascual Guerrero Stadium, Cali (COL)",05 AUG 2022,1193,triple-jump,jumps,male,u18
7,17.24,+0.7,Lázaro MARTÍNEZ,03 NOV 1997,CUB,2,La Habana (CUB),01 FEB 2014,1190,triple-jump,jumps,male,u18
8,17.15,-0.4,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,1,"Ratinan Stadion, Tampere (FIN)",14 JUL 2018,1183,triple-jump,jumps,male,u18
9,17.14,-0.3,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,1,Camagüey (CUB),26 MAY 2018,1180,triple-jump,jumps,male,u18
9,17.14,-0.8,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,1,La Chaux-de-Fonds (SUI),01 JUL 2018,1183,triple-jump,jumps,male,u18
9,17.14,+1.9,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,1q1,Buenos Aires (ARG),13 OCT 2018,1179,triple-jump,jumps,male,u18
12,17.13,+0.7,Lázaro MARTÍNEZ,03 NOV 1997,CUB,1,"Hayward Field, Eugene, OR (USA)",27 JUL 2014,1178,triple-jump,jumps,male,u18
13,17.11,,Lázaro MARTÍNEZ,03 NOV 1997,CUB,2,La Habana (CUB),20 MAR 2014,1176,triple-jump,jumps,male,u18
14,17.09,+0.7,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,1q2,"Ratinan Stadion, Tampere (FIN)",13 JUL 2018,1174,triple-jump,jumps,male,u18
15,17.07,-0.2,Lázaro MARTÍNEZ,03 NOV 1997,CUB,3,"Stadio Olimpico, Roma (ITA)",05 JUN 2014,1173,triple-jump,jumps,male,u18
16,17.06,-1.1,Lázaro MARTÍNEZ,03 NOV 1997,CUB,1,La Habana (CUB),10 MAY 2014,1177,triple-jump,jumps,male,u18
17,17.04,+1.9,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,1f1,Buenos Aires (ARG),16 OCT 2018,1169,triple-jump,jumps,male,u18
18,17.03,-0.4,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,2,Camagüey (CUB),04 FEB 2018,1170,triple-jump,jumps,male,u18
19,16.95,-1.3,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,2,La Habana (CUB),23 FEB 2018,1166,triple-jump,jumps,male,u18
20,16.91,-0.6,Lázaro MARTÍNEZ,03 NOV 1997,CUB,2,Veracruz (MEX),28 NOV 2014,1158,triple-jump,jumps,male,u18
21,16.89,,Junjie GU,05 MAY 1985,CHN,1,Guangzhou (CHN),25 AUG 2000,1153,triple-jump,jumps,male,u18
21,16.89,+1.9,Lázaro MARTÍNEZ,03 NOV 1997,CUB,,La Habana (CUB),21 FEB 2014,1153,triple-jump,jumps,male,u18
23,16.83,-0.1,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,1,Toronto (CAN),10 AUG 2018,1146,triple-jump,jumps,male,u18
24,16.82,+0.4,Lázaro MARTÍNEZ,03 NOV 1997,CUB,4,"Bislett Stadion, Oslo (NOR)",11 JUN 2014,1145,triple-jump,jumps,male,u18
25,16.76,-0.3,Lázaro MARTÍNEZ,03 NOV 1997,CUB,1,"Shanghai Stadium, Shanghai (CHN)",18 MAY 2014,1140,triple-jump,jumps,male,u18
26,16.73,0.0,Junjie GU,05 MAY 1985,CHN,1,Bangkok (THA),31 OCT 2002,1136,triple-jump,jumps,male,u18
27,16.68,+1.2,Yoelbi QUESADA,04 AUG 1973,CUB,1,La Habana (CUB),07 JUL 1990,1130,triple-jump,jumps,male,u18
28,16.66,-0.7,Jordan A. DÍAZ FORTUN,23 FEB 2001,CUB,4,La Habana (CUB),17 MAR 2017,1132,triple-jump,jumps,male,u18
28,16.66,-0.2,Jaydon HIBBERT,17 JAN 2005,JAM,1,"National Stadium, Kingston (JAM)",08 APR 2022,1129,triple-jump,jumps,male,u18
30,16.65,,Sergey TIMOFEYEV,04 JAN 1968,URS,2,Adler (URS),27 APR 1984,1127,triple-jump,jumps,male,u18
31,16.63,+1.4,Héctor Dairon FUENTES,19 MAY 1988,CUB,1,"Sidi Youssef Ben Ali, Marrakech (MAR)",16 JUL 2005,1125,triple-jump,jumps,male,u18
31,16.63,+1.8,Lázaro MARTÍNEZ,03 NOV 1997,CUB,1,Donetsk (UKR),13 JUL 2013,1125,triple-jump,jumps,male,u18
31,16.63,+1.9,Lázaro MARTÍNEZ,03 NOV 1997,CUB,1q2,"Hayward Field, Eugene, OR (USA)",25 JUL 2014,1125,triple-jump,jumps,male,u18
34,16.62,+1.2,Yoelbi QUESADA,04 AUG 1973,CUB,2,"Deveti Septemvri Stadium, Plovdiv (BUL)",12 AUG 1990,1124,triple-jump,jumps,male,u18
