rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,3:26.00,,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,"Stadio Olimpico, Roma (ITA)",14 JUL 1998,1302,1500-metres,middlelong,male,senior
2,3:26.12,,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Bruxelles (BEL),24 AUG 2001,1301,1500-metres,middlelong,male,senior
3,3:26.34,,Bernard LAGAT,12 DEC 1974,KEN,2,Bruxelles (BEL),24 AUG 2001,1297,1500-metres,middlelong,male,senior
4,3:26.45,,Hicham EL GUERROUJ,14 SEP 1974,MAR,1f1,Zürich (SUI),12 AUG 1998,1296,1500-metres,middlelong,male,senior
5,3:26.69,,Asbel KIPROP,30 JUN 1989,KEN,1,"Stade Louis II, Monaco (MON)",17 JUL 2015,1292,1500-metres,middlelong,male,senior
6,3:26.73,,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,"Stade Louis II, Monaco (MON)",12 JUL 2024,1292,1500-metres,middlelong,male,senior
7,3:26.89,,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Zürich (SUI),16 AUG 2002,1289,1500-metres,middlelong,male,senior
8,3:26.96,,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Rieti (ITA),08 SEP 2002,1288,1500-metres,middlelong,male,senior
9,3:27.14,,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,"Stadion Śląski, Chorzów (POL)",16 JUL 2023,1286,1500-metres,middlelong,male,senior
10,3:27.21,,Hicham EL GUERROUJ,14 SEP 1974,MAR,1f1,Zürich (SUI),11 AUG 2000,1285,1500-metres,middlelong,male,senior
11,3:27.34,,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,"Stade Louis II, Monaco (MON)",19 JUL 2002,1283,1500-metres,middlelong,male,senior
12,3:27.37,,Noureddine MORCELI,28 FEB 1970,ALG,1,Nice (FRA),12 JUL 1995,1282,1500-metres,middlelong,male,senior
13,3:27.40,,Bernard LAGAT,12 DEC 1974,KEN,1,Zürich (SUI),06 AUG 2004,1282,1500-metres,middlelong,male,senior
14,3:27.49,,Azeddine HABZ,19 JUL 1993,FRA,1,"Stade Charléty, Paris (FRA)",20 JUN 2025,1281,1500-metres,middlelong,male,senior
15,3:27.52,,Noureddine MORCELI,28 FEB 1970,ALG,1,"Stade Louis II, Monaco (MON)",25 JUL 1995,1280,1500-metres,middlelong,male,senior
16,3:27.64,,Hicham EL GUERROUJ,14 SEP 1974,MAR,2,Zürich (SUI),06 AUG 2004,1279,1500-metres,middlelong,male,senior
16,3:27.64,,Silas KIPLAGAT,20 AUG 1989,KEN,1,"Stade Louis II, Monaco (MON)",18 JUL 2014,1279,1500-metres,middlelong,male,senior
