rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,5:31.96,,Brian KIPTOO,24 OCT 2008,KEN,1,"Nyayo National Stadium, Nairobi (KEN)",20 JUN 2025,,2000-metres-steeplechase-84,middlelong,male,u18
2,5:36.04,,Michał GAJDUS,10 JAN 2008,POL,1,"Stadion Miejski, Oleśnica (POL)",07 JUN 2025,,2000-metres-steeplechase-84,middlelong,male,u18
3,5:36.88,,Emmanuel LEMISO,03 JUN 2008,KEN,2,"Nyayo National Stadium, Nairobi (KEN)",20 JUN 2025,,2000-metres-steeplechase-84,middlelong,male,u18
4,5:38.55,,Sergio DEL BARRIO,04 FEB 2005,ESP,1f1,"Givat Ram Stadium, Jerusalem (ISR)",07 JUL 2022,,2000-metres-steeplechase-84,middlelong,male,u18
5,5:39.51,,Mihai-Alin ȘAVLOVSCHI,22 AUG 2006,ROU,1,"Atletski stadion Poljane, Maribor (SLO)",29 JUL 2023,,2000-metres-steeplechase-84,middlelong,male,u18
6,5:40.00,,Alejandro DOMINGO,24 JUL 2007,ESP,1,"Centro Galego de Tecnificación, Pontevedra (ESP)",22 JUN 2024,,2000-metres-steeplechase-84,middlelong,male,u18
7,5:40.30,,Isacc DUPORTAL,15 OCT 2006,FRA,2,"Atletski stadion Poljane, Maribor (SLO)",29 JUL 2023,,2000-metres-steeplechase-84,middlelong,male,u18
8,5:40.35,,Hicham ERRBIBIH,02 DEC 2005,FRA,2f1,"Givat Ram Stadium, Jerusalem (ISR)",07 JUL 2022,,2000-metres-steeplechase-84,middlelong,male,u18
9,5:40.45,,Aarno LIEBL,21 MAY 2005,SUI,3f1,"Givat Ram Stadium, Jerusalem (ISR)",07 JUL 2022,,2000-metres-steeplechase-84,middlelong,male,u18
10,5:40.58,,Zhihui LUO,08 JUL 2009,CHN,1f2,"Olympic Center, Shenyang (CHN)",12 AUG 2025,,2000-metres-steeplechase-84,middlelong,male,u18
11,5:41.11,,Sergio DEL BARRIO,04 FEB 2005,ESP,2,"Stade Helitas, Caen (FRA)",19 MAY 2022,,2000-metres-steeplechase-84,middlelong,male,u18
12,5:41.30,,Bakr EL ASRI,28 JAN 2007,ESP,1f1,"Pista de Atletismo Las Mestas, Gijón (ESP)",09 JUL 2023,,2000-metres-steeplechase-84,middlelong,male,u18
13,5:41.52,,Benjámin SZABÓ,20 OCT 2006,HUN,3,"Atletski stadion Poljane, Maribor (SLO)",29 JUL 2023,,2000-metres-steeplechase-84,middlelong,male,u18
14,5:42.26,,Haakon Kamlesh Heltzer SØRSTAD,01 MAR 2008,NOR,1,"Athletic track of National Arena Philip II, Skopje (MKD)",26 JUL 2025,,2000-metres-steeplechase-84,middlelong,male,u18
15,5:42.28,,Jairus KIPKORIR,02 JUN 2009,KEN,3,"Nyayo National Stadium, Nairobi (KEN)",20 JUN 2025,,2000-metres-steeplechase-84,middlelong,male,u18
16,5:42.41,,Marti TORREGROSSA,20 JUL 2007,ESP,2,"Centro Galego de Tecnificación, Pontevedra (ESP)",22 JUN 2024,,2000-metres-steeplechase-84,middlelong,male,u18
17,5:42.75,,Mathis DUBOIS,2008,FRA,2,"Athletic track of National Arena Philip II, Skopje (MKD)",26 JUL 2025,,2000-metres-steeplechase-84,middlelong,male,u18
18,5:43.34,,Bakr EL ASRI,28 JAN 2007,ESP,3,"Centro Galego de Tecnificación, Pontevedra (ESP)",22 JUN 2024,,2000-metres-steeplechase-84,middlelong,male,u18
