rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,5:19.99,,Meresa KAHSAY,23 MAY 1996,ETH,1,Donetsk (UKR),12 JUL 2013,1182,2000-metres-steeplechase,middlelong,male,u20
2,5:20.44,,Ronald Kipchumba RUTTO,08 OCT 1987,KEN,3,Doha (QAT),13 MAY 2005,1179,2000-metres-steeplechase,middlelong,male,u20
3,5:20.92,,Nicholas Kiptonui BETT,20 DEC 1996,KEN,2,Donetsk (UKR),12 JUL 2013,1176,2000-metres-steeplechase,middlelong,male,u20
4,5:21.36,,Nabil OUHADI,18 AUG 1989,MAR,1,Rabat (MAR),15 JUL 2006,1173,2000-metres-steeplechase,middlelong,male,u20
5,5:24.69,,Abel Kiprop MUTAI,02 OCT 1988,KEN,1,"Sidi Youssef Ben Ali, Marrakech (MAR)",15 JUL 2005,1150,2000-metres-steeplechase,middlelong,male,u20
6,5:24.87,,Bisluke Kipkorir KIPLAGAT,08 AUG 1988,KEN,2,"Sidi Youssef Ben Ali, Marrakech (MAR)",15 JUL 2005,1148,2000-metres-steeplechase,middlelong,male,u20
7,5:25.01,,Arsenios TSIMINOS,19 JAN 1961,GRE,1,Athina (GRE),02 OCT 1980,1147,2000-metres-steeplechase,middlelong,male,u20
8,5:25.17,,John KOSGEI,15 JUL 1973,KEN,2,Parma (ITA),23 JUL 1992,1146,2000-metres-steeplechase,middlelong,male,u20
9,5:25.33,,Hillary Kipsang YEGO,02 APR 1992,KEN,1,"Bressanone, Trentino-Alto Adige (ITA)",12 JUL 2009,1145,2000-metres-steeplechase,middlelong,male,u20
10,5:26.52,,Abdelghani AIT BAHMED,28 JUL 1989,MAR,3,"Sidi Youssef Ben Ali, Marrakech (MAR)",15 JUL 2005,1137,2000-metres-steeplechase,middlelong,male,u20
11,5:26.59,,Peter Kibet LAGAT,26 MAY 1992,KEN,2,"Bressanone, Trentino-Alto Adige (ITA)",12 JUL 2009,1137,2000-metres-steeplechase,middlelong,male,u20
12,5:27.17,,Vincent KIPYEGON,31 DEC 1998,KEN,1,Nairobi (KEN),17 JUN 2015,1133,2000-metres-steeplechase,middlelong,male,u20
13,5:27.44,,Gaetano ERBA,02 JAN 1960,ITA,1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",18 AUG 1979,1131,2000-metres-steeplechase,middlelong,male,u20
14,5:27.58,,Vincent KIPYEGON,31 DEC 1998,KEN,1,"Pascual Guerrero Stadium, Cali (COL)",19 JUL 2015,1130,2000-metres-steeplechase,middlelong,male,u20
15,5:27.64,,Ronald Kipchumba RUTTO,08 OCT 1987,KEN,3,Naimette-Xhovémont (BEL),02 SEP 2003,1130,2000-metres-steeplechase,middlelong,male,u20
16,5:28.14,,Frank BAUMGARTL,29 MAY 1955,GDR,1,"Wedaustadion, Duisburg (GER)",26 AUG 1973,1126,2000-metres-steeplechase,middlelong,male,u20
17,5:28.15,,Nikolay MATYUSHENKO,04 JAN 1966,URS,1,Debrecen (HUN),18 AUG 1984,1126,2000-metres-steeplechase,middlelong,male,u20
18,5:28.2h,,Vincent KIPYEGON,31 DEC 1998,KEN,1,Nairobi (KEN),01 APR 2015,1126,2000-metres-steeplechase,middlelong,male,u20
19,5:28.31,,Nikolay MATYUSHENKO,04 JAN 1966,URS,1,"Max-Reimann-Stadion, Cottbus (GDR)",24 AUG 1985,1125,2000-metres-steeplechase,middlelong,male,u20
20,5:28.36,,Vladimir KANEV,06 FEB 1954,BUL,2,"Wedaustadion, Duisburg (GER)",26 AUG 1973,1125,2000-metres-steeplechase,middlelong,male,u20
21,5:28.48,,Jacob ARAPTANY,11 FEB 1992,UGA,1,Pliezhausen (GER),22 MAY 2011,1124,2000-metres-steeplechase,middlelong,male,u20
22,5:28.52,,Leonard Kipkemoi BETT,03 NOV 2000,KEN,1,Nairobi (KEN),14 JUN 2017,1124,2000-metres-steeplechase,middlelong,male,u20
23,5:28.56,,Jon AZKUETA,02 JUL 1967,ESP,1,"Olympic Stadium, Athina (GRE)",20 JUL 1986,1123,2000-metres-steeplechase,middlelong,male,u20
24,5:28.65,,Conseslus KIPRUTO,08 DEC 1994,KEN,1,Lille (FRA),08 JUL 2011,1123,2000-metres-steeplechase,middlelong,male,u20
25,5:28.78,,Justus Kipchirchir KIPRONO,28 FEB 1987,KEN,5,Naimette-Xhovémont (BEL),02 SEP 2003,1122,2000-metres-steeplechase,middlelong,male,u20
26,5:28.97,,Bisluke Kipkorir KIPLAGAT,08 AUG 1988,KEN,5,Herrera (ESP),19 MAY 2007,1121,2000-metres-steeplechase,middlelong,male,u20
27,5:29.1h,,Vincent KIPYEGON,31 DEC 1998,KEN,1h1,Nairobi (KEN),17 JUN 2015,1120,2000-metres-steeplechase,middlelong,male,u20
28,5:29.2h,,Nicholas Kiptonui BETT,20 DEC 1996,KEN,1h1,Nairobi (KEN),11 JUN 2013,1119,2000-metres-steeplechase,middlelong,male,u20
29,5:29.3h,,Conseslus KIPRUTO,08 DEC 1994,KEN,1,Nairobi (KEN),08 JUN 2011,1118,2000-metres-steeplechase,middlelong,male,u20
30,5:29.41,,Wogene Sebisibe SIDAMO,23 JUN 1998,ETH,2,"Pascual Guerrero Stadium, Cali (COL)",19 JUL 2015,1118,2000-metres-steeplechase,middlelong,male,u20
31,5:29.51,,Nahom Mesfin TARIKU,03 JUN 1989,ETH,4,"Sidi Youssef Ben Ali, Marrakech (MAR)",15 JUL 2005,1117,2000-metres-steeplechase,middlelong,male,u20
32,5:29.56,,Johnstone KIPKOECH,20 DEC 1968,KEN,2,"Olympic Stadium, Athina (GRE)",20 JUL 1986,1117,2000-metres-steeplechase,middlelong,male,u20
33,5:29.60,,Jens VOLKMANN,31 MAY 1967,FRG,3,"Olympic Stadium, Athina (GRE)",20 JUL 1986,1116,2000-metres-steeplechase,middlelong,male,u20
34,5:29.61,,Colin REITZ,06 APR 1960,GBR,2,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",18 AUG 1979,1116,2000-metres-steeplechase,middlelong,male,u20
35,5:29.66,,Desta ALEMU,18 FEB 1992,ETH,3,"Bressanone, Trentino-Alto Adige (ITA)",12 JUL 2009,1116,2000-metres-steeplechase,middlelong,male,u20
36,5:29.71,,Justus Kipchirchir KIPRONO,28 FEB 1987,KEN,1,Palermo (ITA),21 SEP 2003,1116,2000-metres-steeplechase,middlelong,male,u20
37,5:29.91,,Gyula BALOGH,15 FEB 1961,HUN,1,Budapest (HUN),05 SEP 1980,1114,2000-metres-steeplechase,middlelong,male,u20
38,5:30.0h,,Gilbert KIRUI,22 JAN 1994,KEN,2,Nairobi (KEN),08 JUN 2011,1114,2000-metres-steeplechase,middlelong,male,u20
38,5:30.00,,Justus LAGAT,20 MAY 1996,KEN,3,Donetsk (UKR),12 JUL 2013,1114,2000-metres-steeplechase,middlelong,male,u20
38,5:30.0h,,Nickson KIPLANGAT,09 APR 1998,KEN,2,Nairobi (KEN),01 APR 2015,1114,2000-metres-steeplechase,middlelong,male,u20
41,5:30.04,,Kelvin KIPYEGON,2001,KEN,2,Nairobi (KEN),14 JUN 2017,1113,2000-metres-steeplechase,middlelong,male,u20
42,5:30.16,,Geoffrey ROTICH,28 OCT 1998,KEN,3,"Pascual Guerrero Stadium, Cali (COL)",19 JUL 2015,1112,2000-metres-steeplechase,middlelong,male,u20
43,5:30.2h,,Domingo RAMON,10 MAR 1958,ESP,1,Dôle (FRA),07 AUG 1977,1112,2000-metres-steeplechase,middlelong,male,u20
43,5:30.2h,,Vesa LAUKKANEN,09 APR 1958,FIN,1,"RSC Olimpiyskiy, Donetsk (URS)",21 AUG 1977,1112,2000-metres-steeplechase,middlelong,male,u20
45,5:30.27,,Ronald Kipchumba RUTTO,08 OCT 1987,KEN,1,Sherbrooke (CAN),13 JUL 2003,1112,2000-metres-steeplechase,middlelong,male,u20
46,5:30.49,,Gilbert KIRUI,22 JAN 1994,KEN,2,Lille (FRA),08 JUL 2011,1110,2000-metres-steeplechase,middlelong,male,u20
47,5:30.51,,Abdellah DACHA,26 JAN 1992,MAR,4,"Bressanone, Trentino-Alto Adige (ITA)",12 JUL 2009,1110,2000-metres-steeplechase,middlelong,male,u20
48,5:30.59,,Geoffrey ROTICH,28 OCT 1998,KEN,2,Nairobi (KEN),17 JUN 2015,1110,2000-metres-steeplechase,middlelong,male,u20
49,5:30.73,,Radosław POPŁAWSKI,16 JAN 1983,POL,1,Wrocław (POL),19 MAY 2002,1109,2000-metres-steeplechase,middlelong,male,u20
50,5:30.81,,Legesse LAMISO,13 JAN 1990,ETH,1,Ostrava (CZE),13 JUL 2007,1108,2000-metres-steeplechase,middlelong,male,u20
51,5:30.85,,Eliud BARNGETUNY,20 MAY 1973,KEN,3,Padova (ITA),30 AUG 1992,1108,2000-metres-steeplechase,middlelong,male,u20
52,5:30.91,,Nikolay MATYUSHENKO,04 JAN 1966,URS,1,Plovdiv (BUL),04 AUG 1984,1107,2000-metres-steeplechase,middlelong,male,u20
53,5:31.1h,,Hagen MELZER,16 JUN 1959,GDR,1,Halle (GER),16 AUG 1978,1106,2000-metres-steeplechase,middlelong,male,u20
54,5:31.12,,Paul DAVIES-HALE,21 JUN 1962,GBR,1,"Atletiekbaan Overvecht, Utrecht (NED)",22 AUG 1981,1106,2000-metres-steeplechase,middlelong,male,u20
55,5:31.2h,,Francesco PANETTA,10 JAN 1963,ITA,1,Saronno (ITA),22 MAY 1982,1105,2000-metres-steeplechase,middlelong,male,u20
56,5:31.22,,Bisluke Kipkorir KIPLAGAT,08 AUG 1988,KEN,3,Strasbourg (FRA),28 JUN 2007,1105,2000-metres-steeplechase,middlelong,male,u20
57,5:31.24,,Justus Kipchirchir KIPRONO,28 FEB 1987,KEN,2,Sherbrooke (CAN),13 JUL 2003,1105,2000-metres-steeplechase,middlelong,male,u20
58,5:31.27,,Conseslus KIPRUTO,08 DEC 1994,KEN,1h2,Lille (FRA),06 JUL 2011,1105,2000-metres-steeplechase,middlelong,male,u20
