rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,12:43.02,,Selemon BAREGA,20 JAN 2000,ETH,1,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1273,5000-metres,middlelong,male,u20
2,12:45.93,,Biniam MEHARY,20 DEC 2006,ETH,2,"Bislett Stadion, Oslo (NOR)",12 JUN 2025,1262,5000-metres,middlelong,male,u20
3,12:47.53,,Hagos GEBRHIWET,11 MAY 1994,ETH,2,"Stade de France, Paris-St-Denis (FRA)",06 JUL 2012,1256,5000-metres,middlelong,male,u20
4,12:48.64,,Isiah Kiplangat KOECH,19 DEC 1993,KEN,3,"Stade de France, Paris-St-Denis (FRA)",06 JUL 2012,1252,5000-metres,middlelong,male,u20
5,12:52.61,,Eliud KIPCHOGE,05 NOV 1984,KEN,3,Oslo (NOR),27 JUN 2003,1237,5000-metres,middlelong,male,u20
6,12:52.79,,Eliud KIPCHOGE,05 NOV 1984,KEN,1,"Stade de France, Paris-St-Denis (FRA)",31 AUG 2003,1236,5000-metres,middlelong,male,u20
7,12:53.04,,Selemon BAREGA,20 JAN 2000,ETH,2,"Stadio Olimpico, Roma (ITA)",06 JUN 2019,1235,5000-metres,middlelong,male,u20
8,12:53.29,,Isiah Kiplangat KOECH,19 DEC 1993,KEN,1,Düsseldorf (GER) (i),11 FEB 2011,1289,5000-metres,middlelong,male,u20
9,12:53.66,,Augustine Kiprono CHOGE,21 JAN 1987,KEN,4,"Stadio Olimpico, Roma (ITA)",08 JUL 2005,1233,5000-metres,middlelong,male,u20
10,12:53.72,,Philip MOSIMA,02 JAN 1977,KEN,2,Roma (ITA),05 JUN 1996,1233,5000-metres,middlelong,male,u20
11,12:53.81,,Tariku BEKELE,28 FEB 1987,ETH,4,"Stadio Olimpico, Roma (ITA)",14 JUL 2006,1232,5000-metres,middlelong,male,u20
12,12:53.98,,Yomif KEJELCHA,01 AUG 1997,ETH,1,"Boudewijnstadion, Bruxelles (BEL)",11 SEP 2015,1232,5000-metres,middlelong,male,u20
13,12:54.07,,Sammy KIPKETER,29 SEP 1981,KEN,2,"Stadio Olimpico, Roma (ITA)",30 JUN 2000,1231,5000-metres,middlelong,male,u20
14,12:54.10,,Biniam MEHARY,20 DEC 2006,ETH,6,"Drake Stadium, Los Angeles, CA (USA)",17 MAY 2024,1231,5000-metres,middlelong,male,u20
15,12:54.18,,Isiah Kiplangat KOECH,19 DEC 1993,KEN,3,"Stade Louis II, Monaco (MON)",22 JUL 2011,1231,5000-metres,middlelong,male,u20
16,12:54.19,,Abraham CHERKOS,23 SEP 1989,ETH,5,"Stadio Olimpico, Roma (ITA)",14 JUL 2006,1231,5000-metres,middlelong,male,u20
17,12:54.58,,James Kwalia C'KURUI,12 JUN 1984,KEN,5,Oslo (NOR),27 JUN 2003,1230,5000-metres,middlelong,male,u20
18,12:54.59,,Isiah Kiplangat KOECH,19 DEC 1993,KEN,2,"Stadio Olimpico, Roma (ITA)",26 MAY 2011,1230,5000-metres,middlelong,male,u20
19,12:55.03,,Sammy KIPKETER,29 SEP 1981,KEN,1,"Bislett Stadion, Oslo (NOR)",28 JUL 2000,1228,5000-metres,middlelong,male,u20
20,12:55.52,,Eliud KIPCHOGE,05 NOV 1984,KEN,4,Paris (FRA),04 JUL 2003,1226,5000-metres,middlelong,male,u20
21,12:55.58,,Selemon BAREGA,20 JAN 2000,ETH,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 2017,1226,5000-metres,middlelong,male,u20
22,12:55.69,,Tariku BEKELE,28 FEB 1987,ETH,4,"Stade de France, Paris-St-Denis (FRA)",08 JUL 2006,1225,5000-metres,middlelong,male,u20
23,12:55.73,,Hagos GEBRHIWET,11 MAY 1994,ETH,2,"Stadio Olimpico, Roma (ITA)",06 JUN 2013,1225,5000-metres,middlelong,male,u20
24,12:56.15,,Daniel KOMEN,17 MAY 1976,KEN,2,"Stadio Olimpico, Roma (ITA)",08 JUN 1995,1224,5000-metres,middlelong,male,u20
25,12:56.37,,Biniam MEHARY,20 DEC 2006,ETH,2,"Suzhou Olympic Sports Centre, Suzhou (CHN)",27 APR 2024,1223,5000-metres,middlelong,male,u20
26,12:56.41,,Augustine Kiprono CHOGE,21 JAN 1987,KEN,1,Melbourne (AUS),20 MAR 2006,1223,5000-metres,middlelong,male,u20
27,12:57.01,,Augustine Kiprono CHOGE,21 JAN 1987,KEN,1,"Olympiastadion, Berlin (GER)",12 SEP 2004,1221,5000-metres,middlelong,male,u20
28,12:57.05,,Mulugeta WENDIMU,07 JAN 1985,ETH,2,"Olympiastadion, Berlin (GER)",12 SEP 2004,1220,5000-metres,middlelong,male,u20
29,12:57.43,,Josphat Kipkoech BETT,12 JUN 1990,KEN,5,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2009,1219,5000-metres,middlelong,male,u20
30,12:57.56,,Abraham CHERKOS,23 SEP 1989,ETH,4,"Olympiastadion, Berlin (GER)",01 JUN 2008,1219,5000-metres,middlelong,male,u20
31,12:57.63,,Isiah Kiplangat KOECH,19 DEC 1993,KEN,2,"Hayward Field, Eugene, OR (USA)",02 JUN 2012,1218,5000-metres,middlelong,male,u20
32,12:58.03,,Joseph EBUYA,20 JUN 1987,KEN,6,"Stade de France, Paris-St-Denis (FRA)",08 JUL 2006,1217,5000-metres,middlelong,male,u20
33,12:58.08,,Gebregziabher GEBREMARIAM,12 OCT 1984,ETH,6,"Stade de France, Paris-St-Denis (FRA)",31 AUG 2003,1217,5000-metres,middlelong,male,u20
34,12:58.10,,Sammy KIPKETER,29 SEP 1981,KEN,2,Oslo (NOR),30 JUN 1999,1217,5000-metres,middlelong,male,u20
35,12:58.15,,Richard LIMO,18 NOV 1980,KEN,6,"Stadio Olimpico, Roma (ITA)",07 JUL 1999,1216,5000-metres,middlelong,male,u20
36,12:58.39,,Yomif KEJELCHA,01 AUG 1997,ETH,1,"Stadio Olimpico, Roma (ITA)",04 JUN 2015,1216,5000-metres,middlelong,male,u20
37,12:58.63,,Sammy KIPKETER,29 SEP 1981,KEN,3,Zürich (SUI),11 AUG 2000,1215,5000-metres,middlelong,male,u20
38,12:58.70,,Lucas Kimeli ROTICH,16 APR 1990,KEN,4,"Stadio Olimpico, Roma (ITA)",10 JUL 2009,1214,5000-metres,middlelong,male,u20
39,12:58.98,,Isiah Kiplangat KOECH,19 DEC 1993,KEN,1,"Letzigrund, Zürich (SUI)",30 AUG 2012,1213,5000-metres,middlelong,male,u20
40,12:58.99,,Hagos GEBRHIWET,11 MAY 1994,ETH,2,"Bislett Stadion, Oslo (NOR)",07 JUN 2012,1213,5000-metres,middlelong,male,u20
40,12:58.99,,Addisu YIHUNE,17 MAR 2003,ETH,4,"FBK Stadium, Hengelo (NED)",08 JUN 2021,1213,5000-metres,middlelong,male,u20
42,12:59.03,,Tariku BEKELE,28 FEB 1987,ETH,4,"Stade de France, Paris-St-Denis (FRA)",01 JUL 2005,1213,5000-metres,middlelong,male,u20
43,12:59.33,,Hagos GEBRHIWET,11 MAY 1994,ETH,3,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2013,1212,5000-metres,middlelong,male,u20
44,12:59.39,,Million WOLDE,17 MAR 1979,ETH,5,Zürich (SUI),12 AUG 1998,1212,5000-metres,middlelong,male,u20
45,12:59.53,,Abraham CHERKOS,23 SEP 1989,ETH,5,Oslo (NOR),02 JUN 2006,1211,5000-metres,middlelong,male,u20
46,12:59.66,,Selemon BAREGA,20 JAN 2000,ETH,5,"Letzigrund, Zürich (SUI)",29 AUG 2019,1211,5000-metres,middlelong,male,u20
47,12:59.70,,Augustine Kiprono CHOGE,21 JAN 1987,KEN,10,"Stadio Olimpico, Roma (ITA)",14 JUL 2006,1211,5000-metres,middlelong,male,u20
47,12:59.70,,Selemon BAREGA,20 JAN 2000,ETH,2,"Khalifa International Stadium, Doha (QAT)",30 SEP 2019,1211,5000-metres,middlelong,male,u20
49,12:59.75,,Richard LIMO,18 NOV 1980,KEN,2,"Olympiastadion, Berlin (GER)",07 SEP 1999,1211,5000-metres,middlelong,male,u20
50,12:59.82,,Brian Muange MUSAU,29 DEC 2006,KEN,1,"Jack Kemp Stadium - Occidental College, Los Angeles, CA (USA)",12 JUL 2025,1210,5000-metres,middlelong,male,u20
51,12:59.90,,Sammy KIPKETER,29 SEP 1981,KEN,3,"Olympiastadion, Berlin (GER)",07 SEP 1999,1210,5000-metres,middlelong,male,u20
51,12:59.90,,Ahmad Hassan ABDULLAH,04 APR 1981,KEN,8,"Bislett Stadion, Oslo (NOR)",28 JUL 2000,1210,5000-metres,middlelong,male,u20
53,12:59.95,,Biniam MEHARY,20 DEC 2006,ETH,5,"National Stadium, Tokyo (JPN)",21 SEP 2025,1210,5000-metres,middlelong,male,u20
54,13:00.19,,Tariku BEKELE,28 FEB 1987,ETH,6,Oslo (NOR),02 JUN 2006,1209,5000-metres,middlelong,male,u20
55,13:00.63,,Eliud KIPCHOGE,05 NOV 1984,KEN,1,Stockholm (SWE),05 AUG 2003,1207,5000-metres,middlelong,male,u20
56,13:00.74,,Augustine Kiprono CHOGE,21 JAN 1987,KEN,3,"Crystal Palace, London (GBR)",28 JUL 2006,1207,5000-metres,middlelong,male,u20
57,13:01.28,,Mulugeta WENDIMU,07 JAN 1985,ETH,2,"FBK Stadium, Hengelo (NED)",31 MAY 2004,1205,5000-metres,middlelong,male,u20
58,13:01.32,,Levy KIBET,15 OCT 2003,KEN,9,"Stadio Olimpico, Roma (ITA)",09 JUN 2022,1205,5000-metres,middlelong,male,u20
59,13:01.44,,Ali ABDOSH,25 AUG 1987,ETH,7,Oslo (NOR),02 JUN 2006,1204,5000-metres,middlelong,male,u20
60,13:01.48,,Michael Kiplangat TEMOI,26 MAR 2005,KEN,4f2,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2023,1204,5000-metres,middlelong,male,u20
61,13:01.62,,Augustine Kiprono CHOGE,21 JAN 1987,KEN,4,"Olympiastadion, Berlin (GER)",04 SEP 2005,1204,5000-metres,middlelong,male,u20
62,13:01.85,,Saymon AMANUEL,27 MAY 2007,ERI,1,"Parc des Sports C. Ehrmann, Nice (FRA)",31 MAY 2025,1203,5000-metres,middlelong,male,u20
63,13:01.93,,Sammy KIPKETER,29 SEP 1981,KEN,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2000,1203,5000-metres,middlelong,male,u20
64,13:01.99,,Selemon BAREGA,20 JAN 2000,ETH,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2019,1202,5000-metres,middlelong,male,u20
65,13:02.03,,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,2,"Olympic Stadium, London (GBR)",20 JUL 2019,1202,5000-metres,middlelong,male,u20
66,13:02.10,,Addisu YIHUNE,17 MAR 2003,ETH,1,"Stadio Zecchini, Grosseto (ITA)",22 MAY 2022,1202,5000-metres,middlelong,male,u20
67,13:02.36,,Isiah Kiplangat KOECH,19 DEC 1993,KEN,2,Düsseldorf (GER) (i),10 FEB 2012,1254,5000-metres,middlelong,male,u20
68,13:02.42,,Mulugeta WENDIMU,07 JAN 1985,ETH,3,Bergen (NOR),11 JUN 2004,1201,5000-metres,middlelong,male,u20
69,13:02.44,,Lucas Kimeli ROTICH,16 APR 1990,KEN,8,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2009,1201,5000-metres,middlelong,male,u20
70,13:02.49,,Abadi HADIS,06 NOV 1997,ETH,4,"Shanghai Stadium, Shanghai (CHN)",14 MAY 2016,1200,5000-metres,middlelong,male,u20
71,13:02.5h,,Sammy KIPKETER,29 SEP 1981,KEN,3,Milano (ITA),07 JUN 2000,1200,5000-metres,middlelong,male,u20
72,13:02.67,,Selemon BAREGA,20 JAN 2000,ETH,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2018,1200,5000-metres,middlelong,male,u20
73,13:02.75,,Ismael KIRUI,20 FEB 1975,KEN,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",16 AUG 1993,1200,5000-metres,middlelong,male,u20
74,13:02.78,,Mulugeta WENDIMU,07 JAN 1985,ETH,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 2004,1199,5000-metres,middlelong,male,u20
75,13:02.93,,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,5,"Khalifa International Stadium, Doha (QAT)",30 SEP 2019,1199,5000-metres,middlelong,male,u20
76,13:02.97,,Joseph EBUYA,20 JUN 1987,KEN,8,Oslo (NOR),02 JUN 2006,1199,5000-metres,middlelong,male,u20
77,13:03.04,,Levi Omari MATEBO,03 NOV 1989,KEN,2f1,Heusden-Zolder (BEL),20 JUL 2008,1198,5000-metres,middlelong,male,u20
78,13:03.08,,Jacob KROP,04 JUN 2001,KEN,6,"Khalifa International Stadium, Doha (QAT)",30 SEP 2019,1198,5000-metres,middlelong,male,u20
79,13:03.09,,Levy KIBET,15 OCT 2003,KEN,1,"Estadio Iberoamericano, Huelva (ESP)",25 MAY 2022,1198,5000-metres,middlelong,male,u20
80,13:03.17,,Denis KIPKOECH,05 JUN 2006,KEN,1,"Sports Park Mladost, Zagreb (CRO)",24 MAY 2025,1198,5000-metres,middlelong,male,u20
81,13:03.19,,Gebregziabher GEBREMARIAM,12 OCT 1984,ETH,6,Paris (FRA),04 JUL 2003,1198,5000-metres,middlelong,male,u20
81,13:03.19,,Edward Zakayo PINGUA,25 NOV 2001,KEN,7,"Stadio Olimpico, Roma (ITA)",06 JUN 2019,1198,5000-metres,middlelong,male,u20
81,13:03.19,,Mezgebu SIME,07 OCT 2005,ETH,1f1,"Stade Du Moulin Boisseau, Carquefou (FRA)",17 MAY 2024,1198,5000-metres,middlelong,male,u20
84,13:03.29,,Yomif KEJELCHA,01 AUG 1997,ETH,5,"Shanghai Stadium, Shanghai (CHN)",14 MAY 2016,1198,5000-metres,middlelong,male,u20
85,13:03.30,,Yigrem DEMELASH,26 JAN 1994,ETH,8,"Bislett Stadion, Oslo (NOR)",07 JUN 2012,1198,5000-metres,middlelong,male,u20
85,13:03.30,,Andrew Kiptoo ALAMISI,28 AUG 2007,KEN,2,"Sports Park Mladost, Zagreb (CRO)",24 MAY 2025,1198,5000-metres,middlelong,male,u20
87,13:03.37,,Kuma GIRMA,24 NOV 2005,ETH,7,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2023,1197,5000-metres,middlelong,male,u20
88,13:03.45,,Kuma GIRMA,24 NOV 2005,ETH,4,"Suzhou Olympic Sports Centre, Suzhou (CHN)",27 APR 2024,1197,5000-metres,middlelong,male,u20
89,13:03.57,,Biniam MEHARY,20 DEC 2006,ETH,3,"Sports Park Mladost, Zagreb (CRO)",24 MAY 2025,1197,5000-metres,middlelong,male,u20
90,13:03.66,,Yomif KEJELCHA,01 AUG 1997,ETH,2,"Olympiastadion, Stockholm (SWE)",16 JUN 2016,1196,5000-metres,middlelong,male,u20
91,13:03.69,,Muktar EDRIS,14 JAN 1994,ETH,1,"Mestský Stadion, Ostrava (CZE)",27 JUN 2013,1196,5000-metres,middlelong,male,u20
92,13:03.70,,Albert ROP,17 JUL 1992,KEN,6,"Boudewijnstadion, Bruxelles (BEL)",16 SEP 2011,1196,5000-metres,middlelong,male,u20
93,13:03.72,,Mulugeta WENDIMU,07 JAN 1985,ETH,9,"Stadio Olimpico, Roma (ITA)",02 JUL 2004,1196,5000-metres,middlelong,male,u20
94,13:03.79,,James Kwalia C'KURUI,12 JUN 1984,KEN,5,Zürich (SUI),15 AUG 2003,1196,5000-metres,middlelong,male,u20
94,13:03.79,,Joseph EBUYA,20 JUN 1987,KEN,4,Heusden-Zolder (BEL),23 JUL 2005,1196,5000-metres,middlelong,male,u20
96,13:03.84,,Martin Irungu MATHATHI,25 DEC 1985,KEN,1,Niigata (JPN),26 SEP 2004,1196,5000-metres,middlelong,male,u20
97,13:04.05,,Selemon BAREGA,20 JAN 2000,ETH,1,"Olympiastadion, Stockholm (SWE)",10 JUN 2018,1195,5000-metres,middlelong,male,u20
98,13:04.12,,Leonard Patrick KOMON,10 JAN 1988,KEN,4,"Boudewijnstadion, Bruxelles (BEL)",25 AUG 2006,1195,5000-metres,middlelong,male,u20
99,13:04.14,,Yigrem DEMELASH,26 JAN 1994,ETH,7,"Letzigrund, Zürich (SUI)",30 AUG 2012,1194,5000-metres,middlelong,male,u20
100,13:04.18,,Yitayal Atnafu ZERIHUN,20 JAN 1993,ETH,4,Düsseldorf (GER) (i),10 FEB 2012,1247,5000-metres,middlelong,male,u20
