rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,3:47.48,,Cameron MYERS,09 JUN 2006,AUS,3,"Armory Track&Field Center, New York, NY (USA) (i)",08 FEB 2025,1297,one-mile,middlelong,male,u20
2,3:47.50,,Cameron MYERS,09 JUN 2006,AUS,6,"Hayward Field, Eugene, OR (USA)",05 JUL 2025,1233,one-mile,middlelong,male,u20
3,3:48.06,,Reynold CHERUIYOT,30 JUL 2004,KEN,5,"Hayward Field, Eugene, OR (USA)",16 SEP 2023,1226,one-mile,middlelong,male,u20
4,3:48.87,,Cameron MYERS,09 JUN 2006,AUS,2,"Bislett Stadion, Oslo (NOR)",12 JUN 2025,1216,one-mile,middlelong,male,u20
5,3:48.93,,Niels LAROS,17 APR 2005,NED,9,"Hayward Field, Eugene, OR (USA)",16 SEP 2023,1215,one-mile,middlelong,male,u20
6,3:49.29,,Ilham Tanui ÖZBILEN,05 MAR 1990,KEN,2,"Bislett Stadion, Oslo (NOR)",03 JUL 2009,1210,one-mile,middlelong,male,u20
7,3:49.45,,Niels LAROS,17 APR 2005,NED,4,"Olympic Stadium, London (GBR)",20 JUL 2024,1208,one-mile,middlelong,male,u20
8,3:49.77,,Caleb Mwangangi NDIKU,09 OCT 1992,KEN,5,"Hayward Field, Eugene, OR (USA)",04 JUN 2011,1204,one-mile,middlelong,male,u20
9,3:50.15,,Cameron MYERS,09 JUN 2006,AUS,11,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1199,one-mile,middlelong,male,u20
10,3:50.16,,Cameron MYERS,09 JUN 2006,AUS,6,"Olympic Stadium, London (GBR)",20 JUL 2024,1199,one-mile,middlelong,male,u20
11,3:50.25,,Alex KIPCHIRCHIR,26 NOV 1984,KEN,2,Rieti (ITA),07 SEP 2003,1198,one-mile,middlelong,male,u20
12,3:50.39,,James Kwalia C'KURUI,12 JUN 1984,KEN,1,"FBK Stadium, Hengelo (NED)",01 JUN 2003,1196,one-mile,middlelong,male,u20
13,3:50.41,,Noah NGENY,02 NOV 1978,KEN,2,Nice (FRA),16 JUL 1997,1195,one-mile,middlelong,male,u20
14,3:50.69,,Cornelius CHIRCHIR,05 JUN 1983,KEN,5,"Stadio Olimpico, Roma (ITA)",12 JUL 2002,1192,one-mile,middlelong,male,u20
15,3:50.83,,Nicholas Kiptanui KEMBOI,18 DEC 1989,KEN,6,"Bislett Stadion, Oslo (NOR)",06 JUN 2008,1190,one-mile,middlelong,male,u20
16,3:50.90,,Hamza DRIOUCH,16 NOV 1994,QAT,8,"Bislett Stadion, Oslo (NOR)",07 JUN 2012,1189,one-mile,middlelong,male,u20
17,3:51.26,,Samuel TEFERA,23 OCT 1999,ETH,2f1,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1184,one-mile,middlelong,male,u20
18,3:51.3h,,Jim RYUN,29 APR 1947,USA,1,"Berkeley, CA (USA)",17 JUL 1966,1184,one-mile,middlelong,male,u20
18,3:51.30,,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,4,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1184,one-mile,middlelong,male,u20
20,3:51.68,,Cornelius CHIRCHIR,05 JUN 1983,KEN,2,London (GBR),23 AUG 2002,1179,one-mile,middlelong,male,u20
21,3:52.28,,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,4f1,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1171,one-mile,middlelong,male,u20
22,3:52.35,,Belal Mansoor ALI,17 OCT 1988,BRN,5,Oslo (NOR),15 JUN 2007,1170,one-mile,middlelong,male,u20
23,3:52.44,,Cameron MYERS,09 JUN 2006,AUS,3,"Lakeside Stadium, Melbourne (AUS)",15 FEB 2024,1169,one-mile,middlelong,male,u20
24,3:53.04,,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,6,"Bislett Stadion, Oslo (NOR)",13 JUN 2019,1162,one-mile,middlelong,male,u20
25,3:53.12,,Cameron MYERS,09 JUN 2006,AUS,1,"Armory Track&Field Center, New York, NY (USA) (i)",25 JAN 2025,1220,one-mile,middlelong,male,u20
26,3:53.15,,Graham WILLIAMSON,15 JUN 1960,GBR,7,Oslo (NOR),17 JUL 1979,1160,one-mile,middlelong,male,u20
27,3:53.29,,Hillary CHENONGE,30 MAY 1985,KEN,5,"FBK Stadium, Hengelo (NED)",01 JUN 2003,1158,one-mile,middlelong,male,u20
28,3:53.43,,Alan WEBB,13 JAN 1983,USA,5,"Eugene, OR (USA)",27 MAY 2001,1157,one-mile,middlelong,male,u20
29,3:53.7h,,Jim RYUN,29 APR 1947,USA,1,"Los Angeles, CA (USA)",04 JUN 1966,1153,one-mile,middlelong,male,u20
30,3:53.73,,Alex KIPCHIRCHIR,26 NOV 1984,KEN,3,"Eugene, OR (USA)",24 MAY 2003,1153,one-mile,middlelong,male,u20
31,3:53.92,,Charles Kipkoech CHERUIYOT,02 DEC 1964,KEN,8,Berlin (GER),17 AUG 1983,1150,one-mile,middlelong,male,u20
32,3:54.17,,Cornelius CHIRCHIR,05 JUN 1983,KEN,8,Oslo (NOR),28 JUN 2002,1147,one-mile,middlelong,male,u20
33,3:54.56,,Isaac Kiprono SONGOK,25 APR 1984,KEN,1,Linz (AUT),20 AUG 2001,1142,one-mile,middlelong,male,u20
34,3:54.60,,Michael TOO,03 AUG 1983,KEN,9,Oslo (NOR),28 JUN 2002,1142,one-mile,middlelong,male,u20
35,3:54.72,,Daniel Lemashon SALEL,11 DEC 1990,KEN,6,Ostrava (CZE),17 JUN 2009,1140,one-mile,middlelong,male,u20
36,3:54.78,,Brian Muange MUSAU,29 DEC 2006,KEN,4f7,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",01 FEB 2025,1198,one-mile,middlelong,male,u20
37,3:55.02,,German FERNANDEZ,02 NOV 1990,USA,1f1,"College Station, TX (USA) (i)",28 FEB 2009,1195,one-mile,middlelong,male,u20
38,3:55.44,,Cameron MYERS,09 JUN 2006,AUS,3,"Lakeside Stadium, Melbourne (AUS)",23 FEB 2023,1131,one-mile,middlelong,male,u20
39,3:55.50,,Mohamad ALGARNI,02 JUL 1992,QAT,9,"Bislett Stadion, Oslo (NOR)",04 JUN 2010,1130,one-mile,middlelong,male,u20
40,3:55.52,,Brian Muange MUSAU,29 DEC 2006,KEN,1f3,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",27 JAN 2024,1188,one-mile,middlelong,male,u20
41,3:55.65,,Ari PAUNONEN,10 MAR 1958,FIN,3,London (GBR),26 JUN 1977,1129,one-mile,middlelong,male,u20
42,3:55.73,,Nicholas GRIGGS,18 DEC 2004,IRL,3,"Morton Stadium, Santry, Dublin (IRL)",14 JUL 2023,1128,one-mile,middlelong,male,u20
43,3:55.8h,,Jim RYUN,29 APR 1947,USA,1,"Lawrence, KS (USA)",23 APR 1966,1127,one-mile,middlelong,male,u20
44,3:55.82,,Graham WILLIAMSON,15 JUN 1960,GBR,2,London (GBR),15 SEP 1978,1126,one-mile,middlelong,male,u20
45,3:55.90,,Reyes ESTÉVEZ,02 AUG 1976,ESP,4,London (GBR),27 AUG 1995,1125,one-mile,middlelong,male,u20
46,3:55.96,,Yohanes ASMARE,29 MAR 2006,ETH,7f1,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1182,one-mile,middlelong,male,u20
