rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,7:54.10,,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,"Stade Charléty, Paris (FRA)",09 JUN 2023,1304,two-miles,middlelong,male,senior
2,7:58.61,,Daniel KOMEN,17 MAY 1976,KEN,1,Hechtel (BEL),19 JUL 1997,1276,two-miles,middlelong,male,senior
3,7:58.91,,Daniel KOMEN,17 MAY 1976,KEN,1,Sydney (AUS),28 FEB 1998,1275,two-miles,middlelong,male,senior
4,8:00.67,,Josh KERR,08 OCT 1997,GBR,1,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2024,1310,two-miles,middlelong,male,senior
5,8:01.08,,Haile GEBRSELASSIE,18 APR 1973,ETH,1,"FBK Stadium, Hengelo (NED)",31 MAY 1997,1262,two-miles,middlelong,male,senior
6,8:01.72,,Haile GEBRSELASSIE,18 APR 1973,ETH,1,"Crystal Palace, London (GBR)",07 AUG 1999,1258,two-miles,middlelong,male,senior
7,8:01.86,,Haile GEBRSELASSIE,18 APR 1973,ETH,1,"FBK Stadium, Hengelo (NED)",30 MAY 1999,1257,two-miles,middlelong,male,senior
8,8:03.40,,Mo FARAH,23 MAR 1983,GBR,1,"Barclaycard Arena, Birmingham (GBR) (i)",21 FEB 2015,1293,two-miles,middlelong,male,senior
9,8:03.50,,Craig MOTTRAM,18 JUN 1980,AUS,1,"Eugene, OR (USA)",10 JUN 2007,1247,two-miles,middlelong,male,senior
10,8:03.54,,Daniel KOMEN,17 MAY 1976,KEN,1,Lappeenranta (FIN),14 JUL 1996,1247,two-miles,middlelong,male,senior
11,8:03.62,,Grant FISHER,22 APR 1997,USA,2,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2024,1292,two-miles,middlelong,male,senior
12,8:04.35,,Kenenisa BEKELE,13 JUN 1982,ETH,1,"National Indoor Arena, Birmingham (GBR) (i)",16 FEB 2008,1287,two-miles,middlelong,male,senior
13,8:04.69,,Haile GEBRSELASSIE,18 APR 1973,ETH,1,"National Indoor Arena, Birmingham (GBR) (i)",21 FEB 2003,1285,two-miles,middlelong,male,senior
14,8:04.83,,Tariku BEKELE,28 FEB 1987,ETH,2,"Eugene, OR (USA)",10 JUN 2007,1239,two-miles,middlelong,male,senior
15,8:05.12,,Kenenisa BEKELE,13 JUN 1982,ETH,1,"National Indoor Arena, Birmingham (GBR) (i)",18 FEB 2006,1283,two-miles,middlelong,male,senior
16,8:05.70,,Cole HOCKER,06 JUN 2001,USA,3,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2024,1279,two-miles,middlelong,male,senior
17,8:05.73,,Geordie BEAMISH,24 OCT 1996,NZL,4,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2024,1279,two-miles,middlelong,male,senior
18,8:06.48,,Paul Kipsiele KOECH,10 NOV 1981,KEN,2,"National Indoor Arena, Birmingham (GBR) (i)",16 FEB 2008,1274,two-miles,middlelong,male,senior
19,8:06.61,,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Liévin (FRA) (i),23 FEB 2003,1274,two-miles,middlelong,male,senior
20,8:07.07,,Matt TEGENKAMP,19 JAN 1982,USA,3,"Eugene, OR (USA)",10 JUN 2007,1226,two-miles,middlelong,male,senior
21,8:07.39,,Eliud KIPCHOGE,05 NOV 1984,KEN,1,"National Indoor Arena, Birmingham (GBR) (i)",18 FEB 2012,1269,two-miles,middlelong,male,senior
22,8:07.41,,Galen RUPP,08 MAY 1986,USA,1,"Boston, MA (USA) (i)",24 JAN 2014,1269,two-miles,middlelong,male,senior
23,8:07.46,,Haile GEBRSELASSIE,18 APR 1973,ETH,1,Kerkrade (NED),28 MAY 1995,1224,two-miles,middlelong,male,senior
