rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,39:09,,Danila MARTYNOV,01 MAY 2004,RUS,1,Voronovo (RUS),05 SEP 2021,1165,10-kilometres-race-walk,race-walks,male,u18
2,39:34,,Dmitriy GRAMACHKOV,09 MAY 2003,RUS,2,Voronovo (RUS),23 AUG 2020,1146,10-kilometres-race-walk,race-walks,male,u18
3,39:35,,Shengji SHI,19 JAN 2007,CHN,2,Taicang (CHN),03 MAR 2024,1146,10-kilometres-race-walk,race-walks,male,u18
4,39:36,,Danila MARTYNOV,01 MAY 2004,RUS,1,Cheboksary (RUS),30 MAY 2021,1145,10-kilometres-race-walk,race-walks,male,u18
5,39:42,,Yongqiang HE,27 OCT 1993,CHN,1f1,Beijing (CHN),18 SEP 2010,1141,10-kilometres-race-walk,race-walks,male,u18
6,39:47,,Yevgeniy ZHDAKAYEV,11 MAR 2004,RUS,2,Voronovo (RUS),05 SEP 2021,1137,10-kilometres-race-walk,race-walks,male,u18
7,39:56,,Qi ZHAO,14 JAN 1993,CHN,2f1,Beijing (CHN),18 SEP 2010,1131,10-kilometres-race-walk,race-walks,male,u18
7,39:56,,Isaac BEACROFT,18 JUL 2007,AUS,1f1,Antalya (TUR),21 APR 2024,1131,10-kilometres-race-walk,race-walks,male,u18
9,39:57,,Shengji SHI,19 JAN 2007,CHN,2f1,Antalya (TUR),21 APR 2024,1130,10-kilometres-race-walk,race-walks,male,u18
10,40:03,,Zhen WANG,24 AUG 1991,CHN,1,Xintai (CHN),23 OCT 2008,1126,10-kilometres-race-walk,race-walks,male,u18
11,40:12,,Ding CHEN,05 AUG 1992,CHN,2,Cheboksary (RUS),10 MAY 2008,1119,10-kilometres-race-walk,race-walks,male,u18
12,40:28,,AMIT,25 DEC 2003,IND,1,Ranchi (IND),16 FEB 2020,1108,10-kilometres-race-walk,race-walks,male,u18
13,40:30,,Ding CHEN,05 AUG 1992,CHN,1,Huhehaote (CHN),19 JUN 2009,1106,10-kilometres-race-walk,race-walks,male,u18
14,40:38,,Chao SUN,08 JAN 1987,CHN,1,Naumburg (GER),01 MAY 2004,1101,10-kilometres-race-walk,race-walks,male,u18
15,40:42,,Yifeng WANG,29 DEC 2003,CHN,13,Wuzhong (CHN),15 DEC 2020,1098,10-kilometres-race-walk,race-walks,male,u18
15,40:42,,Congshan BI,09 OCT 2007,CHN,15,Taicang (CHN),03 MAR 2024,1098,10-kilometres-race-walk,race-walks,male,u18
17,40:43,,Biao YAO,15 APR 1996,CHN,1f1,Taicang (CHN),01 MAR 2013,1097,10-kilometres-race-walk,race-walks,male,u18
18,40:46,,Zhen WANG,24 AUG 1991,CHN,1,Zhengzhou (CHN),14 MAR 2008,1095,10-kilometres-race-walk,race-walks,male,u18
18,40:46,,Bryan Alexander MATÍAS ORTÍZ,09 APR 2005,GUA,1,San Jerónimo (GUA),08 MAY 2022,1095,10-kilometres-race-walk,race-walks,male,u18
20,40:47,,Xiao LENG,26 JAN 1996,CHN,2f1,Taicang (CHN),01 MAR 2013,1094,10-kilometres-race-walk,race-walks,male,u18
21,40:48,,Yingchao GAO,18 JAN 1998,CHN,1f1,Changbaishan (CHN),05 SEP 2015,1094,10-kilometres-race-walk,race-walks,male,u18
22,40:51,,Jianxing DAI,11 AUG 1996,CHN,3f1,Taicang (CHN),01 MAR 2013,1091,10-kilometres-race-walk,race-walks,male,u18
23,40:52,,Yevgeniy ZHDAKAYEV,11 MAR 2004,RUS,2,Cheboksary (RUS),30 MAY 2021,1091,10-kilometres-race-walk,race-walks,male,u18
24,40:55,,Aleksey GRIGORYEV,19 JUN 1987,RUS,1,Ishevsk (RUS),25 SEP 2004,1089,10-kilometres-race-walk,race-walks,male,u18
24,40:55,,Botao SHI,25 NOV 1989,CHN,1,Jinzhou (CHN),30 AUG 2006,1089,10-kilometres-race-walk,race-walks,male,u18
24,40:55,,Dongliang TONG,03 APR 1997,CHN,1,Huangshan (CHN),27 FEB 2014,1089,10-kilometres-race-walk,race-walks,male,u18
27,40:56,,Ding CHEN,05 AUG 1992,CHN,1,Baoji (CHN),20 MAR 2009,1088,10-kilometres-race-walk,race-walks,male,u18
28,40:58,,Dongliang TONG,03 APR 1997,CHN,4f1,Taicang (CHN),01 MAR 2013,1087,10-kilometres-race-walk,race-walks,male,u18
28,40:58,,Ning LU,12 FEB 1999,CHN,1f2,Changbaishan (CHN),05 SEP 2015,1087,10-kilometres-race-walk,race-walks,male,u18
28,40:58,,Sergey SHIROBOKOV,11 FEB 1999,RUS,1,Sochi (RUS),28 FEB 2016,1087,10-kilometres-race-walk,race-walks,male,u18
28,40:58,,José Eduardo ORTIZ,08 MAR 2000,GUA,2,Lima (PER),13 MAY 2017,1087,10-kilometres-race-walk,race-walks,male,u18
32,40:59,,Guangjun LIU,07 SEP 1989,CHN,1,Taian (CHN),28 JUL 2006,1086,10-kilometres-race-walk,race-walks,male,u18
32,40:59,,Danila MARTYNOV,01 MAY 2004,RUS,1,Sochi (RUS),17 FEB 2020,1086,10-kilometres-race-walk,race-walks,male,u18
