rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,2:20:43,,Massimo STANO,27 FEB 1992,ITA,1,"Lázeňský Park, Poděbrady (CZE)",18 MAY 2025,1265,35-kilometres-race-walk,race-walks,male,senior
2,2:21:31,,Vladimir KANAYKIN,21 MAR 1985,RUS,1,"Adler, Sochi (RUS)",19 FEB 2006,1257,35-kilometres-race-walk,race-walks,male,senior
3,2:21:40,,Evan DUNFEE,28 SEP 1990,CAN,1,Dudince (SVK),22 MAR 2025,1255,35-kilometres-race-walk,race-walks,male,senior
4,2:21:47,,Masatora KAWANO,23 OCT 1998,JPN,1,"Takahata Race Walk Course, Takahata (JPN)",27 OCT 2024,1254,35-kilometres-race-walk,race-walks,male,senior
5,2:22:55,,Xianghong HE,01 JUL 1998,CHN,1,Huangshan (CHN),04 MAR 2023,1242,35-kilometres-race-walk,race-walks,male,senior
6,2:22:56,,Vasiliy MIZINOV,29 DEC 1997,RUS,1,"Avtodrom, Sochi (RUS)",24 FEB 2025,1242,35-kilometres-race-walk,race-walks,male,senior
7,2:23:13,,Tomohiro NODA,24 JAN 1996,JPN,1,"Wajima Race Walk Course, Wajima (JPN)",16 APR 2023,1239,35-kilometres-race-walk,race-walks,male,senior
8,2:23:14,,Massimo STANO,27 FEB 1992,ITA,1,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022,1239,35-kilometres-race-walk,race-walks,male,senior
9,2:23:15,,Masatora KAWANO,23 OCT 1998,JPN,2,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022,1238,35-kilometres-race-walk,race-walks,male,senior
10,2:23:21,,Christopher LINKE,24 OCT 1988,GER,2,"Lázeňský Park, Poděbrady (CZE)",18 MAY 2025,1237,35-kilometres-race-walk,race-walks,male,senior
11,2:23:44,,Perseus KARLSTRÖM,02 MAY 1990,SWE,3,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022,1233,35-kilometres-race-walk,race-walks,male,senior
12,2:23:48,,Miguel Ángel LÓPEZ,03 JUL 1988,ESP,3,"Lázeňský Park, Poděbrady (CZE)",18 MAY 2025,1233,35-kilometres-race-walk,race-walks,male,senior
13,2:24:19,,Sergey KOZHEVNIKOV,09 MAY 2001,RUS,1,"Avtodrom, Sochi (RUS)",13 FEB 2023,1227,35-kilometres-race-walk,race-walks,male,senior
13,2:24:19,,Massimo STANO,27 FEB 1992,ITA,1,"St Anne's Park, Dublin (IRL)",15 DEC 2024,1227,35-kilometres-race-walk,race-walks,male,senior
15,2:24:24,,Satoshi MARUO,28 NOV 1991,JPN,2,"Takahata Race Walk Course, Takahata (JPN)",27 OCT 2024,1226,35-kilometres-race-walk,race-walks,male,senior
16,2:24:25,,Sergey BAKULIN,13 NOV 1986,RUS,1,"Adler, Sochi (RUS)",01 MAR 2009,1226,35-kilometres-race-walk,race-walks,male,senior
17,2:24:30,,Álvaro MARTÍN,18 JUN 1994,ESP,1,"Hősök tere, Budapest (HUN)",24 AUG 2023,1225,35-kilometres-race-walk,race-walks,male,senior
18,2:24:34,,Brian Daniel PINTADO,29 JUL 1995,ECU,2,"Hősök tere, Budapest (HUN)",24 AUG 2023,1225,35-kilometres-race-walk,race-walks,male,senior
19,2:24:37,,Brian Daniel PINTADO,29 JUL 1995,ECU,4,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022,1224,35-kilometres-race-walk,race-walks,male,senior
20,2:24:38,,Hayato KATSUKI,28 NOV 1990,JPN,1,Nomi (JPN),16 MAR 2025,1224,35-kilometres-race-walk,race-walks,male,senior
21,2:24:40,,Christopher LINKE,24 OCT 1988,GER,2,Dudince (SVK),22 MAR 2025,1224,35-kilometres-race-walk,race-walks,male,senior
22,2:24:41,,José Luis DOCTOR,14 JUN 1996,MEX,3,Dudince (SVK),22 MAR 2025,1223,35-kilometres-race-walk,race-walks,male,senior
