rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,17:55.65,,Francesco FORTUNATO,13 DEC 1994,ITA,1,"Palaindoor Ancona, Ancona (ITA) (i)",22 FEB 2025,1232,5000-metres-race-walk,race-walks,male,senior
2,18:02.38,,Gabriel BORDIER,08 OCT 1997,FRA,1,"Stade Jean Delbert, Montreuil (FRA)",10 JUN 2025,1221,5000-metres-race-walk,race-walks,male,senior
3,18:03.83,,Sergey SHIROBOKOV,11 FEB 1999,RUS,1,"Athletics Arena, Yaroslavl (RUS) (i)",10 MAR 2022,1219,5000-metres-race-walk,race-walks,male,senior
4,18:04.76,,Vasiliy MIZINOV,29 DEC 1997,ANA,2,"Athletics Arena, Yaroslavl (RUS) (i)",10 MAR 2022,1218,5000-metres-race-walk,race-walks,male,senior
5,18:05.49,,Hatem GHOULA,07 JUN 1973,TUN,1,Tunis (TUN),01 MAY 1997,1217,5000-metres-race-walk,race-walks,male,senior
6,18:07.08,,Mikhail SHCHENNIKOV,24 DEC 1967,RUS,1,Moskva (RUS) (i),14 FEB 1995,1214,5000-metres-race-walk,race-walks,male,senior
7,18:08.86,,Ivano BRUGNETTI,01 SEP 1976,ITA,1,Ancona (ITA) (i),17 FEB 2007,1212,5000-metres-race-walk,race-walks,male,senior
8,18:11.41,,Ronald WEIGEL,08 AUG 1959,GDR,1,Wien (AUT) (i),13 FEB 1988,1208,5000-metres-race-walk,race-walks,male,senior
9,18:12.52,,Declan TINGAY,06 FEB 1999,AUS,1,"Lakeside Stadium, Melbourne (AUS)",05 MAR 2023,1206,5000-metres-race-walk,race-walks,male,senior
10,18:15.25,,Grigoriy KORNEV,14 MAR 1961,RUS,1,Moskva (RUS) (i),07 FEB 1992,1202,5000-metres-race-walk,race-walks,male,senior
11,18:15.54,,Andrey RUZAVIN,28 MAR 1986,RUS,1,Samara (RUS) (i),30 JAN 2014,1202,5000-metres-race-walk,race-walks,male,senior
12,18:15.91,,Mikhail SHCHENNIKOV,24 DEC 1967,URS,1,Gomel (BLR) (i),04 FEB 1989,1201,5000-metres-race-walk,race-walks,male,senior
13,18:16.76,,Yohann DINIZ,01 JAN 1978,FRA,1,Reims (FRA) (i),07 DEC 2014,1200,5000-metres-race-walk,race-walks,male,senior
14,18:16.97,,Ryo HAMANISHI,24 APR 2000,JPN,1,"Prefectural Stadium, Kumagaya (JPN)",18 MAY 2024,1200,5000-metres-race-walk,race-walks,male,senior
15,18:17.22,,Robert KORZENIOWSKI,30 JUL 1968,POL,1,Reims (FRA),03 JUL 1992,1199,5000-metres-race-walk,race-walks,male,senior
16,18:18.01,,Yohann DINIZ,01 JAN 1978,FRA,1,Villeneuve d'Ascq (FRA),27 JUN 2008,1198,5000-metres-race-walk,race-walks,male,senior
17,18:19.65,,Gabriel BORDIER,08 OCT 1997,FRA,1,"Halle Stéphane Diagana, Lyon (FRA) (i)",08 FEB 2025,1196,5000-metres-race-walk,race-walks,male,senior
18,18:19.97,,Giovanni DE BENEDICTIS,08 JAN 1968,ITA,1,"Palazzo dello Sport, Genova (ITA) (i)",28 FEB 1992,1195,5000-metres-race-walk,race-walks,male,senior
19,18:20.14,,Koki IKEDA,03 MAY 1998,JPN,1,"Juntendo University Stadium, Inzai (JPN)",25 OCT 2020,1195,5000-metres-race-walk,race-walks,male,senior
20,18:20.97,,Tom BOSWORTH,17 JAN 1990,GBR,1,"Emirates Arena, Glasgow (GBR) (i)",23 FEB 2020,1194,5000-metres-race-walk,race-walks,male,senior
21,18:21.76,,Ruslan DMYTRENKO,22 MAR 1986,UKR,2,Samara (RUS) (i),30 JAN 2014,1192,5000-metres-race-walk,race-walks,male,senior
22,18:22.02,,Paul MCGRATH,07 MAR 2002,ESP,1,"Estadi Joan Serrahima, Barcelona (ESP)",25 MAY 2024,1192,5000-metres-race-walk,race-walks,male,senior
23,18:22.25,,Andreas ERM,12 MAR 1976,GER,1,Dortmund (GER) (i),25 FEB 2001,1192,5000-metres-race-walk,race-walks,male,senior
24,18:22.41,,Yohann DINIZ,01 JAN 1978,FRA,1,Tourcoing (FRA),10 MAY 2015,1191,5000-metres-race-walk,race-walks,male,senior
25,18:23.10,,Grigoriy KORNEV,14 MAR 1961,RUS,1,Moskva (RUS) (i),02 FEB 1992,1190,5000-metres-race-walk,race-walks,male,senior
26,18:23.38,,Rishat SHAFIKOV,23 JAN 1970,RUS,1,Samara (RUS) (i),01 MAR 1997,1190,5000-metres-race-walk,race-walks,male,senior
27,18:23.47,,Ivano BRUGNETTI,01 SEP 1976,ITA,1,Torino (ITA) (i),21 FEB 2009,1190,5000-metres-race-walk,race-walks,male,senior
28,18:23.55,,Mikhail SHCHENNIKOV,24 DEC 1967,URS,1,"Palacio de los Deportes, Sevilla (ESP) (i)",10 MAR 1991,1190,5000-metres-race-walk,race-walks,male,senior
29,18:23.60,,Giovanni DE BENEDICTIS,08 JAN 1968,ITA,2,"Palacio de los Deportes, Sevilla (ESP) (i)",10 MAR 1991,1190,5000-metres-race-walk,race-walks,male,senior
30,18:23.88,,Frants KOSTYUKEVICH,04 APR 1963,URS,1,Volgograd (URS) (i),09 FEB 1991,1189,5000-metres-race-walk,race-walks,male,senior
31,18:24.13,,Francisco Javier FERNÁNDEZ,06 MAR 1977,ESP,,Belfast (GBR) (i),17 FEB 2007,1189,5000-metres-race-walk,race-walks,male,senior
31,18:24.13,,Francisco Javier FERNÁNDEZ,06 MAR 1977,ESP,1,Belfast (GBR) (i),06 MAR 2007,1189,5000-metres-race-walk,race-walks,male,senior
33,18:24.50,,Declan TINGAY,06 FEB 1999,AUS,1,"Lakeside Stadium, Melbourne (AUS)",26 FEB 2022,1188,5000-metres-race-walk,race-walks,male,senior
34,18:25.15,,Francesco FORTUNATO,13 DEC 1994,ITA,1,"Palaindoor Ancona, Ancona (ITA) (i)",17 FEB 2024,1187,5000-metres-race-walk,race-walks,male,senior
35,18:25.40,,Frants KOSTYUKEVICH,04 APR 1963,EUN,2,"Palazzo dello Sport, Genova (ITA) (i)",28 FEB 1992,1187,5000-metres-race-walk,race-walks,male,senior
36,18:25.52,,Gabriel BORDIER,08 OCT 1997,FRA,1,"Stadium Pierre-Quinon, Nantes (FRA) (i)",20 JAN 2024,1187,5000-metres-race-walk,race-walks,male,senior
37,18:26.51,,Andrey RUZAVIN,28 MAR 1986,RUS,1,Novocheboksarsk (RUS) (i),11 JAN 2014,1185,5000-metres-race-walk,race-walks,male,senior
38,18:26.70,,Yuta KOGA,15 JUL 1999,JPN,2,"Juntendo University Stadium, Inzai (JPN)",25 OCT 2020,1185,5000-metres-race-walk,race-walks,male,senior
39,18:27.10,,Mikhail SHCHENNIKOV,24 DEC 1967,URS,1,"Budapest Sportcsarnok, Budapest (HUN) (i)",05 MAR 1989,1184,5000-metres-race-walk,race-walks,male,senior
40,18:27.15,,Alessandro GANDELLINI,30 APR 1973,ITA,1,Genova (ITA) (i),12 FEB 2000,1184,5000-metres-race-walk,race-walks,male,senior
41,18:27.34,,Francisco Javier FERNÁNDEZ,06 MAR 1977,ESP,1,Villeneuve d'Ascq (FRA),08 JUN 2007,1184,5000-metres-race-walk,race-walks,male,senior
42,18:27.79,,Mikhail SHCHENNIKOV,24 DEC 1967,URS,1,"Hoosier Dome, Indianapolis, IN (USA) (i)",07 MAR 1987,1183,5000-metres-race-walk,race-walks,male,senior
43,18:27.80,,Jozef PRIBILINEC,06 JUL 1960,TCH,2,"Hoosier Dome, Indianapolis, IN (USA) (i)",07 MAR 1987,1183,5000-metres-race-walk,race-walks,male,senior
44,18:27.95,,Stefan JOHANSSON,11 APR 1967,SWE,3,"Palazzo dello Sport, Genova (ITA) (i)",28 FEB 1992,1183,5000-metres-race-walk,race-walks,male,senior
45,18:28.26,,Masatora KAWANO,23 OCT 1998,JPN,3,"Juntendo University Stadium, Inzai (JPN)",25 OCT 2020,1183,5000-metres-race-walk,race-walks,male,senior
46,18:28.3h,,Vasiliy MIZINOV,29 DEC 1997,ANA,1,"Ural GUFK, Chelyabinsk (RUS) (i)",28 DEC 2021,1183,5000-metres-race-walk,race-walks,male,senior
47,18:28.47,,Rhydian COWLEY,04 JAN 1991,AUS,1,"Lakeside Stadium, Melbourne (AUS)",24 FEB 2024,1182,5000-metres-race-walk,race-walks,male,senior
48,18:28.50,,Frants KOSTYUKEVICH,04 APR 1963,BLR,1,Liévin (FRA) (i),13 FEB 1993,1182,5000-metres-race-walk,race-walks,male,senior
