rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,19:00.4h,,Sergey SHIROBOKOV,11 FEB 1999,ANA,1,Saransk (RUS) (i),30 DEC 2016,1135,5000-metres-race-walk,race-walks,male,u18
2,19:23.96,,Isaac BEACROFT,18 JUL 2007,AUS,1,"SOPAC, Sydney (AUS)",14 MAR 2024,1101,5000-metres-race-walk,race-walks,male,u18
3,19:24.48,,Nitin GUPTA,01 JAN 2008,IND,1,"Patliputra Sports Complex, Patna (IND)",10 MAR 2025,1101,5000-metres-race-walk,race-walks,male,u18
4,19:30.15,,Rui ZHANG,12 JAN 1989,CHN,1,Yantai (CHN),11 OCT 2006,1092,5000-metres-race-walk,race-walks,male,u18
5,19:33.5h,,Maksim PYANZIN,22 MAY 2003,RUS,1,"Football and athletics Arena, Saransk (RUS) (i)",27 DEC 2020,1088,5000-metres-race-walk,race-walks,male,u18
6,19:35.79,,Yuki YAMAZAKI,16 JAN 1984,JPN,1,Toyama (JPN),23 SEP 2001,1084,5000-metres-race-walk,race-walks,male,u18
7,19:42.6h,,Māris PUTENIS,20 JUN 1982,LAT,2,Riga (LAT) (i),31 JAN 1999,1075,5000-metres-race-walk,race-walks,male,u18
8,19:45.91,,Chao FU,17 JAN 1991,CHN,3,Zhengzhou (CHN),28 AUG 2005,1070,5000-metres-race-walk,race-walks,male,u18
9,19:47.00,,Yevgeniy DEMKOV,03 DEC 1982,RUS,1,"Adler, Sochi (RUS)",06 FEB 1999,1069,5000-metres-race-walk,race-walks,male,u18
10,19:47.37,,Diego GARCÍA CARRERA,19 JAN 1996,ESP,3,Avilés (ESP),15 JUN 2013,1068,5000-metres-race-walk,race-walks,male,u18
11,19:48.8h,,Danila MARTYNOV,01 MAY 2004,RUS,2,"Football and athletics Arena, Saransk (RUS) (i)",27 DEC 2020,1066,5000-metres-race-walk,race-walks,male,u18
12,19:49.15,,Wenlong SHI,10 JAN 1991,CHN,1,Yantai (CHN),13 OCT 2006,1066,5000-metres-race-walk,race-walks,male,u18
13,19:49.54,,Jefferson PÉREZ,01 JUL 1974,ECU,1,Lima (PER),22 NOV 1990,1065,5000-metres-race-walk,race-walks,male,u18
14,19:50.9h,,Māris PUTENIS,20 JUN 1982,LAT,1,Riga (LAT),28 JUN 1999,1063,5000-metres-race-walk,race-walks,male,u18
15,19:51.81,,Isaac BEACROFT,18 JUL 2007,AUS,1,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",15 APR 2023,1062,5000-metres-race-walk,race-walks,male,u18
16,19:52.23,,Sen WANG,1989,CHN,2,Yantai (CHN),13 OCT 2006,1061,5000-metres-race-walk,race-walks,male,u18
17,19:53.97,,Bekhruz GULMURADOV,29 MAY 2008,RUS,1,"Regional Sport Complex, Brest (BLR)",21 JUL 2025,1059,5000-metres-race-walk,race-walks,male,u18
18,19:58.64,,Doug CONNOLLY,30 OCT 1982,AUS,1,Canberra (AUS),09 DEC 1999,1052,5000-metres-race-walk,race-walks,male,u18
19,19:59.25,,Xiaomou LI,03 FEB 1991,CHN,3,Yantai (CHN),13 OCT 2006,1051,5000-metres-race-walk,race-walks,male,u18
20,19:59.28,,Nicolo' VIDAL,03 MAY 2008,ITA,1,"Raiffeisen Arena, Bressanone, Trentino-Alto Adige (ITA)",25 MAY 2025,1051,5000-metres-race-walk,race-walks,male,u18
