rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,38.51,,South Africa U20,,RSA,1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",22 AUG 2021,1187,4x100-metres-relay,relays,male,u20
2,38.61,,Jamaica U20,,JAM,2,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",22 AUG 2021,1179,4x100-metres-relay,relays,male,u20
3,38.62,,United States U20,,USA,1,San José (CRC),20 JUL 2019,1178,4x100-metres-relay,relays,male,u20
4,38.66,,United States U20,,USA,1,"Stadio Zecchini, Grosseto (ITA)",18 JUL 2004,1175,4x100-metres-relay,relays,male,u20
5,38.67,,United States U20,,USA,1,"Estadio Olímpico, Barcelona (ESP)",14 JUL 2012,1174,4x100-metres-relay,relays,male,u20
6,38.70,,United States U20,,USA,1,"Hayward Field, Eugene, OR (USA)",26 JUL 2014,1172,4x100-metres-relay,relays,male,u20
7,38.88,,United States U20,,USA,1,"Ratinan Stadion, Tampere (FIN)",14 JUL 2018,1158,4x100-metres-relay,relays,male,u20
8,38.90,,Poland U20,,POL,3,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",22 AUG 2021,1157,4x100-metres-relay,relays,male,u20
9,38.92,,United States U20,,USA,1,"National Stadium, Kingston (JAM)",21 JUL 2002,1155,4x100-metres-relay,relays,male,u20
10,38.93,,United States U20,,USA,1,"Croix-Bleue Medavie Stadium, Moncton (CAN)",24 JUL 2010,1155,4x100-metres-relay,relays,male,u20
10,38.93,,United States U20,,USA,1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",23 JUL 2016,1155,4x100-metres-relay,relays,male,u20
10,38.93,,Poland U20,,POL,1h1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",21 AUG 2021,1155,4x100-metres-relay,relays,male,u20
13,38.96,,United States U20,,USA,1sf2,"Stadio Zecchini, Grosseto (ITA)",17 JUL 2004,1152,4x100-metres-relay,relays,male,u20
13,38.96,,Jamaica U20,,JAM,2,"Ratinan Stadion, Tampere (FIN)",14 JUL 2018,1152,4x100-metres-relay,relays,male,u20
15,38.97,,Jamaica U20,,JAM,2,"Estadio Olímpico, Barcelona (ESP)",14 JUL 2012,1152,4x100-metres-relay,relays,male,u20
16,38.98,,United States U20,,USA,1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",12 JUL 2008,1151,4x100-metres-relay,relays,male,u20
17,39.00,,United States U20,,USA,1,Air Force Academy (USA),18 JUL 1983,1149,4x100-metres-relay,relays,male,u20
17,39.00,,United States U20,,USA,1,"Pullman, WA (USA)",20 JUL 1985,1149,4x100-metres-relay,relays,male,u20
17,39.00,,Jamaica U20,,JAM,2h1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",21 AUG 2021,1149,4x100-metres-relay,relays,male,u20
