rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,1:18.63,,Jamaica,,JAM,1,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1272,4x200-metres-relay,relays,male,senior
2,1:18.68,,Santa Monica Track Club,,USA,1,"Walnut, CA (USA)",17 APR 1994,1270,4x200-metres-relay,relays,male,senior
3,1:19.10,,World All-Stars,,INT,2,"Walnut, CA (USA)",17 APR 1994,1253,4x200-metres-relay,relays,male,senior
4,1:19.11,,Santa Monica Track Club,,USA,1,"Philadelphia, PA (USA)",23 APR 1992,1253,4x200-metres-relay,relays,male,senior
5,1:19.16,,United States Red,,USA,1,"Philadelphia, PA (USA)",26 APR 2003,1251,4x200-metres-relay,relays,male,senior
6,1:19.20,,Canada,,CAN,1f1,"Gainesville, FL (USA)",02 APR 2016,1249,4x200-metres-relay,relays,male,senior
7,1:19.38,,Santa Monica Track Club,,USA,1,Koblenz (GER),23 AUG 1989,1242,4x200-metres-relay,relays,male,senior
8,1:19.39,,United States Blue,,USA,1,"Philadelphia, PA (USA)",28 APR 2001,1242,4x200-metres-relay,relays,male,senior
9,1:19.42,,Canada,,CAN,1,"T. Robinson Stadium, Nassau (BAH)",23 APR 2017,1241,4x200-metres-relay,relays,male,senior
10,1:19.45,,Santa Monica Track Club,,USA,1,"Philadelphia, PA (USA)",27 APR 1991,1240,4x200-metres-relay,relays,male,senior
11,1:19.47,,NIKE,,USA,1,"Philadelphia, PA (USA)",24 APR 1999,1239,4x200-metres-relay,relays,male,senior
12,1:19.62,,United States Red,,USA,1,"Philadelphia, PA (USA)",24 APR 2004,1233,4x200-metres-relay,relays,male,senior
13,1:19.67,,TCU,,INT,1,"Philadelphia, PA (USA)",29 APR 2000,1231,4x200-metres-relay,relays,male,senior
14,1:19.71,,TCU,,INT,1h,"Philadelphia, PA (USA)",27 APR 2001,1230,4x200-metres-relay,relays,male,senior
15,1:19.73,,United States,,USA,1h1,"International Stadium, Yokohama (JPN)",12 MAY 2019,1229,4x200-metres-relay,relays,male,senior
16,1:19.85,,NIKE,,USA,1,"Philadelphia, PA (USA)",25 APR 1998,1224,4x200-metres-relay,relays,male,senior
17,1:19.88,,Austin All-Stars,,INT,1,"Austin, TX (USA)",03 APR 1999,1223,4x200-metres-relay,relays,male,senior
17,1:19.88,,United States,,USA,2,"T. Robinson Stadium, Nassau (BAH)",23 APR 2017,1223,4x200-metres-relay,relays,male,senior
19,1:19.91,,HSI,,INT,2,"Austin, TX (USA)",03 APR 1999,1222,4x200-metres-relay,relays,male,senior
19,1:19.91,,Canada,,CAN,1f1,"Gainesville, FL (USA)",01 APR 2017,1222,4x200-metres-relay,relays,male,senior
21,1:19.92,,NIKE,,USA,1f2,"Philadelphia, PA (USA)",29 APR 2000,1222,4x200-metres-relay,relays,male,senior
