rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,1:49.23,,Jamaica U18,,JAM,1,Donetsk (UKR),14 JUL 2013,,medley-relay,relays,male,u18
2,1:49.47,,United States U18,,USA,1,Lille (FRA),10 JUL 2011,,medley-relay,relays,male,u18
3,1:50.14,,United States U18,,USA,2,Donetsk (UKR),14 JUL 2013,,medley-relay,relays,male,u18
4,1:50.33,,United States U18,,USA,1,"Bressanone, Trentino-Alto Adige (ITA)",12 JUL 2009,,medley-relay,relays,male,u18
5,1:50.46,,Poland U18,,POL,1f1,Debrecen (HUN),15 JUL 2001,,medley-relay,relays,male,u18
6,1:50.52,,Japan U18,,JPN,3,Donetsk (UKR),14 JUL 2013,,medley-relay,relays,male,u18
7,1:50.69,,Japan U18,,JPN,2,Lille (FRA),10 JUL 2011,,medley-relay,relays,male,u18
8,1:50.90,,United States U18,,USA,2f1,Debrecen (HUN),15 JUL 2001,,medley-relay,relays,male,u18
9,1:51.19,,United States U18,,USA,1f1,"Sidi Youssef Ben Ali, Marrakech (MAR)",17 JUL 2005,,medley-relay,relays,male,u18
10,1:51.29,,United States U18,,USA,1f1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",18 JUL 1999,,medley-relay,relays,male,u18
11,1:51.34,,United States U18,,USA,1f1,Ostrava (CZE),15 JUL 2007,,medley-relay,relays,male,u18
12,1:51.35,,South Africa U18,,RSA,3f1,Debrecen (HUN),15 JUL 2001,,medley-relay,relays,male,u18
13,1:51.42,,Japan U18,,JPN,2f1,Ostrava (CZE),15 JUL 2007,,medley-relay,relays,male,u18
14,1:51.53,,United States U18,,USA,1h1,Lille (FRA),09 JUL 2011,,medley-relay,relays,male,u18
15,1:51.62,,Poland U18,,POL,1f1,Banská Bystrica (SVK),21 JUL 2024,,medley-relay,relays,male,u18
16,1:51.68,,United States U18,,USA,1h1,"Sidi Youssef Ben Ali, Marrakech (MAR)",16 JUL 2005,,medley-relay,relays,male,u18
17,1:51.81,,France U18,,FRA,3,Lille (FRA),10 JUL 2011,,medley-relay,relays,male,u18
18,1:51.82,,Germany U18,,GER,2f1,Banská Bystrica (SVK),21 JUL 2024,,medley-relay,relays,male,u18
19,1:51.94,,United States U18,,USA,1h2,Ostrava (CZE),14 JUL 2007,,medley-relay,relays,male,u18
20,1:52.02,,Italy U18,,ITA,3f1,Banská Bystrica (SVK),21 JUL 2024,,medley-relay,relays,male,u18
21,1:52.03,,United States U18,,USA,1f1,Sherbrooke (CAN),13 JUL 2003,,medley-relay,relays,male,u18
22,1:52.11,,Europe U18,,INT,2,Singapore (SGP),23 AUG 2010,,medley-relay,relays,male,u18
23,1:52.18,,Jamaica U18,,JAM,3f1,Ostrava (CZE),15 JUL 2007,,medley-relay,relays,male,u18
23,1:52.18,,Japan U18,,JPN,1h1,Donetsk (UKR),13 JUL 2013,,medley-relay,relays,male,u18
25,1:52.19,,United States U18,,USA,1h3,Donetsk (UKR),13 JUL 2013,,medley-relay,relays,male,u18
26,1:52.27,,Japan U18,,JPN,2h2,Ostrava (CZE),14 JUL 2007,,medley-relay,relays,male,u18
27,1:52.36,,Jamaica U18,,JAM,4f1,Debrecen (HUN),15 JUL 2001,,medley-relay,relays,male,u18
27,1:52.36,,Saudi Arabia U18,,KSA,3,"Prince Nayef Sports City, Qatif (KSA)",18 APR 2025,,medley-relay,relays,male,u18
29,1:52.42,,Poland U18,,POL,4,Lille (FRA),10 JUL 2011,,medley-relay,relays,male,u18
30,1:52.43,,Jamaica U18,,JAM,3h2,Ostrava (CZE),14 JUL 2007,,medley-relay,relays,male,u18
30,1:52.43,,Czechia U18,,CZE,1,"Athletic track of National Arena Philip II, Skopje (MKD)",26 JUL 2025,,medley-relay,relays,male,u18
32,1:52.45,,Japan U18,,JPN,1h2,Lille (FRA),09 JUL 2011,,medley-relay,relays,male,u18
33,1:52.47,,Qatar U18,,QAT,2h1,Donetsk (UKR),13 JUL 2013,,medley-relay,relays,male,u18
34,1:52.49,,South Africa U18,,RSA,2f1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",18 JUL 1999,,medley-relay,relays,male,u18
35,1:52.51,,Trinidad and Tobago U18,,TTO,2f1,"Sidi Youssef Ben Ali, Marrakech (MAR)",17 JUL 2005,,medley-relay,relays,male,u18
35,1:52.51,,Bahamas U18,,BAH,5,Lille (FRA),10 JUL 2011,,medley-relay,relays,male,u18
37,1:52.55,,Qatar U18,,QAT,4,Donetsk (UKR),14 JUL 2013,,medley-relay,relays,male,u18
38,1:52.59,,Thailand U18,,THA,1,Tashkent (UZB),30 APR 2023,,medley-relay,relays,male,u18
39,1:52.60,,Japan U18,,JPN,5f1,Debrecen (HUN),15 JUL 2001,,medley-relay,relays,male,u18
40,1:52.66,,Brazil U18,,BRA,2,"Bressanone, Trentino-Alto Adige (ITA)",12 JUL 2009,,medley-relay,relays,male,u18
40,1:52.66,,Bahamas U18,,BAH,2h2,Lille (FRA),09 JUL 2011,,medley-relay,relays,male,u18
42,1:52.68,,France U18,,FRA,1,"Atletski stadion Poljane, Maribor (SLO)",29 JUL 2023,,medley-relay,relays,male,u18
43,1:52.69,,Italy U18,,ITA,1f1,"Givat Ram Stadium, Jerusalem (ISR)",07 JUL 2022,,medley-relay,relays,male,u18
44,1:52.70,,United States U18,,USA,1h2,Debrecen (HUN),14 JUL 2001,,medley-relay,relays,male,u18
45,1:52.71,,Oceania U18,,INT,3,Singapore (SGP),23 AUG 2010,,medley-relay,relays,male,u18
46,1:52.77,,Trinidad and Tobago U18,,TTO,6,Lille (FRA),10 JUL 2011,,medley-relay,relays,male,u18
47,1:52.78,,Jamaica U18,,JAM,1h4,Donetsk (UKR),13 JUL 2013,,medley-relay,relays,male,u18
47,1:52.78,,Italy U18,,ITA,1,"New District Stadium, Tbilisi (GEO)",17 JUL 2016,,medley-relay,relays,male,u18
49,1:52.79,,Sweden U18,,SWE,1,Thessaloniki (GRE),30 JUN 2006,,medley-relay,relays,male,u18
50,1:52.82,,Japan U18,,JPN,3,"Bressanone, Trentino-Alto Adige (ITA)",12 JUL 2009,,medley-relay,relays,male,u18
51,1:52.90,,Nigeria U18,,NGR,1h2,Donetsk (UKR),13 JUL 2013,,medley-relay,relays,male,u18
52,1:52.95,,Trinidad and Tobago U18,,TTO,1h2,"Sidi Youssef Ben Ali, Marrakech (MAR)",16 JUL 2005,,medley-relay,relays,male,u18
53,1:52.96,,India U18,,IND,2,Tashkent (UZB),30 APR 2023,,medley-relay,relays,male,u18
54,1:52.97,,Bahamas U18,,BAH,5,Donetsk (UKR),14 JUL 2013,,medley-relay,relays,male,u18
55,1:53.01,,France U18,,FRA,1h3,Lille (FRA),09 JUL 2011,,medley-relay,relays,male,u18
55,1:53.01,,Italy U18,,ITA,1,"Olimpiai Sportpark, Győr (HUN)",08 JUL 2018,,medley-relay,relays,male,u18
57,1:53.02,,Bahamas U18,,BAH,1h3,Ostrava (CZE),14 JUL 2007,,medley-relay,relays,male,u18
58,1:53.05,,Poland U18,,POL,2h3,Lille (FRA),09 JUL 2011,,medley-relay,relays,male,u18
59,1:53.08,,Poland U18,,POL,2f1,Sherbrooke (CAN),13 JUL 2003,,medley-relay,relays,male,u18
60,1:53.11,,Japan U18,,JPN,3f1,Sherbrooke (CAN),13 JUL 2003,,medley-relay,relays,male,u18
61,1:53.16,,Poland U18,,POL,1h4,Debrecen (HUN),14 JUL 2001,,medley-relay,relays,male,u18
62,1:53.23,,South Africa U18,,RSA,3f1,"Sidi Youssef Ben Ali, Marrakech (MAR)",17 JUL 2005,,medley-relay,relays,male,u18
63,1:53.28,,Sudan U18,,SUD,2h1,"Sidi Youssef Ben Ali, Marrakech (MAR)",16 JUL 2005,,medley-relay,relays,male,u18
64,1:53.32,,Trinidad and Tobago U18,,TTO,1h4,Lille (FRA),09 JUL 2011,,medley-relay,relays,male,u18
65,1:53.36,,Poland U18,,POL,6,Donetsk (UKR),14 JUL 2013,,medley-relay,relays,male,u18
