rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,26:46,,Rhonex KIPRUTO,12 OCT 1999,KEN,1,Praha (CZE),08 SEP 2018,1249,10-kilometres,road-running,male,u20
2,26:54,,Khairi BEJIGA,27 APR 2006,ETH,1,Brasov (ROU),05 OCT 2025,1236,10-kilometres,road-running,male,u20
3,26:56,,Tadese WORKU,20 JAN 2002,ETH,2,Herzogenaurach (GER),12 SEP 2021,1233,10-kilometres,road-running,male,u20
4,27:08,,Rhonex KIPRUTO,12 OCT 1999,KEN,1,"New York, NY (USA)",29 APR 2018,1213,10-kilometres,road-running,male,u20
5,27:10,,Chimdessa DEBELE,13 SEP 2003,ETH,2,Valencia (ESP),09 JAN 2022,1210,10-kilometres,road-running,male,u20
5,27:10,,Saymon AMANUEL,27 MAY 2007,ERI,2,Lille (FRA),16 MAR 2025,1210,10-kilometres,road-running,male,u20
7,27:11,,Mathew Kipkorir KIMELI,04 JAN 1998,KEN,2,Praha (CZE),09 SEP 2017,1209,10-kilometres,road-running,male,u20
8,27:12,,Bravin Kipkogei KIPTOO,26 FEB 2001,KEN,3,Praha (CZE),07 SEP 2019,1207,10-kilometres,road-running,male,u20
9,27:13,,Rhonex KIPRUTO,12 OCT 1999,KEN,3,Praha (CZE),09 SEP 2017,1205,10-kilometres,road-running,male,u20
10,27:14,,Chimdessa DEBELE,13 SEP 2003,ETH,1,Lille (FRA),06 NOV 2021,1204,10-kilometres,road-running,male,u20
11,27:18,,Charles ROTICH,14 MAY 2005,KEN,3,Lille (FRA),16 NOV 2024,1197,10-kilometres,road-running,male,u20
12,27:19,,Daniel KOSEN,10 MAY 2003,KEN,4,Brasov (ROU),25 SEP 2022,1196,10-kilometres,road-running,male,u20
13,27:21,,Vincent Kiprotich KIBET,19 MAR 1999,KEN,1,Berlin (GER),14 OCT 2018,1193,10-kilometres,road-running,male,u20
14,27:23,,Chimdessa DEBELE,13 SEP 2003,ETH,1,Laredo (ESP),19 MAR 2022,1190,10-kilometres,road-running,male,u20
14,27:23,,Lemi TESHOME,13 JAN 2007,ETH,3,Lille (FRA),15 NOV 2025,1190,10-kilometres,road-running,male,u20
16,27:28,,Abel BEKELE,01 JAN 2006,ETH,7,Lille (FRA),16 MAR 2025,1182,10-kilometres,road-running,male,u20
17,27:30,,Jacob KROP,04 JUN 2001,KEN,4,Valencia (ESP),12 JAN 2020,1179,10-kilometres,road-running,male,u20
18,27:31,,Jacob KIPLIMO,14 NOV 2000,UGA,1,Manchester (GBR),19 MAY 2019,1177,10-kilometres,road-running,male,u20
19,27:32,,Mathew Kipkorir KIMELI,04 JAN 1998,KEN,1,Berlin (GER),08 OCT 2017,1175,10-kilometres,road-running,male,u20
20,27:34,,Birhanu LEGESE,11 SEP 1994,ETH,2,Taroudant (MAR),10 MAR 2013,1172,10-kilometres,road-running,male,u20
20,27:34,,Ayensa ALEMU,16 AUG 2005,ETH,7,Lille (FRA),16 NOV 2024,1172,10-kilometres,road-running,male,u20
22,27:35,,Laban Kiptoo KOSGEI,09 JUN 2006,KEN,8,Brasov (ROU),05 OCT 2025,1171,10-kilometres,road-running,male,u20
23,27:36,,Berehanu TSEGU,30 SEP 1999,ETH,2,Houilles (FRA),30 DEC 2018,1169,10-kilometres,road-running,male,u20
24,27:37,,Amedework WALELEGN,11 MAR 1999,ETH,1,Laredo (ESP),17 MAR 2018,1168,10-kilometres,road-running,male,u20
24,27:37,,Abel BEKELE,01 JAN 2006,ETH,8,Lille (FRA),16 NOV 2024,1168,10-kilometres,road-running,male,u20
26,27:38,,Feyisa LILESA,01 FEB 1990,ETH,1,Rovereto (ITA),04 OCT 2008,1166,10-kilometres,road-running,male,u20
26,27:38,,Amos Kipkurui LANGAT,05 MAY 2005,KEN,9,Brasov (ROU),22 SEP 2024,1166,10-kilometres,road-running,male,u20
28,27:39,,Abel BEKELE,01 JAN 2006,ETH,7,Herzogenaurach (GER),26 APR 2025,1164,10-kilometres,road-running,male,u20
29,27:40,,Isaac KIPSANG,20 FEB 1999,KEN,3,Utrecht (NED),07 OCT 2018,1163,10-kilometres,road-running,male,u20
29,27:40,,Ayele TADESSE,17 SEP 2005,ETH,10,Brasov (ROU),22 SEP 2024,1163,10-kilometres,road-running,male,u20
31,27:41,,Zeleke YAYEWSEW,2006,ETH,16,Valencia (ESP),12 JAN 2025,1161,10-kilometres,road-running,male,u20
31,27:41,,Ataklti KIDANU,08 DEC 2006,ETH,1,Valenciennes (FRA),30 MAR 2025,1161,10-kilometres,road-running,male,u20
33,27:42,,Stanley Kipkosgei SALIL,02 APR 1986,KEN,2,Praha (CZE),19 SEP 2004,1160,10-kilometres,road-running,male,u20
34,27:43,,Haftu TEKLU,21 JAN 2000,ETH,2,Houilles (FRA),29 DEC 2019,1158,10-kilometres,road-running,male,u20
35,27:44,,Jenberu SISAY,14 JAN 2006,ETH,2,Valenciennes (FRA),30 MAR 2025,1157,10-kilometres,road-running,male,u20
36,27:45,,Zeleke YAYEWSEW,2006,ETH,9,Lille (FRA),16 MAR 2025,1155,10-kilometres,road-running,male,u20
37,27:46,,Daniel KOMEN,17 MAY 1976,KEN,1,Vancouver (CAN),17 APR 1994,1153,10-kilometres,road-running,male,u20
38,27:47,,Milkesa MENGESHA,16 APR 2000,ETH,1,Dongio (SUI),22 APR 2019,1152,10-kilometres,road-running,male,u20
39,27:48,,Haftamu GEBRESILASE,25 MAR 2004,ETH,3,Langueux (FRA),17 JUN 2023,1150,10-kilometres,road-running,male,u20
40,27:49,,Francis KIPROP,25 DEC 1984,KEN,3,Doha (QAT),13 DEC 2002,1149,10-kilometres,road-running,male,u20
40,27:49,,Dawit SEARE,29 DEC 2004,ERI,1,"Schloss Charlottenburg, Berlin (GER)",15 OCT 2023,1149,10-kilometres,road-running,male,u20
42,27:50,,Joshua CHEPTEGEI,12 SEP 1996,UGA,1,Berlin (GER),11 OCT 2015,1147,10-kilometres,road-running,male,u20
42,27:50,,Vincent KIMAIYO,2004,KEN,4,Langueux (FRA),17 JUN 2023,1147,10-kilometres,road-running,male,u20
42,27:50,,Matthew Kipkoech KIPRUTO,24 AUG 2005,KEN,5,Praha (CZE),07 SEP 2024,1147,10-kilometres,road-running,male,u20
42,27:50,,Emmanuel WAFULA,08 JUL 2005,KEN,11,Lille (FRA),16 NOV 2024,1147,10-kilometres,road-running,male,u20
46,27:51,,Habtom SAMUEL,30 NOV 2003,ERI,2,Cannes (FRA),06 MAR 2022,1146,10-kilometres,road-running,male,u20
47,27:52,,Richard CHELIMO,21 APR 1972,KEN,2,København (DEN),19 AUG 1990,1144,10-kilometres,road-running,male,u20
47,27:52,,Henry KIPLAGAT,16 DEC 1992,KEN,3,Berlin (GER),09 OCT 2011,1144,10-kilometres,road-running,male,u20
49,27:53,,Mathew Kipkorir KIMELI,04 JAN 1998,KEN,5,Praha (CZE),10 SEP 2016,1143,10-kilometres,road-running,male,u20
49,27:53,,Telahun Haile BEKELE,13 MAY 1999,ETH,3,Berlin (GER),08 OCT 2017,1143,10-kilometres,road-running,male,u20
51,27:54,,Titus Kwemoi MASAI,09 OCT 1989,KEN,2,Eldoret (KEN),21 SEP 2008,1141,10-kilometres,road-running,male,u20
51,27:54,,Ezekiel CHEBII,03 JAN 1991,KEN,4,Paderborn (GER),03 APR 2010,1141,10-kilometres,road-running,male,u20
51,27:54,,Yigrem DEMELASH,26 JAN 1994,ETH,2,Paderborn (GER),07 APR 2012,1141,10-kilometres,road-running,male,u20
51,27:54,,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,Hole (NOR),19 OCT 2019,1141,10-kilometres,road-running,male,u20
55,27:55,,Saymon AMANUEL,27 MAY 2007,ERI,2,Bengaluru (IND),27 APR 2025,1140,10-kilometres,road-running,male,u20
56,27:56,,Eric NDIEMA,28 DEC 1992,KEN,2,Appingedam (NED),26 JUN 2010,1139,10-kilometres,road-running,male,u20
57,27:57,,Peter LANGAT,20 OCT 1998,KEN,2,Casablanca (MAR),07 MAY 2017,1136,10-kilometres,road-running,male,u20
58,27:58,,John Kiprono LANGAT,31 DEC 1996,KEN,1,Appingedam (NED),27 JUN 2015,1135,10-kilometres,road-running,male,u20
58,27:58,,Peter MARU,03 APR 2003,UGA,6,Valencia (ESP),09 JAN 2022,1135,10-kilometres,road-running,male,u20
58,27:58,,Ataklti KIDANU,08 DEC 2006,ETH,10,Brasov (ROU),05 OCT 2025,1135,10-kilometres,road-running,male,u20
61,27:59,,Birhan NEBEBEW,14 AUG 1994,ETH,2,Rennes (FRA),14 OCT 2012,1133,10-kilometres,road-running,male,u20
61,27:59,,Matthew Kipkoech KIPRUTO,24 AUG 2005,KEN,5,"Schloss Charlottenburg, Berlin (GER)",15 OCT 2023,1133,10-kilometres,road-running,male,u20
63,28:00,,Hagos EYOB,16 DEC 2006,ETH,11,Brasov (ROU),22 SEP 2024,1132,10-kilometres,road-running,male,u20
63,28:00,,Bamelak YETYHE,2005,ETH,13,Lille (FRA),16 NOV 2024,1132,10-kilometres,road-running,male,u20
65,28:02,,Thomas AYEKO,10 FEB 1992,UGA,3,Würzburg (GER),17 APR 2011,1129,10-kilometres,road-running,male,u20
65,28:02,,Nibret KINDE,01 JAN 2006,ETH,14,Lille (FRA),16 MAR 2025,1129,10-kilometres,road-running,male,u20
65,28:02,,Samuel Simba CHEROP,03 JUL 2006,UGA,3,Valenciennes (FRA),30 MAR 2025,1129,10-kilometres,road-running,male,u20
68,28:03,,Elijah KORIR,15 APR 1978,KEN,1,Conegliano (ITA),07 SEP 1997,1127,10-kilometres,road-running,male,u20
68,28:03,,Robert Kipchirchir MWEI,04 NOV 1998,KEN,4,Berlin (GER),08 OCT 2017,1127,10-kilometres,road-running,male,u20
68,28:03,,Keneth KIPROP,13 MAY 2005,UGA,7,"Kings Park Athletics Stadium, Durban (RSA)",07 JUL 2024,1127,10-kilometres,road-running,male,u20
71,28:04,,Ezekiel CHEBII,03 JAN 1991,KEN,5,Utrecht (NED),27 SEP 2009,1126,10-kilometres,road-running,male,u20
71,28:04,,Vincent KIMAIYO,2004,KEN,7,Lille (FRA),18 NOV 2023,1126,10-kilometres,road-running,male,u20
73,28:05,,Chala LEMI,26 FEB 1987,ETH,4,Marseille (FRA),01 MAY 2006,1124,10-kilometres,road-running,male,u20
73,28:05,,Birhanu LEGESE,11 SEP 1994,ETH,5,Rennes (FRA),13 OCT 2013,1124,10-kilometres,road-running,male,u20
73,28:05,,Abayneh DEGU,01 DEC 1998,ETH,3,Berlin (GER),11 OCT 2015,1124,10-kilometres,road-running,male,u20
73,28:05,,Robert Kipchirchir MWEI,04 NOV 1998,KEN,9,Praha (CZE),09 SEP 2017,1124,10-kilometres,road-running,male,u20
73,28:05,,Habtom SAMUEL,30 NOV 2003,ERI,5,Lille (FRA),01 OCT 2022,1124,10-kilometres,road-running,male,u20
78,28:06,,Thomas AYEKO,10 FEB 1992,UGA,2,Paderborn (GER),23 APR 2011,1123,10-kilometres,road-running,male,u20
78,28:06,,Andrew Rotich KWEMOI,01 SEP 2000,UGA,2,Abu Dhabi (UAE),06 DEC 2019,1123,10-kilometres,road-running,male,u20
80,28:07,,Kipchumba Gideon MITEI,16 JAN 1980,KEN,1,"Cleveland, OH (USA)",02 MAY 1999,1121,10-kilometres,road-running,male,u20
80,28:07,,David CHERUIYOT NGENY,05 MAY 1981,KEN,2,Cuneo (ITA),12 NOV 2000,1121,10-kilometres,road-running,male,u20
80,28:07,,James Kipsang KWAMBAI,28 FEB 1983,KEN,1,Cuneo (ITA),10 NOV 2002,1121,10-kilometres,road-running,male,u20
80,28:07,,Titus WARURU,29 MAR 1992,KEN,1,Tamana (JPN),06 MAR 2011,1121,10-kilometres,road-running,male,u20
84,28:08,,John Kiprono LANGAT,31 DEC 1996,KEN,5,Berlin (GER),11 OCT 2015,1120,10-kilometres,road-running,male,u20
84,28:08,,Kuma DEJENE,29 JUL 2004,ETH,9,Lille (FRA),18 NOV 2023,1120,10-kilometres,road-running,male,u20
84,28:08,,Charles ROTICH,14 MAY 2005,KEN,3,Bolzano (ITA),31 DEC 2024,1120,10-kilometres,road-running,male,u20
87,28:09,,Paul Malakwen KOSGEI,22 APR 1978,KEN,2,Bolzano (ITA),31 DEC 1997,1118,10-kilometres,road-running,male,u20
