rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,40:42,,Jacob KIPLIMO,14 NOV 2000,UGA,1,Nijmegen (NED),17 NOV 2024,1272,15-kilometres,road-running,male,senior
2,41:05,,Joshua CHEPTEGEI,12 SEP 1996,UGA,1,Nijmegen (NED),18 NOV 2018,1248,15-kilometres,road-running,male,senior
2,41:05,,Jacob KIPLIMO,14 NOV 2000,UGA,1,Nijmegen (NED),19 NOV 2023,1248,15-kilometres,road-running,male,senior
4,41:13,,Leonard Patrick KOMON,10 JAN 1988,KEN,1,Nijmegen (NED),21 NOV 2010,1240,15-kilometres,road-running,male,senior
5,41:16,,Joshua CHEPTEGEI,12 SEP 1996,UGA,1,Nijmegen (NED),19 NOV 2017,1237,15-kilometres,road-running,male,senior
6,41:29,,Felix LIMO,22 AUG 1980,KEN,1,Nijmegen (NED),11 NOV 2001,1223,15-kilometres,road-running,male,senior
6,41:29,,Deriba Merga EJIGU,26 OCT 1980,ETH,,Ras Al Khaimah (UAE),20 FEB 2009,1223,15-kilometres,road-running,male,senior
8,41:38,,Haile GEBRSELASSIE,18 APR 1973,ETH,2,Nijmegen (NED),11 NOV 2001,1214,15-kilometres,road-running,male,senior
8,41:38,,Sileshi SIHINE,29 JAN 1983,ETH,1,Nijmegen (NED),21 NOV 2004,1214,15-kilometres,road-running,male,senior
10,41:49,,Stephen KISSA,01 DEC 1988,UGA,1,Nijmegen (NED),17 NOV 2019,1203,15-kilometres,road-running,male,senior
11,41:51,,Edwin KIPTOO,14 AUG 1993,KEN,2,Nijmegen (NED),17 NOV 2019,1201,15-kilometres,road-running,male,senior
12,41:53,,Rhonex KIPRUTO,12 OCT 1999,KEN,1,Le Puy-en-Velay (FRA),01 MAY 2019,1199,15-kilometres,road-running,male,senior
13,41:55,,Abel KIPCHUMBA,03 FEB 1994,KEN,1,Valencia (ESP),08 JUN 2019,1197,15-kilometres,road-running,male,senior
14,41:57,,Haile GEBRSELASSIE,18 APR 1973,ETH,1,Nijmegen (NED),20 NOV 2005,1194,15-kilometres,road-running,male,senior
15,42:00,,Mathew Kipkorir KIMELI,04 JAN 1998,KEN,1,Le Puy-en-Velay (FRA),01 MAY 2017,1191,15-kilometres,road-running,male,senior
16,42:01,,Salim KIPSANG,22 DEC 1979,KEN,3,Nijmegen (NED),11 NOV 2001,1190,15-kilometres,road-running,male,senior
16,42:01,,Abera KUMA,31 AUG 1990,ETH,2,Nijmegen (NED),21 NOV 2010,1190,15-kilometres,road-running,male,senior
16,42:01,,Nicholas KIPKEMBOI,05 JUL 1986,KEN,1,Nijmegen (NED),18 NOV 2012,1190,15-kilometres,road-running,male,senior
19,42:02,,Ayele ABSHERO,28 DEC 1990,ETH,3,Nijmegen (NED),21 NOV 2010,1189,15-kilometres,road-running,male,senior
19,42:02,,Josphat BOIT,25 NOV 1995,KEN,1,Valencia (ESP),02 JUN 2018,1189,15-kilometres,road-running,male,senior
21,42:06,,Moses KOECH,05 AUG 1997,KEN,3,Nijmegen (NED),17 NOV 2019,1185,15-kilometres,road-running,male,senior
22,42:08,,Joshua CHEPTEGEI,12 SEP 1996,UGA,1,Nijmegen (NED),13 NOV 2016,1183,15-kilometres,road-running,male,senior
22,42:08,,Rogers KIBET,26 MAR 2003,UGA,1,Nijmegen (NED),20 NOV 2022,1183,15-kilometres,road-running,male,senior
24,42:10,,Wesley KIPTOO,07 JUL 1999,KEN,1,"Jacksonville, FL (USA)",01 MAR 2025,1181,15-kilometres,road-running,male,senior
25,42:11,,John KORIR,02 DEC 1996,KEN,1,"Utica, NY (USA)",14 JUL 2024,1180,15-kilometres,road-running,male,senior
26,42:12,,Paul TERGAT,17 JUN 1969,KEN,1,La Courneuve (FRA),29 MAY 1994,1179,15-kilometres,road-running,male,senior
27,42:13,,Geoffrey KOECH,28 AUG 1993,KEN,1,Heerenberg (NED),01 DEC 2019,1178,15-kilometres,road-running,male,senior
28,42:14,,Sileshi SIHINE,29 JAN 1983,ETH,1,Nijmegen (NED),15 NOV 2009,1177,15-kilometres,road-running,male,senior
28,42:14,,Nicolas KIPRONO,07 NOV 1987,UGA,2,Nijmegen (NED),15 NOV 2009,1177,15-kilometres,road-running,male,senior
28,42:14,,Emmanuel Moi MARU,04 JAN 2001,KEN,1,Valencia (ESP),18 SEP 2021,1177,15-kilometres,road-running,male,senior
31,42:15,,Leonard Patrick KOMON,10 JAN 1988,KEN,1,Nijmegen (NED),17 NOV 2013,1176,15-kilometres,road-running,male,senior
32,42:16,,Stephen KIPROP,08 SEP 1999,KEN,1,Le Puy-en-Velay (FRA),01 MAY 2018,1175,15-kilometres,road-running,male,senior
33,42:17,,Zersenay TADESE,01 JAN 1982,ERI,2,Nijmegen (NED),20 NOV 2005,1174,15-kilometres,road-running,male,senior
33,42:17,,Ayele ABSHERO,28 DEC 1990,ETH,1,Nijmegen (NED),16 NOV 2008,1174,15-kilometres,road-running,male,senior
35,42:18,,Leonard Patrick KOMON,10 JAN 1988,KEN,2,Nijmegen (NED),18 NOV 2012,1173,15-kilometres,road-running,male,senior
35,42:18,,Abera KUMA,31 AUG 1990,ETH,1,Nijmegen (NED),16 NOV 2014,1173,15-kilometres,road-running,male,senior
35,42:18,,Josphat BOIT,25 NOV 1995,KEN,2,Heerenberg (NED),01 DEC 2019,1173,15-kilometres,road-running,male,senior
38,42:19,,Jemal MEKONEN,11 SEP 1996,ETH,2,"Utica, NY (USA)",14 JUL 2024,1172,15-kilometres,road-running,male,senior
39,42:20,,Worku BIKILA,06 MAY 1968,ETH,1,Nijmegen (NED),16 NOV 1997,1171,15-kilometres,road-running,male,senior
39,42:20,,Haymanot ALEW,11 NOV 1997,ETH,2,Le Puy-en-Velay (FRA),01 MAY 2018,1171,15-kilometres,road-running,male,senior
41,42:21,,Isaac KIPROP,09 OCT 1986,UGA,2,Nijmegen (NED),16 NOV 2008,1170,15-kilometres,road-running,male,senior
41,42:21,,Tesfahun AKALNEW,29 APR 1999,ETH,4,Nijmegen (NED),17 NOV 2019,1170,15-kilometres,road-running,male,senior
