rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,59:16,,Samuel Kamau WANJIRU,10 NOV 1986,KEN,1,Rotterdam (NED),11 SEP 2005,1216,half-marathon,road-running,male,u20
2,59:21,,Stephen KIPROP,08 SEP 1999,KEN,4,Valencia (ESP),28 OCT 2018,1213,half-marathon,road-running,male,u20
3,59:22,,Amedework WALELEGN,11 MAR 1999,ETH,2,New Delhi (IND),21 OCT 2018,1212,half-marathon,road-running,male,u20
4,59:31,,Geoffrey KAMWOROR,22 NOV 1992,KEN,2,New Delhi (IND),27 NOV 2011,1206,half-marathon,road-running,male,u20
5,59:36,,Tilahun REGASSA,18 JAN 1990,ETH,1,Lille (FRA),06 SEP 2008,1202,half-marathon,road-running,male,u20
6,59:37,,Bravin Kipkogei KIPTOO,26 FEB 2001,KEN,7,Valencia (ESP),06 DEC 2020,1202,half-marathon,road-running,male,u20
7,59:39,,Gizealew AYANA,11 FEB 2003,ETH,2,Poznan (POL),17 OCT 2021,1200,half-marathon,road-running,male,u20
8,59:41,,Stephen KIPROP,08 SEP 1999,KEN,1,Ústí nad Labem (CZE),15 SEP 2018,1199,half-marathon,road-running,male,u20
9,59:43,,Samuel Kamau WANJIRU,10 NOV 1986,KEN,1,Sendai (JPN),10 JUL 2005,1198,half-marathon,road-running,male,u20
10,59:44,,John KIPROTICH,30 MAR 1989,KEN,2,Udine (ITA),28 SEP 2008,1197,half-marathon,road-running,male,u20
10,59:44,,Stephen KIPROP,08 SEP 1999,KEN,1,Venlo (NED),25 MAR 2018,1197,half-marathon,road-running,male,u20
12,59:48,,Mkulia KIPKANDIE,2006,KEN,1,Krems (AUT),14 SEP 2025,1194,half-marathon,road-running,male,u20
13,59:50,,Amedework WALELEGN,11 MAR 1999,ETH,1,Istanbul (TUR),08 APR 2018,1193,half-marathon,road-running,male,u20
14,59:51,,Andamlak BELIHU,20 NOV 1998,ETH,2,New Delhi (IND),19 NOV 2017,1192,half-marathon,road-running,male,u20
15,59:57,,Eric NDIEMA,28 DEC 1992,KEN,4,The Hague (NED),14 MAR 2010,1188,half-marathon,road-running,male,u20
16,59:58,,Emmanuel WAFULA,08 JUL 2005,KEN,1,Roma (ITA),20 OCT 2024,1188,half-marathon,road-running,male,u20
17,1:00:01,,Ghirmay GHEBRESLASSIE,14 NOV 1995,ERI,2,Keren (ERI),05 JAN 2014,1186,half-marathon,road-running,male,u20
18,1:00:02,,Geoffrey KAMWOROR,22 NOV 1992,KEN,1,Lille (FRA),03 SEP 2011,1185,half-marathon,road-running,male,u20
19,1:00:03,,Tobias CHERUIYOT,,KEN,1,Ravenna (ITA),12 NOV 2023,1184,half-marathon,road-running,male,u20
20,1:00:05,,Faustin BAHA,30 MAY 1982,TAN,3,Malmö (SWE),12 JUN 2000,1183,half-marathon,road-running,male,u20
21,1:00:09,,Ghirmay GHEBRESLASSIE,14 NOV 1995,ERI,1,Paderborn (GER),30 MAR 2013,1180,half-marathon,road-running,male,u20
22,1:00:10,,Jonathan MAIYO,05 MAY 1988,KEN,5,Rotterdam (NED),09 SEP 2007,1180,half-marathon,road-running,male,u20
22,1:00:10,,Ghirmay GHEBRESLASSIE,14 NOV 1995,ERI,7,København (DEN),29 MAR 2014,1180,half-marathon,road-running,male,u20
22,1:00:10,,Fentahun HUNEGNAW,04 JAN 1996,ETH,6,Berlin (GER),29 MAR 2015,1180,half-marathon,road-running,male,u20
25,1:00:13,,Abduljelil ABDULWOKIL,14 JAN 2005,ETH,2,Yangzhou (CHN),31 MAR 2024,1178,half-marathon,road-running,male,u20
26,1:00:15,,Stephen KIPROP,08 SEP 1999,KEN,1,Olomouc (CZE),23 JUN 2018,1176,half-marathon,road-running,male,u20
26,1:00:15,,Chimdessa DEBELE,13 SEP 2003,ETH,1,Trento (ITA),03 OCT 2021,1176,half-marathon,road-running,male,u20
28,1:00:17,,Gizealew AYANA,11 FEB 2003,ETH,2,Cardiff (GBR),02 OCT 2022,1175,half-marathon,road-running,male,u20
28,1:00:17,,Dennis KIPRUTO,08 APR 2005,KEN,2,"Showa Kinen Park, Tachikawa (JPN)",14 OCT 2023,1175,half-marathon,road-running,male,u20
30,1:00:18,,Chimdessa DEBELE,13 SEP 2003,ETH,3,Cardiff (GBR),02 OCT 2022,1174,half-marathon,road-running,male,u20
31,1:00:20,,Eric NDIEMA,28 DEC 1992,KEN,2,Milano (ITA),27 MAR 2011,1173,half-marathon,road-running,male,u20
32,1:00:22,,Terefa DEBELA,1998,ETH,2,Istanbul (TUR),30 APR 2017,1172,half-marathon,road-running,male,u20
33,1:00:27,,Haftamu GEBRESILASE,25 MAR 2004,ETH,1,Poznan (POL),16 APR 2023,1168,half-marathon,road-running,male,u20
34,1:00:28,,Tilahun REGASSA,18 JAN 1990,ETH,4,New Delhi (IND),09 NOV 2008,1168,half-marathon,road-running,male,u20
35,1:00:30,,Lawrence KIPROTICH,20 AUG 1986,KEN,3,Milano (ITA),10 APR 2005,1166,half-marathon,road-running,male,u20
36,1:00:31,,Bayelign TESHAGER,09 FEB 2000,ETH,1,Azpeitia (ESP),30 MAR 2019,1166,half-marathon,road-running,male,u20
37,1:00:34,,Boki DIRIBA,25 FEB 2004,ETH,3,New Delhi (IND),16 OCT 2022,1164,half-marathon,road-running,male,u20
37,1:00:34,,Haftamu GEBRESILASE,25 MAR 2004,ETH,9,København (DEN),17 SEP 2023,1164,half-marathon,road-running,male,u20
39,1:00:36,,John Nzau MWANGANGI,01 NOV 1990,KEN,1,Remich (LUX),27 SEP 2009,1162,half-marathon,road-running,male,u20
39,1:00:36,,Ghirmay GHEBRESLASSIE,14 NOV 1995,ERI,1,Göteborg (SWE),18 MAY 2014,1162,half-marathon,road-running,male,u20
41,1:00:37,,Tilahun REGASSA,18 JAN 1990,ETH,4,New Delhi (IND),01 NOV 2009,1162,half-marathon,road-running,male,u20
41,1:00:37,,Amedework WALELEGN,11 MAR 1999,ETH,13,København (DEN),16 SEP 2018,1162,half-marathon,road-running,male,u20
43,1:00:38,,Faustin BAHA,30 MAY 1982,TAN,1,Lille (FRA),04 SEP 1999,1161,half-marathon,road-running,male,u20
43,1:00:38,,Geoffrey KAMWOROR,22 NOV 1992,KEN,1,Berlin (GER),03 APR 2011,1161,half-marathon,road-running,male,u20
45,1:00:42,,Hagos EYOB,16 DEC 2006,ETH,1,Albacete (ESP),05 OCT 2025,1158,half-marathon,road-running,male,u20
46,1:00:45,,Faustin BAHA,30 MAY 1982,TAN,2,Ivry-sur-Seine (FRA),11 APR 1999,1156,half-marathon,road-running,male,u20
47,1:00:49,,John KANYI,06 SEP 1980,KEN,1,Tokyo (JPN),15 JAN 1999,1154,half-marathon,road-running,male,u20
48,1:00:50,,Dominic Nyairo OMARE,11 MAR 1997,KEN,2,Marugame (JPN),07 FEB 2016,1153,half-marathon,road-running,male,u20
49,1:00:51,,John Kyalo KYUI,20 OCT 1984,KEN,1,Ivry-sur-Seine (FRA),27 APR 2003,1152,half-marathon,road-running,male,u20
49,1:00:51,,Addisu GOBENA,20 OCT 2004,ETH,3,New Delhi (IND),15 OCT 2023,1152,half-marathon,road-running,male,u20
51,1:00:52,,Fabiano Joseph NAASI,24 DEC 1985,TAN,2,Vilamoura (POR),04 OCT 2003,1152,half-marathon,road-running,male,u20
