rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,5.99,,Obadele THOMPSON,30 MAR 1976,BAR,1,"Colorado Springs, CO (USA) (i)",22 FEB 1997,1268,55-metres,sprints,male,senior
2,6.00,,Lee MCRAE,23 JAN 1966,USA,1,"Oklahoma City, OK (USA) (i)",14 MAR 1986,1262,55-metres,sprints,male,senior
3,6.02,,Leonard MYLES-MILLS,05 SEP 1973,GHA,2,"Colorado Springs, CO (USA) (i)",22 FEB 1997,1249,55-metres,sprints,male,senior
4,6.03,,Sam GRADDY,10 FEB 1964,USA,1h1,"Oklahoma City, OK (USA) (i)",14 MAR 1986,1243,55-metres,sprints,male,senior
5,6.04,,Lee MCRAE,23 JAN 1966,USA,1,"East Rutherford, NJ (USA) (i)",14 FEB 1987,1237,55-metres,sprints,male,senior
5,6.04,,Andre CASON,20 JAN 1969,USA,1sf1,"Indianapolis, IN (USA) (i)",09 MAR 1990,1237,55-metres,sprints,male,senior
5,6.04,,Ato BOLDON,30 DEC 1973,TTO,1,"Flagstaff, AZ (USA) (i)",01 FEB 1997,1237,55-metres,sprints,male,senior
8,6.05,,Ben JOHNSON,30 DEC 1961,CAN,1,"East Rutherford, NJ (USA) (i)",08 FEB 1986,1231,55-metres,sprints,male,senior
8,6.05,,Sam GRADDY,10 FEB 1964,USA,2,"Oklahoma City, OK (USA) (i)",14 MAR 1986,1231,55-metres,sprints,male,senior
8,6.05,,Brian COOPER,21 AUG 1965,USA,1,"East Rutherford, NJ (USA) (i)",13 FEB 1988,1231,55-metres,sprints,male,senior
8,6.05,,Brian COOPER,21 AUG 1965,USA,1,"Monroe, NC (USA) (i)",27 FEB 1988,1231,55-metres,sprints,male,senior
12,6.06,,Fred JOHNSON,10 MAY 1962,USA,1,"Fargo, ND (USA) (i)",16 MAR 1985,1224,55-metres,sprints,male,senior
12,6.06,,Brian COOPER,21 AUG 1965,USA,1,Ottawa (CAN) (i),22 JAN 1988,1224,55-metres,sprints,male,senior
