rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,77.50,,Mykyta NESTERENKO,15 APR 1991,UKR,1,"Koncha-Zaspa, Kyiv (UKR)",19 MAY 2008,,discus-throw-1500kg,throws,male,u18
2,75.36,,Mykyta NESTERENKO,15 APR 1991,UKR,1,Halle (GER),25 MAY 2008,,discus-throw-1500kg,throws,male,u18
3,74.32,,Mykyta NESTERENKO,15 APR 1991,UKR,1,Antalya (TUR),30 MAR 2008,,discus-throw-1500kg,throws,male,u18
4,72.76,,Mykyta NESTERENKO,15 APR 1991,UKR,1,Yalta (UKR),16 MAY 2008,,discus-throw-1500kg,throws,male,u18
5,72.31,,Mykyta NESTERENKO,15 APR 1991,UKR,1,Beograd (SRB),26 JUL 2007,,discus-throw-1500kg,throws,male,u18
6,71.95,,Mykyta NESTERENKO,15 APR 1991,UKR,1,Yalta (UKR),19 MAY 2007,,discus-throw-1500kg,throws,male,u18
7,70.67,,Mykyta NESTERENKO,15 APR 1991,UKR,1q2,Ostrava (CZE),13 JUL 2007,,discus-throw-1500kg,throws,male,u18
8,69.67,,Connor BELL,21 JUN 2001,NZL,1,North Shore City (NZL),25 AUG 2018,,discus-throw-1500kg,throws,male,u18
9,69.50,,Margus HUNT,14 JUL 1987,EST,1,Valmiera (LAT),30 JUL 2004,,discus-throw-1500kg,throws,male,u18
10,69.23,,Connor BELL,21 JUN 2001,NZL,1,Hamilton (NZL),18 NOV 2018,,discus-throw-1500kg,throws,male,u18
11,68.63,,Mykyta NESTERENKO,15 APR 1991,UKR,1,Yalta (UKR),22 FEB 2008,,discus-throw-1500kg,throws,male,u18
12,68.54,,Mykyta NESTERENKO,15 APR 1991,UKR,1,Ostrava (CZE),14 JUL 2007,,discus-throw-1500kg,throws,male,u18
13,68.48,,Attila HORVÁTH,28 JUL 1967,HUN,1,Szombathely (HUN),11 OCT 1983,,discus-throw-1500kg,throws,male,u18
14,68.44,,Werner REITERER,27 JAN 1968,AUS,1,Melbourne (AUS),02 NOV 1985,,discus-throw-1500kg,throws,male,u18
15,68.35,,Mykyta NESTERENKO,15 APR 1991,UKR,1,Thessaloniki (GRE),01 JUL 2006,,discus-throw-1500kg,throws,male,u18
16,68.28,,Zedong LI,1989,CHN,1,Yantai (CHN),11 OCT 2006,,discus-throw-1500kg,throws,male,u18
17,68.20,,Marin PREMERU,29 AUG 1990,CRO,2,Beograd (SRB),26 JUL 2007,,discus-throw-1500kg,throws,male,u18
18,67.85,,Mykyta NESTERENKO,15 APR 1991,UKR,1,Yalta (UKR),11 FEB 2007,,discus-throw-1500kg,throws,male,u18
19,67.80,,Mykyta NESTERENKO,15 APR 1991,UKR,1,Yalta (UKR),24 SEP 2008,,discus-throw-1500kg,throws,male,u18
20,67.74,,Matthew DENNY,02 JUN 1996,AUS,1,Gold Coast (AUS),18 DEC 2013,,discus-throw-1500kg,throws,male,u18
21,67.54,,Matthew DENNY,02 JUN 1996,AUS,1,Donetsk (UKR),13 JUL 2013,,discus-throw-1500kg,throws,male,u18
22,67.44,,Gerhard DE BEER,05 JUL 1994,RSA,1,Douglas (GBR),10 SEP 2011,,discus-throw-1500kg,throws,male,u18
23,67.28,,Matthew DENNY,02 JUN 1996,AUS,1,Brisbane (AUS),23 FEB 2013,,discus-throw-1500kg,throws,male,u18
23,67.28,,Martin MARKOVIĆ,13 JAN 1996,CRO,1,Varaždin (CRO),06 OCT 2013,,discus-throw-1500kg,throws,male,u18
25,67.05,,Fedrick DACRES,28 FEB 1994,JAM,1,Lille (FRA),06 JUL 2011,,discus-throw-1500kg,throws,male,u18
25,67.05,,Claudio ROMERO,10 JUL 2000,CHI,1,Santiago de Chile (CHI),23 SEP 2017,,discus-throw-1500kg,throws,male,u18
27,66.98,,Claudio ROMERO,10 JUL 2000,CHI,1,Santiago de Chile (CHI),05 OCT 2017,,discus-throw-1500kg,throws,male,u18
28,66.84,,Alfonz SASKŐI,12 JUN 1958,HUN,1,Szentes (HUN),11 OCT 1975,,discus-throw-1500kg,throws,male,u18
28,66.84,,Connor BELL,21 JUN 2001,NZL,1q1,Buenos Aires (ARG),11 OCT 2018,,discus-throw-1500kg,throws,male,u18
30,66.68,,Mykyta NESTERENKO,15 APR 1991,UKR,1,Kyiv (UKR),20 MAY 2006,,discus-throw-1500kg,throws,male,u18
31,66.52,,Konrad BUKOWIECKI,17 MAR 1997,POL,1,Warszawa (POL),15 SEP 2014,,discus-throw-1500kg,throws,male,u18
32,66.46,,Nikolay OREKHOV,20 JUN 1973,URS,1,Brest (BLR),30 OCT 1990,,discus-throw-1500kg,throws,male,u18
33,66.44,,Wictor PETERSSON,01 MAY 1998,SWE,1,Hässleholm (SWE),26 JUL 2015,,discus-throw-1500kg,throws,male,u18
34,66.42,,Fedrick DACRES,28 FEB 1994,JAM,1,Kingston (JAM),04 JUN 2011,,discus-throw-1500kg,throws,male,u18
35,66.40,,Matthew DENNY,02 JUN 1996,AUS,1,Perth (AUS),12 MAR 2013,,discus-throw-1500kg,throws,male,u18
36,66.27,,Domantas POŠKA,10 JAN 1996,LTU,1,Vilnius (LTU),24 APR 2013,,discus-throw-1500kg,throws,male,u18
37,66.24,,Connor BELL,21 JUN 2001,NZL,1f1,Buenos Aires (ARG),14 OCT 2018,,discus-throw-1500kg,throws,male,u18
38,66.17,,Jia XIN,01 MAR 1988,CHN,1,Zhengzhou (CHN),30 AUG 2005,,discus-throw-1500kg,throws,male,u18
39,65.95,,Steven RICHTER,05 APR 2003,GER,1,"Werferzentrum Brandberge, Halle (GER)",15 AUG 2020,,discus-throw-1500kg,throws,male,u18
40,65.94,,Benjamin FITZGERALD,30 MAY 1995,AUS,1,Sydney (AUS),14 OCT 2012,,discus-throw-1500kg,throws,male,u18
41,65.87,,Henning PRÜFER,07 MAR 1996,GER,1,Neubrandenburg (GER),08 JUN 2013,,discus-throw-1500kg,throws,male,u18
42,65.85,,Joshua GERBER,08 SEP 2009,RSA,1,"McArthur Stadium, Potchefstroom (RSA)",24 SEP 2025,,discus-throw-1500kg,throws,male,u18
43,65.83,,Michał HODUN,17 FEB 1983,POL,1,Zamość (POL),23 JUL 2000,,discus-throw-1500kg,throws,male,u18
44,65.79,,Steffen MELHEIM,01 AUG 2003,NOR,1,"Loggane Stadion, Rygg (NOR)",28 JUN 2020,,discus-throw-1500kg,throws,male,u18
45,65.67,,Marin PREMERU,29 AUG 1990,CRO,1,Thessaloniki (GRE),18 OCT 2007,,discus-throw-1500kg,throws,male,u18
46,65.66,,Matthew DENNY,02 JUN 1996,AUS,1q2,Donetsk (UKR),13 JUL 2013,,discus-throw-1500kg,throws,male,u18
47,65.63,,Connor BELL,21 JUN 2001,NZL,1,Hastings (NZL),03 DEC 2017,,discus-throw-1500kg,throws,male,u18
48,65.62,,Henning PRÜFER,07 MAR 1996,GER,2,Donetsk (UKR),13 JUL 2013,,discus-throw-1500kg,throws,male,u18
49,65.60,,Andriy KOKHANOVSKIY,11 JAN 1968,URS,1,Kiev (URS),19 JUN 1985,,discus-throw-1500kg,throws,male,u18
50,65.53,,Domantas POŠKA,10 JAN 1996,LTU,1,Alytus (LTU),31 JUL 2013,,discus-throw-1500kg,throws,male,u18
51,65.52,,Xiangnan ZHANG,09 AUG 1997,CHN,1,Chongqing (CHN),04 APR 2014,,discus-throw-1500kg,throws,male,u18
52,65.46,,Margus HUNT,14 JUL 1987,EST,1,Tallinn (EST),02 JUN 2004,,discus-throw-1500kg,throws,male,u18
52,65.46,,Matthew DENNY,02 JUN 1996,AUS,1,Townsville (AUS),07 DEC 2013,,discus-throw-1500kg,throws,male,u18
54,65.36,,Connor BELL,21 JUN 2001,NZL,1,Dunedin (NZL),02 DEC 2018,,discus-throw-1500kg,throws,male,u18
55,65.34,,Rosen KARAMFILOV,04 JAN 1989,BUL,1,Halle (GER),21 MAY 2006,,discus-throw-1500kg,throws,male,u18
55,65.34,,Viktor GARDENKRANS,30 JUL 1995,SWE,1,Helsingborg (SWE),10 JUN 2012,,discus-throw-1500kg,throws,male,u18
57,65.30,,Werner VISSER,27 FEB 1998,RSA,1,Roodeport (RSA),17 JAN 2015,,discus-throw-1500kg,throws,male,u18
58,65.29,,Yasiel SOTERO,28 DEC 2001,ESP,1,Abrantes (POR),02 JUN 2018,,discus-throw-1500kg,throws,male,u18
59,65.07,,Gordon WOLF,17 JAN 1990,GER,1,Berlin (GER),17 JUL 2007,,discus-throw-1500kg,throws,male,u18
60,65.06,,Andrius GUDŽIUS,14 FEB 1991,LTU,1,Vilnius (LTU),03 JUL 2008,,discus-throw-1500kg,throws,male,u18
