rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,65.62,,Werner REITERER,27 JAN 1968,AUS,1,Melbourne (AUS),15 DEC 1987,1164,discus-throw,throws,male,u20
2,65.31,,Mykyta NESTERENKO,15 APR 1991,UKR,3,Tallinn (EST),03 JUN 2008,1158,discus-throw,throws,male,u20
3,63.64,,Werner HARTMANN,20 APR 1959,FRG,1,Strasbourg (FRA),25 JUN 1978,1127,discus-throw,throws,male,u20
4,63.52,,Mykolas ALEKNA,28 SEP 2002,LTU,2,"Palangos Stadionas, Palanga (LTU)",25 JUN 2021,1125,discus-throw,throws,male,u20
5,63.26,,Sergey PACHIN,24 MAY 1968,URS,1f2,Moskva (URS),25 JUL 1987,1120,discus-throw,throws,male,u20
6,63.25,,Connor BELL,21 JUN 2001,NZL,1,"Hawke's Bay Sports Park, Hastings (NZL)",25 JAN 2020,1120,discus-throw,throws,male,u20
7,63.22,,Brian MILNE,07 JAN 1973,USA,1,"State College, PA (USA)",28 MAR 1992,1120,discus-throw,throws,male,u20
8,62.83,,Mykyta NESTERENKO,15 APR 1991,UKR,1,Yalta (UKR),24 FEB 2008,1112,discus-throw,throws,male,u20
9,62.79,,Mykyta NESTERENKO,15 APR 1991,UKR,1,Kyiv (UKR),22 MAY 2007,1112,discus-throw,throws,male,u20
10,62.76,,James PLUMMER,05 JAN 1995,USA,1,"New York, NY (USA)",29 JUN 2013,1111,discus-throw,throws,male,u20
11,62.75,,Mykyta NESTERENKO,15 APR 1991,UKR,1,Kyiv (UKR),01 JUL 2008,1111,discus-throw,throws,male,u20
12,62.72,,Yauheni BAHUTSKI,07 SEP 1999,BLR,2,Albufeira (POR),05 APR 2018,1110,discus-throw,throws,male,u20
13,62.58,,Matthew DENNY,02 JUN 1996,AUS,2,"Main Stadium, Gwangju (KOR)",11 JUL 2015,1108,discus-throw,throws,male,u20
14,62.52,,John NICHOLS,23 AUG 1969,USA,1,"Baton Rouge, LA (USA)",23 APR 1988,1107,discus-throw,throws,male,u20
15,62.51,,Mykyta NESTERENKO,15 APR 1991,UKR,1f1,Kohila (EST),29 MAY 2008,1106,discus-throw,throws,male,u20
16,62.43,,Martin MARKOVIĆ,13 JAN 1996,CRO,1,Split (CRO),08 MAR 2015,1105,discus-throw,throws,male,u20
16,62.43,,Connor BELL,21 JUN 2001,NZL,2,"Newtown Park Stadium, Wellington (NZL)",28 FEB 2020,1105,discus-throw,throws,male,u20
18,62.40,,Rashid Shafi AL DOSARI,08 MAY 1981,QAT,1,Doha (QAT),01 MAY 2000,1104,discus-throw,throws,male,u20
19,62.37,,Mykyta NESTERENKO,15 APR 1991,UKR,5,Doha (QAT),09 MAY 2008,1104,discus-throw,throws,male,u20
19,62.37,,Matthew DENNY,02 JUN 1996,AUS,1,St. Pölten (AUT),04 JUN 2015,1104,discus-throw,throws,male,u20
21,62.36,,Tulake NUERMAIMAITI,08 MAR 1982,CHN,2,Guangzhou (CHN),21 NOV 2001,1104,discus-throw,throws,male,u20
22,62.34,,Erik DE BRUIN,25 MAY 1963,NED,1,Den Haag (NED),27 APR 1980,1103,discus-throw,throws,male,u20
23,62.32,,Alessandro FERUGLIO,24 JAN 2003,ITA,2,"Campo Sportivo Dal Dan, Udine (ITA)",28 AUG 2021,1103,discus-throw,throws,male,u20
24,62.16,,Zoltán KŐVÁGÓ,10 APR 1979,HUN,1,Budapest (HUN),09 MAY 1997,1100,discus-throw,throws,male,u20
25,62.04,,Kenth GARDENKRANS,02 OCT 1955,SWE,2,Helsingborg (SWE),11 AUG 1974,1098,discus-throw,throws,male,u20
25,62.04,,Tao WU,03 OCT 1983,CHN,1,Shanghai (CHN),18 MAY 2002,1098,discus-throw,throws,male,u20
27,62.03,,Kristjan ČEH,17 FEB 1999,SLO,2,Tarragona (ESP),29 JUN 2018,1098,discus-throw,throws,male,u20
