rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,87.82,,Mykhaylo KOKHAN,22 JAN 2001,UKR,1,"Olimpiai Sportpark, Győr (HUN)",07 JUL 2018,,hammer-throw-5kg,throws,male,u18
2,87.16,,Bence HALÁSZ,04 AUG 1997,HUN,1,Baku (AZE),31 MAY 2014,,hammer-throw-5kg,throws,male,u18
3,86.78,,Mykhaylo KOKHAN,22 JAN 2001,UKR,1,Viimsi (EST),20 MAY 2018,,hammer-throw-5kg,throws,male,u18
4,86.09,,Mykhaylo KOKHAN,22 JAN 2001,UKR,1,Halle (GER),27 MAY 2018,,hammer-throw-5kg,throws,male,u18
5,85.97,,Mykhaylo KOKHAN,22 JAN 2001,UKR,1q1,Buenos Aires (ARG),12 OCT 2018,,hammer-throw-5kg,throws,male,u18
6,85.38,,Joaquin GOMEZ,14 OCT 1996,ARG,1,Buenos Aires (ARG),30 NOV 2013,,hammer-throw-5kg,throws,male,u18
7,85.26,,Ashraf ELSEIFY,20 FEB 1995,QAT,1,Rhede (GER),20 JUL 2011,,hammer-throw-5kg,throws,male,u18
8,85.14,,Mykhaylo KOKHAN,22 JAN 2001,UKR,1f1,Buenos Aires (ARG),15 OCT 2018,,hammer-throw-5kg,throws,male,u18
9,84.91,,Hlib PISKUNOV,25 NOV 1998,UKR,1,"Pascual Guerrero Stadium, Cali (COL)",17 JUL 2015,,hammer-throw-5kg,throws,male,u18
10,84.56,,Hlib PISKUNOV,25 NOV 1998,UKR,1,Kyiv (UKR),22 MAY 2015,,hammer-throw-5kg,throws,male,u18
11,84.43,,Bence HALÁSZ,04 AUG 1997,HUN,1,Szombathely (HUN),12 APR 2014,,hammer-throw-5kg,throws,male,u18
12,84.41,,Bence PÁSZTOR,05 FEB 1995,HUN,1,Trabzon (TUR),28 JUL 2011,,hammer-throw-5kg,throws,male,u18
13,84.33,,Bence HALÁSZ,04 AUG 1997,HUN,1,Veszprém (HUN),26 APR 2014,,hammer-throw-5kg,throws,male,u18
14,84.27,,Mykhaylo KOKHAN,22 JAN 2001,UKR,1,Lutsk (UKR),22 SEP 2018,,hammer-throw-5kg,throws,male,u18
15,84.24,,Mykhaylo KOKHAN,22 JAN 2001,UKR,1,Dnipro (UKR),10 JUN 2017,,hammer-throw-5kg,throws,male,u18
16,84.21,,Bence HALÁSZ,04 AUG 1997,HUN,1,Szombathely (HUN),18 JUN 2014,,hammer-throw-5kg,throws,male,u18
17,84.05,,Iosif KESIDIS,19 AUG 2005,CYP,1,"Tsirio Stadium, Limassol (CYP)",19 JUN 2022,,hammer-throw-5kg,throws,male,u18
18,83.92,,Bence PÁSZTOR,05 FEB 1995,HUN,1,Veszprém (HUN),11 JUN 2011,,hammer-throw-5kg,throws,male,u18
19,83.68,,Bence HALÁSZ,04 AUG 1997,HUN,1q,"Olympic Stadium, Nanjing (CHN)",21 AUG 2014,,hammer-throw-5kg,throws,male,u18
20,83.31,,Bence HALÁSZ,04 AUG 1997,HUN,,Budapest (HUN),04 JUL 2014,,hammer-throw-5kg,throws,male,u18
21,83.30,,Bence PÁSZTOR,05 FEB 1995,HUN,1,Veszprém (HUN),13 OCT 2012,,hammer-throw-5kg,throws,male,u18
22,83.28,,József HORVÁTH,03 APR 1984,HUN,1,Szombathely (HUN),10 MAY 2001,,hammer-throw-5kg,throws,male,u18
23,83.27,,Kristóf NÉMETH,17 SEP 1987,HUN,1,Veszprém (HUN),24 APR 2004,,hammer-throw-5kg,throws,male,u18
24,83.18,,Ashraf ELSEIFY,20 FEB 1995,QAT,1,Doha (QAT),20 APR 2011,,hammer-throw-5kg,throws,male,u18
25,83.17,,Ragnar CARLSSON,16 NOV 2000,SWE,1,Göteborg (SWE),01 JUL 2017,,hammer-throw-5kg,throws,male,u18
26,83.11,,Hlib PISKUNOV,25 NOV 1998,UKR,1,Halle (GER),17 MAY 2015,,hammer-throw-5kg,throws,male,u18
27,83.09,,Valentin ANDREEV,19 JAN 2002,BUL,1,Istanbul (TUR),09 JUN 2018,,hammer-throw-5kg,throws,male,u18
28,83.00,,Joaquin GOMEZ,14 OCT 1996,ARG,1,Mendoza (ARG),09 NOV 2013,,hammer-throw-5kg,throws,male,u18
29,82.96,,Hlib PISKUNOV,25 NOV 1998,UKR,1,Mukachevo (UKR),19 FEB 2015,,hammer-throw-5kg,throws,male,u18
30,82.90,,Bence HALÁSZ,04 AUG 1997,HUN,1,Budapest (HUN),15 JUN 2014,,hammer-throw-5kg,throws,male,u18
31,82.88,,Maciej PAŁYSZKO,04 JAN 1978,POL,1,Warszawa (POL),30 SEP 1995,,hammer-throw-5kg,throws,male,u18
32,82.84,,József HORVÁTH,03 APR 1984,HUN,1,Szombathely (HUN),12 SEP 2001,,hammer-throw-5kg,throws,male,u18
33,82.72,,Valentin ANDREEV,19 JAN 2002,BUL,1,Balchik (BUL),04 MAY 2019,,hammer-throw-5kg,throws,male,u18
