rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,98.48,,Jan ŽELEZNÝ,16 JUN 1966,CZE,1,Jena (GER),25 MAY 1996,1365,javelin-throw,throws,male,senior
2,97.76,,Johannes VETTER,26 MAR 1993,GER,1,"Stadion Śląski, Chorzów (POL)",06 SEP 2020,1355,javelin-throw,throws,male,senior
3,96.29,,Johannes VETTER,26 MAR 1993,GER,1,"Stadion Śląski, Chorzów (POL)",29 MAY 2021,1334,javelin-throw,throws,male,senior
4,95.66,,Jan ŽELEZNÝ,16 JUN 1966,CZE,1,Sheffield (GBR),29 AUG 1993,1325,javelin-throw,throws,male,senior
5,95.54,,Jan ŽELEZNÝ,16 JUN 1966,CZE,1,Pietersburg (RSA),06 APR 1993,1323,javelin-throw,throws,male,senior
6,94.64,,Jan ŽELEZNÝ,16 JUN 1966,CZE,1,Ostrava (CZE),31 MAY 1996,1310,javelin-throw,throws,male,senior
7,94.44,,Johannes VETTER,26 MAR 1993,GER,1,Luzern (SUI),11 JUL 2017,1307,javelin-throw,throws,male,senior
8,94.20,,Johannes VETTER,26 MAR 1993,GER,1,"Mestský Stadion, Ostrava (CZE)",19 MAY 2021,1304,javelin-throw,throws,male,senior
9,94.02,,Jan ŽELEZNÝ,16 JUN 1966,CZE,1,Stellenbosch (RSA),26 MAR 1997,1301,javelin-throw,throws,male,senior
10,93.90,,Thomas RÖHLER,30 SEP 1991,GER,1,"Suhaim bin Hamad Stadium, Doha (QAT)",05 MAY 2017,1299,javelin-throw,throws,male,senior
11,93.88,,Johannes VETTER,26 MAR 1993,GER,1,Thum (GER),18 AUG 2017,1299,javelin-throw,throws,male,senior
12,93.59,,Johannes VETTER,26 MAR 1993,GER,1,"Kuortaneen keskusurheilukenttä, Kuortane (FIN)",26 JUN 2021,1295,javelin-throw,throws,male,senior
13,93.20,,Johannes VETTER,26 MAR 1993,GER,1,"Paul-Greifzu-Stadion, Dessau (GER)",21 MAY 2021,1289,javelin-throw,throws,male,senior
14,93.09,,Aki PARVIAINEN,26 OCT 1974,FIN,1,Kuortane (FIN),26 JUN 1999,1288,javelin-throw,throws,male,senior
15,93.07,,Anderson PETERS,21 OCT 1997,GRN,1,"Suhaim bin Hamad Stadium, Doha (QAT)",13 MAY 2022,1288,javelin-throw,throws,male,senior
16,93.06,,Johannes VETTER,26 MAR 1993,GER,,Luzern (SUI),11 JUL 2017,1287,javelin-throw,throws,male,senior
17,92.97,,Arshad NADEEM,02 JAN 1997,PAK,1,"Stade de France, Paris (FRA)",08 AUG 2024,1286,javelin-throw,throws,male,senior
18,92.80,,Jan ŽELEZNÝ,16 JUN 1966,CZE,1,"Commonwealth Stadium, Edmonton (CAN)",12 AUG 2001,1284,javelin-throw,throws,male,senior
19,92.72,,Julius YEGO,04 JAN 1989,KEN,1,"National Stadium, Beijing (CHN)",26 AUG 2015,1283,javelin-throw,throws,male,senior
20,92.70,,Johannes VETTER,26 MAR 1993,GER,1f1,Leiria (POR),11 MAR 2018,1282,javelin-throw,throws,male,senior
21,92.61,,Sergey MAKAROV,19 MAR 1973,RUS,1,Sheffield (GBR),30 JUN 2002,1281,javelin-throw,throws,male,senior
22,92.60,,Raymond HECHT,11 NOV 1968,GER,1,Oslo (NOR),21 JUL 1995,1281,javelin-throw,throws,male,senior
23,92.42,,Jan ŽELEZNÝ,16 JUN 1966,CZE,1,Ostrava (CZE),28 MAY 1997,1278,javelin-throw,throws,male,senior
24,92.41,,Aki PARVIAINEN,26 OCT 1974,FIN,1,Vaasa (FIN),24 JUN 2001,1278,javelin-throw,throws,male,senior
25,92.28,,Jan ŽELEZNÝ,16 JUN 1966,CZE,1,"Stade Louis II, Monaco (MON)",09 SEP 1995,1276,javelin-throw,throws,male,senior
25,92.28,,Raymond HECHT,11 NOV 1968,GER,1,Zürich (SUI),14 AUG 1996,1276,javelin-throw,throws,male,senior
27,92.14,,Johannes VETTER,26 MAR 1993,GER,1f1,"Stadion Allmend, Luzern (SUI)",29 JUN 2021,1274,javelin-throw,throws,male,senior
28,92.12,,Jan ŽELEZNÝ,16 JUN 1966,CZE,1,London (GBR),27 AUG 1995,1274,javelin-throw,throws,male,senior
28,92.12,,Jan ŽELEZNÝ,16 JUN 1966,CZE,1,Tokyo (JPN),15 SEP 1995,1274,javelin-throw,throws,male,senior
30,92.06,,Andreas HOFMANN,16 DEC 1991,GER,1,Offenburg (GER),02 JUN 2018,1273,javelin-throw,throws,male,senior
31,91.82,,Jan ŽELEZNÝ,16 JUN 1966,CZE,1,Sheffield (GBR),04 SEP 1994,1270,javelin-throw,throws,male,senior
32,91.78,,Thomas RÖHLER,30 SEP 1991,GER,1,"Suhaim bin Hamad Stadium, Doha (QAT)",04 MAY 2018,1269,javelin-throw,throws,male,senior
33,91.69,,Konstantinos GATSIOUDIS,17 DEC 1973,GRE,1,Kuortane (FIN),24 JUN 2000,1268,javelin-throw,throws,male,senior
34,91.68,,Jan ŽELEZNÝ,16 JUN 1966,CZE,1,Gateshead (GBR),01 JUL 1994,1268,javelin-throw,throws,male,senior
35,91.59,,Andreas THORKILDSEN,01 APR 1982,NOR,1,Oslo (NOR),02 JUN 2006,1266,javelin-throw,throws,male,senior
36,91.56,,Johannes VETTER,26 MAR 1993,GER,2,"Suhaim bin Hamad Stadium, Doha (QAT)",04 MAY 2018,1266,javelin-throw,throws,male,senior
37,91.53,,Tero PITKÄMÄKI,19 DEC 1982,FIN,1,Kuortane (FIN),26 JUN 2005,1266,javelin-throw,throws,male,senior
37,91.53,,Thomas RÖHLER,30 SEP 1991,GER,1,"Mestský Stadion, Ostrava (CZE)",28 JUN 2017,1266,javelin-throw,throws,male,senior
39,91.51,,Julian WEBER,29 AUG 1994,GER,1,"Letzigrund, Zürich (SUI)",28 AUG 2025,1265,javelin-throw,throws,male,senior
40,91.50,,Jan ŽELEZNÝ,16 JUN 1966,CZE,1,Lublin (POL),04 JUN 1994,1265,javelin-throw,throws,male,senior
40,91.50,,Jan ŽELEZNÝ,16 JUN 1966,CZE,1,Pretoria (RSA),08 APR 1996,1265,javelin-throw,throws,male,senior
40,91.50,,Raymond HECHT,11 NOV 1968,GER,1,Gengenbach (GER),01 SEP 1996,1265,javelin-throw,throws,male,senior
40,91.50,,Johannes VETTER,26 MAR 1993,GER,1,"ETSV Stadion, Offenburg (GER)",24 APR 2021,1265,javelin-throw,throws,male,senior
44,91.49,,Johannes VETTER,26 MAR 1993,GER,1,"Paavo Nurmen Stadion, Turku (FIN)",11 AUG 2020,1265,javelin-throw,throws,male,senior
45,91.46,,Steve BACKLEY,12 FEB 1969,GBR,1,Auckland (NZL),25 JAN 1992,1265,javelin-throw,throws,male,senior
46,91.44,,Andreas HOFMANN,16 DEC 1991,GER,1,Rehlingen (GER),20 MAY 2018,1264,javelin-throw,throws,male,senior
46,91.44,,Andreas HOFMANN,16 DEC 1991,GER,1,"Letzigrund, Zürich (SUI)",30 AUG 2018,1264,javelin-throw,throws,male,senior
48,91.40,,Jan ŽELEZNÝ,16 JUN 1966,CZE,1,Villeneuve d'Ascq (FRA),02 JUL 1993,1264,javelin-throw,throws,male,senior
49,91.39,,Julius YEGO,04 JAN 1989,KEN,1,"Alexander Stadium, Birmingham (GBR)",07 JUN 2015,1264,javelin-throw,throws,male,senior
50,91.36,,Chao-Tsun CHENG,17 OCT 1993,TPE,1,"Taipei Municipal Stadium, Taipei City (TPE)",26 AUG 2017,1263,javelin-throw,throws,male,senior
51,91.34,,Jan ŽELEZNÝ,16 JUN 1966,CZE,1,Cape Town (RSA),08 APR 1997,1263,javelin-throw,throws,male,senior
52,91.33,,Tero PITKÄMÄKI,19 DEC 1982,FIN,1,"Stade Louis II, Monaco (MON)",10 SEP 2005,1263,javelin-throw,throws,male,senior
53,91.31,,Aki PARVIAINEN,26 OCT 1974,FIN,2,"Commonwealth Stadium, Edmonton (CAN)",12 AUG 2001,1262,javelin-throw,throws,male,senior
54,91.30,,Jan ŽELEZNÝ,16 JUN 1966,CZE,1,"Olympiastadion, Berlin (GER)",01 SEP 1995,1262,javelin-throw,throws,male,senior
55,91.29,,Breaux GREER,19 OCT 1976,USA,1,"Indianapolis, IN (USA)",21 JUN 2007,1262,javelin-throw,throws,male,senior
56,91.28,,Jan ŽELEZNÝ,16 JUN 1966,CZE,1,Villeneuve d'Ascq (FRA),08 JUL 1994,1262,javelin-throw,throws,male,senior
56,91.28,,Andreas THORKILDSEN,01 APR 1982,NOR,1,"Letzigrund, Zürich (SUI)",28 AUG 2009,1262,javelin-throw,throws,male,senior
56,91.28,,Thomas RÖHLER,30 SEP 1991,GER,1,Turku (FIN),29 JUN 2016,1262,javelin-throw,throws,male,senior
59,91.27,,Konstantinos GATSIOUDIS,17 DEC 1973,GRE,1,Madrid (ESP),26 MAY 2001,1262,javelin-throw,throws,male,senior
60,91.23,,Jan ŽELEZNÝ,16 JUN 1966,CZE,1,Poznan (POL),08 JUN 2001,1261,javelin-throw,throws,male,senior
60,91.23,,Konstantinos GATSIOUDIS,17 DEC 1973,GRE,1,Thessaloniki (GRE),24 JUL 2002,1261,javelin-throw,throws,male,senior
60,91.23,,Tero PITKÄMÄKI,19 DEC 1982,FIN,1,Lapinlahti (FIN),22 JUL 2007,1261,javelin-throw,throws,male,senior
63,91.22,,Johannes VETTER,26 MAR 1993,GER,1,Potchefstroom (RSA),27 FEB 2018,1261,javelin-throw,throws,male,senior
64,91.20,,Johannes VETTER,26 MAR 1993,GER,1q1,"Olympic Stadium, London (GBR)",10 AUG 2017,1261,javelin-throw,throws,male,senior
65,91.12,,Johannes VETTER,26 MAR 1993,GER,1f1,"Stadion Park Mladeži, Split (CRO)",08 MAY 2021,1260,javelin-throw,throws,male,senior
66,91.11,,Tero PITKÄMÄKI,19 DEC 1982,FIN,1,Kuortane (FIN),24 JUN 2006,1260,javelin-throw,throws,male,senior
67,91.07,,Andreas HOFMANN,16 DEC 1991,GER,2,"Taipei Municipal Stadium, Taipei City (TPE)",26 AUG 2017,1259,javelin-throw,throws,male,senior
68,91.06,,Johannes VETTER,26 MAR 1993,GER,,Luzern (SUI),11 JUL 2017,1259,javelin-throw,throws,male,senior
68,91.06,,Julian WEBER,29 AUG 1994,GER,1,"Suhaim bin Hamad Stadium, Doha (QAT)",16 MAY 2025,1259,javelin-throw,throws,male,senior
70,91.04,,Jan ŽELEZNÝ,16 JUN 1966,CZE,1,Kuortane (FIN),22 JUN 1996,1259,javelin-throw,throws,male,senior
71,91.00,,Luiz Mauricio DA SILVA,17 JAN 2000,BRA,1,"Centro de Treinamento Paralímpico Brasileiro, São Paulo (BRA)",03 AUG 2025,1258,javelin-throw,throws,male,senior
72,90.97,,Aki PARVIAINEN,26 OCT 1974,FIN,2,Kuortane (FIN),24 JUN 2000,1258,javelin-throw,throws,male,senior
73,90.88,,Aki PARVIAINEN,26 OCT 1974,FIN,1,Tartu (EST),11 JUN 1998,1256,javelin-throw,throws,male,senior
73,90.88,,Jakub VADLEJCH,10 OCT 1990,CZE,2,"Suhaim bin Hamad Stadium, Doha (QAT)",13 MAY 2022,1256,javelin-throw,throws,male,senior
75,90.87,,Sergey MAKAROV,19 MAR 1973,RUS,1,Hamburg (GER),12 JUN 2002,1256,javelin-throw,throws,male,senior
76,90.86,,Sergey MAKAROV,19 MAR 1973,RUS,1,Dessau (GER),29 MAY 2002,1256,javelin-throw,throws,male,senior
76,90.86,,Johannes VETTER,26 MAR 1993,GER,1,"Stadion Śląski, Chorzów (POL)",25 AUG 2020,1256,javelin-throw,throws,male,senior
78,90.82,,Kimmo KINNUNEN,31 MAR 1968,FIN,1,"National Stadium, Tokyo (JPN)",26 AUG 1991,1255,javelin-throw,throws,male,senior
79,90.81,,Steve BACKLEY,12 FEB 1969,GBR,1,"Crystal Palace, London (GBR)",22 JUL 2001,1255,javelin-throw,throws,male,senior
80,90.80,,Jan ŽELEZNÝ,16 JUN 1966,CZE,1,Bratislava (SVK),30 MAY 1995,1255,javelin-throw,throws,male,senior
