rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,86.48,,Neeraj CHOPRA,24 DEC 1997,IND,1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",23 JUL 2016,1193,javelin-throw,throws,male,u20
2,84.98,,György HERCZEG,08 AUG 2004,HUN,1,"Leichtathletikarena, Eisenstadt (AUT)",26 JUL 2023,1172,javelin-throw,throws,male,u20
3,84.69,,Zigismunds SIRMAIS,06 MAY 1992,LAT,2,Bauska (LAT),22 JUN 2011,1168,javelin-throw,throws,male,u20
4,84.58,,Keshorn WALCOTT,02 APR 1993,TTO,1,"Olympic Stadium, London (GBR)",11 AUG 2012,1166,javelin-throw,throws,male,u20
5,84.47,,Zigismunds SIRMAIS,06 MAY 1992,LAT,1,Sofia (BUL),20 MAR 2011,1165,javelin-throw,throws,male,u20
6,84.32,,Artur FELFNER,17 OCT 2003,UKR,2,"x-bionic sphere, Šamorín (SVK)",09 JUN 2022,1163,javelin-throw,throws,male,u20
7,83.87,,Andreas THORKILDSEN,01 APR 1982,NOR,1,Bergen (NOR),07 JUN 2001,1156,javelin-throw,throws,male,u20
8,83.55,,Aleksandr IVANOV,25 MAY 1982,RUS,2,Tula (RUS),14 JUL 2001,1152,javelin-throw,throws,male,u20
9,83.28,,Artur FELFNER,17 OCT 2003,UKR,4,"ETSV Stadion, Offenburg (GER)",15 MAY 2022,1148,javelin-throw,throws,male,u20
10,83.18,,Aleksandr IVANOV,25 MAY 1982,RUS,4q,"Commonwealth Stadium, Edmonton (CAN)",10 AUG 2001,1146,javelin-throw,throws,male,u20
11,83.07,,Robert OOSTHUIZEN,23 JAN 1987,RSA,1,"Chaoyang Sport Center, Beijing (CHN)",19 AUG 2006,1145,javelin-throw,throws,male,u20
12,82.83,,Keshorn WALCOTT,02 APR 1993,TTO,1,San Salvador (ESA),01 JUL 2012,1141,javelin-throw,throws,male,u20
13,82.52,,Harri HAATAINEN,05 JAN 1978,FIN,4,Leppävirta (FIN),25 MAY 1996,1137,javelin-throw,throws,male,u20
13,82.52,,Till WÖSCHLER,09 JUN 1991,GER,1,"Croix-Bleue Medavie Stadium, Moncton (CAN)",23 JUL 2010,1137,javelin-throw,throws,male,u20
15,82.27,,Zigismunds SIRMAIS,06 MAY 1992,LAT,1,Jürmala (LAT),09 SEP 2010,1133,javelin-throw,throws,male,u20
16,82.23,,Neeraj CHOPRA,24 DEC 1997,IND,1,Guwahati (IND),10 FEB 2016,1133,javelin-throw,throws,male,u20
17,82.17,,Andreas THORKILDSEN,01 APR 1982,NOR,6,Kuortane (FIN),17 JUN 2001,1132,javelin-throw,throws,male,u20
18,82.15,,Andreas THORKILDSEN,01 APR 1982,NOR,2,Vaasa (FIN),24 JUN 2001,1132,javelin-throw,throws,male,u20
19,81.95,,Jakub VADLEJCH,10 OCT 1990,CZE,1,Domažlice (CZE),26 SEP 2009,1129,javelin-throw,throws,male,u20
20,81.91,,Patriks GAILUMS,10 MAY 1998,LAT,1,Valmiera (LAT),12 JUL 2017,1128,javelin-throw,throws,male,u20
21,81.86,,Aleksandr IVANOV,25 MAY 1982,RUS,4,Rüdlingen (SUI),19 AUG 2001,1128,javelin-throw,throws,male,u20
22,81.80,,Sergey VOYNOV,26 FEB 1977,UZB,1,Tashkent (UZB),06 JUN 1996,1127,javelin-throw,throws,male,u20
23,81.75,,Keshorn WALCOTT,02 APR 1993,TTO,5q2,"Olympic Stadium, London (GBR)",08 AUG 2012,1126,javelin-throw,throws,male,u20
24,81.53,,Zigismunds SIRMAIS,06 MAY 1992,LAT,1,"Kadrioru staadion, Tallinn (EST)",23 JUL 2011,1123,javelin-throw,throws,male,u20
25,81.45,,Aleksandr IVANOV,25 MAY 1982,RUS,4,Glasgow (GBR),01 JUL 2001,1122,javelin-throw,throws,male,u20
26,81.40,,Aleksandr IVANOV,25 MAY 1982,RUS,1,Rieti (ITA),02 SEP 2001,1121,javelin-throw,throws,male,u20
27,81.04,,Neeraj CHOPRA,24 DEC 1997,IND,1q1,Patiala (IND),31 DEC 2015,1116,javelin-throw,throws,male,u20
28,81.01,,Aleksandr IVANOV,25 MAY 1982,RUS,1,Krasnodar (RUS),22 MAY 2001,1116,javelin-throw,throws,male,u20
29,81.00,,Zigismunds SIRMAIS,06 MAY 1992,LAT,2,Ventspils (LAT),04 JUN 2011,1115,javelin-throw,throws,male,u20
30,80.94,,Aki PARVIAINEN,26 OCT 1974,FIN,4,Jyväskylä (FIN),05 JUL 1992,1115,javelin-throw,throws,male,u20
31,80.87,,Tom TERŠEK,06 SEP 2006,SLO,1,"Štadion Kladivar, Celje (SLO)",29 JUN 2024,1114,javelin-throw,throws,male,u20
32,80.61,,Xiaobo WANG,18 FEB 2005,CHN,2,"Sports Center, Quzhou (CHN)",22 JUL 2023,1110,javelin-throw,throws,male,u20
33,80.59,,Zigismunds SIRMAIS,06 MAY 1992,LAT,3,Tartu (EST),28 MAY 2011,1110,javelin-throw,throws,male,u20
33,80.59,,Johan GROBLER,06 AUG 1997,RSA,2,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",23 JUL 2016,1110,javelin-throw,throws,male,u20
35,80.57,,Teemu WIRKKALA,14 JAN 1984,FIN,1,Espoo (FIN),14 SEP 2003,1109,javelin-throw,throws,male,u20
36,80.56,,Aleksandr IVANOV,25 MAY 1982,RUS,10,"Commonwealth Stadium, Edmonton (CAN)",12 AUG 2001,1109,javelin-throw,throws,male,u20
37,80.52,,Jakub VADLEJCH,10 OCT 1990,CZE,1,Moskva (RUS),19 SEP 2009,1109,javelin-throw,throws,male,u20
37,80.52,,Cyprian MRZYGŁÓD,02 FEB 1998,POL,1,"Stadio Zecchini, Grosseto (ITA)",22 JUL 2017,1109,javelin-throw,throws,male,u20
39,80.51,,Andreas THORKILDSEN,01 APR 1982,NOR,2,Karlstad (SWE),29 AUG 2001,1108,javelin-throw,throws,male,u20
40,80.43,,Tero JÄRVENPÄÄ,02 OCT 1984,FIN,3,Helsinki (FIN),11 AUG 2003,1107,javelin-throw,throws,male,u20
41,80.30,,Konstantinos GATSIOUDIS,17 DEC 1973,GRE,1,Athina (GRE),20 JUN 1992,1105,javelin-throw,throws,male,u20
42,80.28,,Zigismunds SIRMAIS,06 MAY 1992,LAT,1,Bauska (LAT),22 JUN 2011,1105,javelin-throw,throws,male,u20
