rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,24.45,,Jacko GILL,20 DEC 1994,NZL,1,Auckland (NZL),19 DEC 2011,,shot-put-5kg,throws,male,u18
2,24.35,,Jacko GILL,20 DEC 1994,NZL,1,Lille (FRA),07 JUL 2011,,shot-put-5kg,throws,male,u18
3,24.24,,Konrad BUKOWIECKI,17 MAR 1997,POL,1,Spala (POL) (i),30 DEC 2014,,shot-put-5kg,throws,male,u18
4,23.86,,Jacko GILL,20 DEC 1994,NZL,1,Hastings (NZL),11 DEC 2010,,shot-put-5kg,throws,male,u18
5,23.23,,Krzysztof BRZOZOWSKI,15 JUL 1993,POL,1f2,Singapore (SGP),22 AUG 2010,,shot-put-5kg,throws,male,u18
6,23.17,,Konrad BUKOWIECKI,17 MAR 1997,POL,1f1,"Olympic Stadium, Nanjing (CHN)",24 AUG 2014,,shot-put-5kg,throws,male,u18
7,23.14,,Konrad BUKOWIECKI,17 MAR 1997,POL,1,Łódź (POL),13 SEP 2014,,shot-put-5kg,throws,male,u18
8,23.13,,Konrad BUKOWIECKI,17 MAR 1997,POL,1,Baku (AZE),31 MAY 2014,,shot-put-5kg,throws,male,u18
9,22.97,,Konrad BUKOWIECKI,17 MAR 1997,POL,1f2,Aleksandrów Łódzki (POL) (i),20 DEC 2014,,shot-put-5kg,throws,male,u18
10,22.95,,Konrad BUKOWIECKI,17 MAR 1997,POL,1f1,Aleksandrów Łódzki (POL) (i),20 DEC 2014,,shot-put-5kg,throws,male,u18
11,22.93,,Konrad BUKOWIECKI,17 MAR 1997,POL,1,Aleksandrów Łódzki (POL) (i),13 DEC 2014,,shot-put-5kg,throws,male,u18
12,22.90,,Konrad BUKOWIECKI,17 MAR 1997,POL,1,Warszawa (POL),15 SEP 2014,,shot-put-5kg,throws,male,u18
