rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,23.56,,Ryan CROUSER,18 DEC 1992,USA,1,"Drake Stadium, Los Angeles, CA (USA)",27 MAY 2023,1334,shot-put,throws,male,senior
2,23.51,,Ryan CROUSER,18 DEC 1992,USA,1,"Nemzeti Atlétikai Központ, Budapest (HUN)",19 AUG 2023,1331,shot-put,throws,male,senior
3,23.37,,Ryan CROUSER,18 DEC 1992,USA,1,"Hayward Field, Eugene, OR (USA)",18 JUN 2021,1323,shot-put,throws,male,senior
4,23.30,,Ryan CROUSER,18 DEC 1992,USA,1,"National Stadium, Tokyo (JPN)",05 AUG 2021,1318,shot-put,throws,male,senior
5,23.23,,Joe KOVACS,28 JUN 1989,USA,1,"Sechseläutenplatz, Zürich (SUI)",07 SEP 2022,1314,shot-put,throws,male,senior
6,23.15,,Ryan CROUSER,18 DEC 1992,USA,1,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1309,shot-put,throws,male,senior
7,23.13,,Joe KOVACS,28 JUN 1989,USA,1,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1308,shot-put,throws,male,senior
8,23.12,,Randy BARNES,16 JUN 1966,USA,1,"Westwood, CA (USA)",20 MAY 1990,1308,shot-put,throws,male,senior
8,23.12,,Ryan CROUSER,18 DEC 1992,USA,1,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1308,shot-put,throws,male,senior
10,23.10,,Randy BARNES,16 JUN 1966,USA,1,San José (USA),26 MAY 1990,1306,shot-put,throws,male,senior
11,23.07,,Ryan CROUSER,18 DEC 1992,USA,1,"Olympic Stadium, London (GBR)",23 JUL 2023,1305,shot-put,throws,male,senior
12,23.06,,Ulf TIMMERMANN,01 NOV 1962,GDR,1,Chania (GRE),22 MAY 1988,1304,shot-put,throws,male,senior
13,23.02,,Ryan CROUSER,18 DEC 1992,USA,1,"Hayward Field, Eugene, OR (USA)",28 MAY 2022,1302,shot-put,throws,male,senior
14,23.01,,Ryan CROUSER,18 DEC 1992,USA,1,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",22 MAY 2021,1301,shot-put,throws,male,senior
15,22.98,,Leonardo FABBRI,15 APR 1997,ITA,1,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2024,1299,shot-put,throws,male,senior
16,22.95,,Leonardo FABBRI,15 APR 1997,ITA,1,"Centro Sportivo Fontanassa, Savona (ITA)",15 MAY 2024,1297,shot-put,throws,male,senior
17,22.94,,Ryan CROUSER,18 DEC 1992,USA,1,"Hayward Field, Eugene, OR (USA)",17 JUL 2022,1297,shot-put,throws,male,senior
18,22.93,,Joe KOVACS,28 JUN 1989,USA,1,"Hayward Field, Eugene, OR (USA)",17 SEP 2023,1296,shot-put,throws,male,senior
18,22.93,,Joe KOVACS,28 JUN 1989,USA,1,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1296,shot-put,throws,male,senior
18,22.93,,Ryan CROUSER,18 DEC 1992,USA,1,"Fountains, Zagreb (CRO)",07 SEP 2024,1296,shot-put,throws,male,senior
21,22.92,,Ryan CROUSER,18 DEC 1992,USA,1q1,"Hayward Field, Eugene, OR (USA)",18 JUN 2021,1296,shot-put,throws,male,senior
22,22.91,,Alessandro ANDREI,03 JAN 1959,ITA,1,Viareggio (ITA),12 AUG 1987,1295,shot-put,throws,male,senior
22,22.91,,Joe KOVACS,28 JUN 1989,USA,1,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1295,shot-put,throws,male,senior
22,22.91,,Ryan CROUSER,18 DEC 1992,USA,1,"Life University Track & Field Stadium, Marietta, GA (USA)",18 JUL 2020,1295,shot-put,throws,male,senior
22,22.91,,Ryan CROUSER,18 DEC 1992,USA,2,"Hayward Field, Eugene, OR (USA)",17 SEP 2023,1295,shot-put,throws,male,senior
22,22.91,,Leonardo FABBRI,15 APR 1997,ITA,1,"Campo di Atletica, Asti (ITA)",23 MAY 2024,1295,shot-put,throws,male,senior
27,22.90,,Ryan CROUSER,18 DEC 1992,USA,2,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1294,shot-put,throws,male,senior
27,22.90,,Tom WALSH,01 MAR 1992,NZL,3,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1294,shot-put,throws,male,senior
27,22.90,,Leonardo FABBRI,15 APR 1997,ITA,1,"Stadio Comunale, Pergine Valsugana (ITA)",06 JUL 2024,1294,shot-put,throws,male,senior
