rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,21.14,,Konrad BUKOWIECKI,17 MAR 1997,POL,2,"Bislett Stadion, Oslo (NOR)",09 JUN 2016,1189,shot-put,throws,male,u20
2,21.05,,Terry ALBRITTON,14 JAN 1955,USA,1,"New York, NY (USA) (i)",22 FEB 1974,1184,shot-put,throws,male,u20
3,21.02,,Konrad BUKOWIECKI,17 MAR 1997,POL,1,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",18 JUN 2016,1182,shot-put,throws,male,u20
4,21.01,,Konrad BUKOWIECKI,17 MAR 1997,POL,1,"Mestský Stadion, Ostrava (CZE)",20 MAY 2016,1181,shot-put,throws,male,u20
5,20.83,,Konrad BUKOWIECKI,17 MAR 1997,POL,1,Bydgoszcz (POL),05 JUN 2016,1170,shot-put,throws,male,u20
6,20.82,,Konrad BUKOWIECKI,17 MAR 1997,POL,3,"Stadion PGE Narodowy, Warszawa (POL)",28 AUG 2016,1170,shot-put,throws,male,u20
7,20.80,,Konrad BUKOWIECKI,17 MAR 1997,POL,1,Bydgoszcz (POL),26 JUN 2016,1169,shot-put,throws,male,u20
8,20.78,,Konrad BUKOWIECKI,17 MAR 1997,POL,3,"Sports Park Mladost, Zagreb (CRO)",07 SEP 2015,1167,shot-put,throws,male,u20
9,20.71,,Konrad BUKOWIECKI,17 MAR 1997,POL,4q2,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1163,shot-put,throws,male,u20
10,20.65,,Michael CARTER,29 OCT 1960,USA,1,"Boston, MA (USA)",04 JUL 1979,1160,shot-put,throws,male,u20
10,20.65,,Konrad BUKOWIECKI,17 MAR 1997,POL,2q1,"Olympisch Stadion, Amsterdam (NED)",09 JUL 2016,1160,shot-put,throws,male,u20
12,20.63,,Jordan GEIST,21 JUL 1998,USA,1,"Tucson, AZ (USA)",09 DEC 2017,1159,shot-put,throws,male,u20
13,20.62,,Konrad BUKOWIECKI,17 MAR 1997,POL,1f1,Halle (GER),21 MAY 2016,1158,shot-put,throws,male,u20
14,20.61,,Konrad BUKOWIECKI,17 MAR 1997,POL,2,Madrid (ESP) (i),26 FEB 2016,1157,shot-put,throws,male,u20
15,20.58,,Konrad BUKOWIECKI,17 MAR 1997,POL,2,Łódź (POL) (i),05 FEB 2016,1156,shot-put,throws,male,u20
15,20.58,,Konrad BUKOWIECKI,17 MAR 1997,POL,4,"Olympisch Stadion, Amsterdam (NED)",10 JUL 2016,1156,shot-put,throws,male,u20
